MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Output (Max),Fault Protection,Features,Grade,Input Type,Interface,Number of Outputs,Operating Temperature,Output Configuration,Output Type,Qualification,Ratio - Input:Output,Rds On (Typ),Series,Switch Type,Voltage - Load,Voltage - Supply (Vcc/Vdd)
TPS22965NQWDSGTQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8WSON,pmic-battery-management,2178,1.67,8-WFDFN Exposed Pad,"Surface Mount, Wettable Flank",Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22965NQWDSGTQ1/6571833,4A,,Slew Rate Controlled,Automotive,Non-Inverting,On/Off,1,-40°C ~ 125°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22965NTDSGRQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8WSON,pmic-battery-management,12912,1.1,8-WFDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22965NTDSGRQ1/5324237,4A,,Slew Rate Controlled,Automotive,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22965QWDSGRQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8WSON,pmic-battery-management,2672,1.1,8-WFDFN Exposed Pad,"Surface Mount, Wettable Flank",Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22965QWDSGRQ1/5805660,4A,,"Load Discharge, Slew Rate Controlled",Automotive,Non-Inverting,On/Off,1,-40°C ~ 125°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22965QWDSGTQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8WSON,pmic-battery-management,2650,1.67,8-WFDFN Exposed Pad,"Surface Mount, Wettable Flank",Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22965QWDSGTQ1/6571835,4A,,"Load Discharge, Slew Rate Controlled",Automotive,Non-Inverting,On/Off,1,-40°C ~ 125°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22965TDSGRQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8WSON,pmic-battery-management,5947,1.1,8-WFDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22965TDSGRQ1/4832851,4A,,"Load Discharge, Slew Rate Controlled",Automotive,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22965TDSGTQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8WSON,pmic-battery-management,967,1.67,8-WFDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22965TDSGTQ1/5176234,4A,,"Load Discharge, Slew Rate Controlled",Automotive,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22966DPUR,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 14WSON,pmic-battery-management,2348,1.15,14-PowerWFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22966DPUR/3479422,6A,,Load Discharge,,Non-Inverting,On/Off,2,-40°C ~ 125°C (TJ),High Side or Low Side,N-Channel,,1:1,18mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22966DPUT,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 14WSON,pmic-battery-management,422,1.72,14-PowerWFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22966DPUT/3588887,6A,,Load Discharge,,Non-Inverting,On/Off,2,-40°C ~ 125°C (TJ),High Side or Low Side,N-Channel,,1:1,18mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22966TDPURQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 14WSON,pmic-battery-management,2816,1.44,14-PowerWFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22966TDPURQ1/4573296,4A,,Load Discharge,Automotive,Non-Inverting,On/Off,2,-40°C ~ 105°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,0.8V ~ 5.5V,
TPS22966TDPUTQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 14WSON,pmic-battery-management,582,1.99,14-PowerWFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22966TDPUTQ1/6572237,4A,,Load Discharge,Automotive,Non-Inverting,On/Off,2,-40°C ~ 105°C (TA),High Side,N-Channel,AEC-Q100,1:1,16mOhm,,General Purpose,0.8V ~ 5.5V,
TPS22967DSGR,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8WSON,pmic-battery-management,4149,1.15,8-WFDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22967DSGR/4331550,4A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,22mOhm,,General Purpose,2.5V ~ 5.5V,0.8V ~ 5.5V
TPS22968DPUR,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 14WSON,pmic-battery-management,7729,1.13,14-PowerWFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22968DPUR/4701592,4A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,2,-40°C ~ 105°C (TA),High Side,N-Channel,,1:1,27mOhm,,General Purpose,0.8V ~ 5.5V,Not Required
TPS22968DPUT,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 14WSON,pmic-battery-management,8273,1.45,14-PowerWFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22968DPUT/5114815,4A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,2,-40°C ~ 105°C (TA),High Side,N-Channel,,1:1,27mOhm,,General Purpose,0.8V ~ 5.5V,Not Required
TPS22968NDPUR,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 14WSON,pmic-battery-management,3984,1.11,14-PowerWFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22968NDPUR/5724168,4A,,Slew Rate Controlled,,Non-Inverting,On/Off,2,-40°C ~ 105°C (TA),High Side,N-Channel,,1:1,27mOhm,,General Purpose,0.8V ~ 5.5V,Not Required
