MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Output (Max),Fault Protection,Features,Grade,Input Type,Interface,Number of Outputs,Operating Temperature,Output Configuration,Output Type,Qualification,Ratio - Input:Output,Rds On (Typ),Series,Switch Type,Voltage - Load,Voltage - Supply (Vcc/Vdd)
A2550KLPTR-T,Allegro MicroSystems,IC PWR DRIVER N-CHAN 1:1 16TSSOP,pmic-battery-management,7140,2.62,"16-TSSOP (0.173"", 4.40mm Width) Exposed Pad",Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/allegro-microsystems/A2550KLPTR-T/1284586,200mA,"Current Limiting (Fixed), Over Temperature","5V Regulated Output, Status Flag",,Non-Inverting,On/Off,3,-40°C ~ 125°C (TA),Low Side,N-Channel,,1:1,5Ohm,,"Relay, Solenoid Driver",7V ~ 40V,
A2982SLWTR-T,Allegro MicroSystems,IC PWR DRIVER BIPOLAR 1:1 20SOIC,pmic-battery-management,1548,2.57,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/allegro-microsystems/A2982SLWTR-T/1006100,500mA,,,,Non-Inverting,On/Off,8,-20°C ~ 85°C (TA),High Side,Bipolar,,1:1,,,General Purpose,5V ~ 50V,Not Required
AAT4601IAS-T1,Skyworks Solutions Inc.,"USB 1-CH PWR SW, SO-8TR",pmic-battery-management,0,0.07577,-,-,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/403/AAT4601.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/AAT4601IAS-T1/9653051,,,,,,,,,,,,,,*,,,
AAT4616IPS-1-T1,Skyworks Solutions Inc.,IC PWR SWITCH P-CHAN 1:1 8TDFN,pmic-battery-management,0,0.44117,8-VFDFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/855/AAT4616.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/AAT4616IPS-1-T1/4753053,2A,"Current Limiting (Adjustable), Over Temperature, Reverse Current, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,130mOhm,,General Purpose,2.4V ~ 5.5V,Not Required
AAT4702IXS-T1,Skyworks Solutions Inc.,CURRENT LIMIT LOAD SWITCH PLUS L,pmic-battery-management,0,0.0525,-,-,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/402/AAT4702.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/AAT4702IXS-T1/9653038,,,,,,,,,,,,,,*,,,
ADP1196ACBZ-02-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,6218,2.07,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP1196.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP1196ACBZ-02-R7/4901203,3A,"Current Limiting (Fixed), Over Temperature",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side or Low Side,N-Channel,,1:1,10mOhm,,General Purpose,1.83V ~ 5.5V,Not Required
ADP1290ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,1822,2.9,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP1290.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP1290ACBZ-R7/5170728,2A,,,,,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,40mOhm,,General Purpose,2.3V ~ 13.2V,Not Required
ADP190ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,0,1.33,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP190_191.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP190ACBZ-R7/2027867,500mA,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,80mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
ADP191ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,23540,1.28,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP190_191.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP191ACBZ-R7/2264656,500mA,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,80mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
ADP194ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,5877,1.28,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP194.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP194ACBZ-R7/2690039,500mA,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,55mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
ADP195ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,69,1.41,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP195.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP195ACBZ-R7/2342726,1.1A,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,50mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
ADP195ACPZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 6LFCSP,pmic-battery-management,8186,1.41,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP195.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP195ACPZ-R7/2700190,1.1A,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,50mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
ADP196ACBZ-01-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,0,1.92,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP196.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP196ACBZ-01-R7/4901209,3A,"Current Limiting (Fixed), Over Temperature","Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,10mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP196ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,3692,1.92,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP196.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP196ACBZ-R7/4106516,3A,"Current Limiting (Fixed), Over Temperature",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,10mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP196ACPZN-01-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6LFCSP,pmic-battery-management,3588,1.92,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP196.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP196ACPZN-01-R7/4901210,3A,"Current Limiting (Fixed), Over Temperature","Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,10mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP196ACPZN-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6LFCSP,pmic-battery-management,397,1.92,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP196.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP196ACPZN-R7/4901211,3A,"Current Limiting (Fixed), Over Temperature",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,10mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP197ACBZ-01-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,2974,1.92,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP197.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP197ACBZ-01-R7/3992927,3A,Over Temperature,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,12mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP197ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,5088,1.92,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP197.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP197ACBZ-R7/2677473,3A,Over Temperature,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,12mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP197ACPZN-01-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6LFCSP,pmic-battery-management,840,2.27,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP197.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP197ACPZN-01-R7/5056881,3A,Over Temperature,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,27mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP197ACPZN-02-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6LFCSP,pmic-battery-management,8126,2.27,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP197.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP197ACPZN-02-R7/5056882,3A,Over Temperature,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,27mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
ADP198ACBZ-11-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,12704,1.41,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP198.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP198ACBZ-11-R7/3232891,1A,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,40mOhm,,General Purpose,1.65V ~ 6.5V,Not Required
ADP198ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,8701,1.41,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP198.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP198ACBZ-R7/2793318,1A,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,40mOhm,,General Purpose,1.65V ~ 6.5V,Not Required
ADP198ACPZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 8LFCSP,pmic-battery-management,0,1.41,"8-UFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP198.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP198ACPZ-R7/3043460,1A,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,75mOhm,,General Purpose,1.65V ~ 6.5V,Not Required
ADP199ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,3000,0.61862,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP199.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP199ACBZ-R7/2793319,500mA,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TJ),High Side,P-Channel,,1:1,40mOhm,,General Purpose,0.9V ~ 3.6V,Not Required
AOZ1327DI-01,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,31152,2.2,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1327DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1327DI-01/10257954,8A,"Over Temperature, Over Voltage, Short Circuit, UVLO","Auto Restart, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,20mOhm,,USB Switch,3.4V ~ 22V,Not Required
AOZ13287DI-01,Alpha & Omega Semiconductor Inc.,22V IDEAL DIODE SINK SWITCH AUTO,pmic-battery-management,4567,4.43,17-PowerVFDFN,Surface Mount,Active,https://aosmd.com/sites/default/files/res/datasheets/AOZ13287DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ13287DI-01/22248855,13A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, UVLO","Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,9.5mOhm,,General Purpose,3.4V ~ 22V,Not Required
AOZ1353DI-01,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,11824,1.1,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1353DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1353DI-01/10257960,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Short Circuit, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,40mOhm,,USB Switch,3.4V ~ 5.5V,Not Required
AOZ1353DI-03,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,5534,1.1,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1353DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1353DI-03/10257963,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Short Circuit, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,40mOhm,,USB Switch,3.4V ~ 5.5V,Not Required
AOZ1353DI-04,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,5743,1.1,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1353DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1353DI-04/10257966,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Short Circuit, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,40mOhm,,USB Switch,3.4V ~ 5.5V,Not Required
AOZ1356DI-01,Alpha & Omega Semiconductor Inc.,5.5V/3A ECPOWER PROTECTION SWITC,pmic-battery-management,18542,1.19,12-VFDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1356DI-01/12180183,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Short Circuit, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,39mOhm,,USB Switch,3.4V ~ 5.5V,Not Required
AOZ1356DI-02,Alpha & Omega Semiconductor Inc.,5.5V/3A ECPOWER PROTECTION SWITC,pmic-battery-management,5125,1.19,12-VFDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1356DI-02/12180208,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Short Circuit, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,39mOhm,,USB Switch,3.4V ~ 5.5V,Not Required
AOZ1360AIL,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH P-CHAN 1:1 8SOIC,pmic-battery-management,45953,1.64,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.aosmd.com/sites/default/files/res/datasheets/AOZ1360AIL.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1360AIL/3152707,,"Current Limiting (Adjustable), Over Temperature, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,22mOhm,,General Purpose,5.5V ~ 28V,Not Required
AOZ1360DIL,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH P-CHAN 1:1 10DFN,pmic-battery-management,5489,1.77,10-WDFN Exposed Pad,Surface Mount,Active,https://www.aosmd.com/sites/default/files/res/datasheets/AOZ1360AIL.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1360DIL/3152708,,"Current Limiting (Adjustable), Over Temperature, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,22mOhm,,General Purpose,5.5V ~ 28V,Not Required
AOZ1374DI-01,Alpha & Omega Semiconductor Inc.,20V USB SWITCH OCP AND RCB DFN,pmic-battery-management,8732,1.96,10-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1374DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1374DI-01/13682297,3.5A,"Current Limiting (Fixed), Over Temperature, Over Voltage, Reverse Current, UVLO","Auto Restart, Latch Function",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,36mOhm,ECPower™,USB Switch,3.4V ~ 23V,Not Required
AOZ1375DI-01,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,35176,2.78,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1375DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1375DI-01/10257972,6A,"Current Limiting (Fixed), Over Temperature, Over Voltage, Short Circuit, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,17.8mOhm,,USB Switch,3.4V ~ 23V,3.4V ~ 23V
AOZ1375DI-02,Alpha & Omega Semiconductor Inc.,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,16321,2.78,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1375DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1375DI-02/10257975,6A,"Current Limiting (Fixed), Over Temperature, Over Voltage, Short Circuit, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,17.8mOhm,,USB Switch,3.4V ~ 23V,3.4V ~ 23V
AOZ1376DI-01,Alpha & Omega Semiconductor Inc.,ECPOWER 20V 20M PROTECTION SWITC,pmic-battery-management,2537,2.2,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1376DI-02.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1376DI-01/12180223,5A,"Over Temperature, Over Voltage, Reverse Current, UVLO",Slew Rate Controlled,,Non-Inverting,,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,20mOhm,,General Purpose,3.4V ~ 22V,Not Required
AOZ1376DI-02,Alpha & Omega Semiconductor Inc.,ECPOWER 20V 20M PROTECTION SWITC,pmic-battery-management,10280,2.2,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1376DI-02.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1376DI-02/12180278,5A,"Over Temperature, Over Voltage, Reverse Current, UVLO",Slew Rate Controlled,,Non-Inverting,,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,20mOhm,,General Purpose,3.4V ~ 22V,Not Required
AOZ1377DI-01,Alpha & Omega Semiconductor Inc.,23V IDEAL DIODE SOURCE SWITCH AU,pmic-battery-management,4775,2.4,10-VFDFN Exposed Pad,Surface Mount,Active,https://www.aosmd.com/sites/default/files/res/datasheets/AOZ1377DI-02.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1377DI-01/23019095,7A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, Short Circuit, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,19mOhm,ECPower™,General Purpose,3.4V ~ 23V,Not Required
AOZ1382DI-01,Alpha & Omega Semiconductor Inc.,COMBINATION IDEAL DIODE SINK AND,pmic-battery-management,5020,4.15,20-PowerVFDFN,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ1382DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1382DI-01/16584640,10A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, Short Circuit, UVLO","Auto Restart, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,20mOhm,ECPower™,USB Switch,3.4V ~ 23V,
AOZ1390DI-02,Alpha & Omega Semiconductor Inc.,23V IDEAL DIODE SINK SWITCH LATC,pmic-battery-management,2699,3.81,14-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/sites/default/files/res/datasheets/AOZ1390DI-02.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ1390DI-02/22248847,8A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, UVLO","Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,19mOhm,,General Purpose,3.3V ~ 23V,3.3V ~ 23V
AOZ13937DI-01,Alpha & Omega Semiconductor Inc.,32V IDEAL DIODE SINK SWITCH AUTO,pmic-battery-management,5031,2.17,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/sites/default/files/res/datasheets/AOZ13937DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ13937DI-01/19116277,7A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, Short Circuit, UVLO","Load Discharge, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,20mOhm,ECPower™,USB Switch,3.4V ~ 32V,Not Required
AOZ13937DI-02,Alpha & Omega Semiconductor Inc.,32V IDEAL DIODE SINK SWITCH LATC,pmic-battery-management,845,2.17,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/sites/default/files/res/datasheets/AOZ13937DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ13937DI-02/19116241,7A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, Short Circuit, UVLO","Load Discharge, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,20mOhm,ECPower™,USB Switch,3.4V ~ 32V,Not Required
AOZ13937DI-03,Alpha & Omega Semiconductor Inc.,32V IDEAL DIODE SINK SWITCH AUTO,pmic-battery-management,1971,3.07,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/sites/default/files/res/datasheets/AOZ13937DI-03.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ13937DI-03/22248853,8A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, UVLO","Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,20mOhm,,General Purpose,3.4V ~ 32V,Not Required
AOZ13984DI-02,Alpha & Omega Semiconductor Inc.,23V USB IDEAL DIODE SWITCH,pmic-battery-management,22540,2.1,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ13984DI-02.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ13984DI-02/13682301,5.5A,"Current Limiting (Fixed), Over Temperature, Over Voltage, Reverse Current, UVLO","Auto Restart, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,33mOhm,ECPower™,USB Switch,3.4V ~ 22V,Not Required
AOZ13987DI-02,Alpha & Omega Semiconductor Inc.,23V USB IDEAL DIODE SWITCH,pmic-battery-management,34235,2.3,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/res/data_sheets/AOZ13987DI-02.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ13987DI-02/13682298,8A,"Current Limiting (Fixed), Over Temperature, Over Voltage, Reverse Current, UVLO","Auto Restart, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,20mOhm,ECPower™,USB Switch,3.4V ~ 22V,Not Required
AOZ15333DI-01,Alpha & Omega Semiconductor Inc.,5V/3.5A SOURCE SWITCH AUTO-RETAR,pmic-battery-management,5000,1.71,12-VFDFN Exposed Pad,Surface Mount,Active,https://aosmd.com/sites/default/files/res/datasheets/AOZ15333DI-01.pdf,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOZ15333DI-01/19116242,3.5A,"Current Limiting (Fixed), Over Temperature, Over Voltage, Reverse Current, Short Circuit, UVLO","Load Discharge, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,45mOhm,,USB Switch,,Not Required
