MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Connectivity,Core Processor,Core Size,Data Converters,DigiKey Programmable,EEPROM Size,Grade,Number of I/O,Operating Temperature,Oscillator Type,Peripherals,Program Memory Size,Program Memory Type,Qualification,RAM Size,Series,Speed,Voltage - Supply (Vcc/Vdd)
ADUC7026BSTZ62,Analog Devices Inc.,IC MCU 16/32BIT 62KB FLSH 80LQFP,embedded-microcontrollers,21,23.88,80-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuC7019_20_21_22_24_25_26_27_28_29.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUC7026BSTZ62/814070,"EBI/EMI, I2C, SPI, UART/USART",ARM7®,16/32-Bit,A/D 12 x12b; D/A 4x12b,Not Verified,,,40,-40°C ~ 125°C (TA),Internal,"PLA, PWM, PSM, Temp Sensor, WDT",62KB (31K x16),FLASH,,2K x 32,MicroConverter® ADuC7xxx,44MHz,2.7V ~ 3.6V
ADUC812BSZ,Analog Devices Inc.,IC MCU 8BIT 8KB FLASH 52MQFP,embedded-microcontrollers,1242,29.21,52-QFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADUC812.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUC812BSZ/820259,"I2C, SPI, UART/USART",8052,8-Bit,A/D 8x12b; D/A 2x12b,Verified,640 x 8,,34,-40°C ~ 85°C (TA),Internal,"PSM, Temp Sensor, WDT",8KB (8K x 8),FLASH,,256 x 8,MicroConverter® ADuC8xx,16MHz,2.7V ~ 5.5V
AT32UC3A0512-ALUT,Microchip Technology,IC MCU 32BIT 512KB FLASH 144LQFP,embedded-microcontrollers,1109,14.66,144-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32058S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3A0512-ALUT/1640262,"EBI/EMI, Ethernet, I2C, SPI, SSC, UART/USART, USB OTG",AVR,32-Bit,A/D 8x10b,Not Verified,,,109,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",512KB (512K x 8),FLASH,,64K x 8,AVR®32 UC3 A0,66MHz,1.65V ~ 3.6V
AT32UC3A1512-AUT,Microchip Technology,IC MCU 32BIT 512KB FLASH 100TQFP,embedded-microcontrollers,1180,14.45,100-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32058S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3A1512-AUT/1640265,"Ethernet, I2C, SPI, SSC, UART/USART, USB OTG",AVR,32-Bit,A/D 8x10b,Not Verified,,,69,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",512KB (512K x 8),FLASH,,64K x 8,AVR®32 UC3 A1,66MHz,1.65V ~ 3.6V
AT32UC3B0256-A2UT,Microchip Technology,IC MCU 32BIT 256KB FLASH 64TQFP,embedded-microcontrollers,1426,9.1,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32059S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3B0256-A2UT/1769694,"I2C, IrDA, SPI, SSC, UART/USART, USB",AVR,32-Bit,A/D 8x10b,Not Verified,,,44,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,AVR®32 UC3 B,60MHz,1.65V ~ 3.6V
AT32UC3B0512-A2UT,Microchip Technology,IC MCU 32BIT 512KB FLASH 64TQFP,embedded-microcontrollers,1819,11.17,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32059S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3B0512-A2UT/2271172,"I2C, IrDA, SPI, SSC, UART/USART, USB",AVR,32-Bit,A/D 8x10b,Not Verified,,,44,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",512KB (512K x 8),FLASH,,96K x 8,AVR®32 UC3 B,60MHz,1.65V ~ 3.6V
AT32UC3B064-A2UT,Microchip Technology,IC MCU 32BIT 64KB FLASH 64TQFP,embedded-microcontrollers,3305,6.76,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32059S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3B064-A2UT/1769696,"I2C, IrDA, SPI, SSC, UART/USART, USB",AVR,32-Bit,A/D 8x10b,Not Verified,,,44,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",64KB (64K x 8),FLASH,,16K x 8,AVR®32 UC3 B,60MHz,1.65V ~ 3.6V
AT32UC3C0512C-ALUT,Microchip Technology,IC MCU 32BIT 512KB FLASH 144LQFP,embedded-microcontrollers,4780,16.67,144-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32117S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3C0512C-ALUT/2507904,"CANbus, EBI/EMI, Ethernet, I2C, IrDA, LINbus, SPI, UART/USART, USB",AVR,32-Bit,A/D 16x12b; D/A 2x12b,Not Verified,,,123,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",512KB (512K x 8),FLASH,,64K x 8,AVR®32 UC3 C,66MHz,3V ~ 5.5V
AT89C2051-12PU,Microchip Technology,IC MCU 8BIT 2KB FLASH 20DIP,embedded-microcontrollers,6193,2.08,"20-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0368.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C2051-12PU/1118878,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,LED,2KB (2K x 8),FLASH,,128 x 8,89C,12MHz,2.7V ~ 6V
AT89C2051-12SU,Microchip Technology,IC MCU 8BIT 2KB FLASH 20SOIC,embedded-microcontrollers,2339,1.51,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0368.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C2051-12SU/1118879,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,LED,2KB (2K x 8),FLASH,,128 x 8,89C,12MHz,2.7V ~ 6V
AT89C2051-24PU,Microchip Technology,IC MCU 8BIT 2KB FLASH 20DIP,embedded-microcontrollers,1901,2.08,"20-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0368.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C2051-24PU/1118880,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,LED,2KB (2K x 8),FLASH,,128 x 8,89C,24MHz,4V ~ 6V
AT89C2051-24SU,Microchip Technology,IC MCU 8BIT 2KB FLASH 20SOIC,embedded-microcontrollers,7474,1.44,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0368.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C2051-24SU/1118881,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,LED,2KB (2K x 8),FLASH,,128 x 8,89C,24MHz,4V ~ 6V
AT89C4051-24PU,Microchip Technology,IC MCU 8BIT 4KB FLASH 20DIP,embedded-microcontrollers,387,2.12,"20-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc1001.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C4051-24PU/1638061,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, LED, POR",4KB (4K x 8),FLASH,,128 x 8,89C,24MHz,4V ~ 6V
AT89C51CC01UAT-RLTUM,Microchip Technology,IC MCU 8BIT 32KB FLASH 44VQFP,embedded-microcontrollers,2305,9.07,44-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc4129.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C51CC01UAT-RLTUM/15802449,"CANbus, UART/USART",80C51,8-Bit,A/D 8x10b,Not Verified,2K x 8,,34,-40°C ~ 85°C (TA),External,"POR, PWM, WDT",32KB (32K x 8),FLASH,,1.25K x 8,AT89C CAN,40MHz,3V ~ 5.5V
AT89C51RC-24JU,Microchip Technology,IC MCU 8BIT 32KB FLASH 44PLCC,embedded-microcontrollers,995,4.66,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc1920.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C51RC-24JU/1118885,"SPI, UART/USART",8051,8-Bit,,Not Verified,,,32,-40°C ~ 85°C (TA),Internal,WDT,32KB (32K x 8),FLASH,,512 x 8,89C,24MHz,4V ~ 5.5V
AT89C51RC-24PU,Microchip Technology,IC MCU 8BIT 32KB FLASH 40PDIL,embedded-microcontrollers,3556,5.17,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc1920.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C51RC-24PU/1638068,"SPI, UART/USART",8051,8-Bit,,Not Verified,,,32,-40°C ~ 85°C (TA),Internal,WDT,32KB (32K x 8),FLASH,,512 x 8,89C,24MHz,4V ~ 5.5V
AT89C51RD2-SLSUM,Microchip Technology,IC MCU 8BIT 64KB FLASH 44PLCC,embedded-microcontrollers,2303,9.01,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc4235.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C51RD2-SLSUM/1008512,"SPI, UART/USART",80C51,8-Bit,,Verified,,,34,-40°C ~ 85°C (TA),External,"POR, PWM, WDT",64KB (64K x 8),FLASH,,2K x 8,89C,60MHz,2.7V ~ 5.5V
AT89C55WD-24JU,Microchip Technology,IC MCU 8BIT 20KB FLASH 44PLCC,embedded-microcontrollers,1104,4.66,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc1921.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C55WD-24JU/1118887,UART/USART,8051,8-Bit,,Verified,,,32,-40°C ~ 85°C (TA),Internal,WDT,20KB (20K x 8),FLASH,,256 x 8,89C,24MHz,4.5V ~ 5.5V
AT89LP4052-20SU,Microchip Technology,IC MCU 8BIT 4KB FLASH 20SOIC,embedded-microcontrollers,150,2.46,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc3547.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89LP4052-20SU/1202557,"SPI, UART/USART",8051,8-Bit,,Not Verified,,,15,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",4KB (4K x 8),FLASH,,256 x 8,89LP,20MHz,2.4V ~ 5.5V
AT89S2051-24SU,Microchip Technology,IC MCU 8BIT 2KB FLASH 20SOIC,embedded-microcontrollers,345,2.61,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc3390.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89S2051-24SU/1914376,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM",2KB (2K x 8),FLASH,,256 x 8,89S,24MHz,2.7V ~ 5.5V
AT89S51-24JU,Microchip Technology,IC MCU 8BIT 4KB FLASH 44PLCC,embedded-microcontrollers,8588,4.77,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc2487.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89S51-24JU/1118890,UART/USART,8051,8-Bit,,Verified,,,32,-40°C ~ 85°C (TA),Internal,WDT,4KB (4K x 8),FLASH,,128 x 8,89S,24MHz,4V ~ 5.5V
AT89S52-24AUR,Microchip Technology,IC MCU 8BIT 8KB FLASH 44TQFP,embedded-microcontrollers,3625,2.42,44-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc1919.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89S52-24AUR/5235710,UART/USART,8051,8-Bit,,Verified,,,32,-40°C ~ 85°C (TA),Internal,WDT,8KB (8K x 8),FLASH,,256 x 8,89S,24MHz,4V ~ 5.5V
AT89S52-24JU,Microchip Technology,IC MCU 8BIT 8KB FLASH 44PLCC,embedded-microcontrollers,2228,3.79,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc1919.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89S52-24JU/1118893,UART/USART,8051,8-Bit,,Verified,,,32,-40°C ~ 85°C (TA),Internal,WDT,8KB (8K x 8),FLASH,,256 x 8,89S,24MHz,4V ~ 5.5V
AT89S52-24PU,Microchip Technology,IC MCU 8BIT 8KB FLASH 40DIP,embedded-microcontrollers,5433,3.68,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc1919.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89S52-24PU/1008597,UART/USART,8051,8-Bit,,Verified,,,32,-40°C ~ 85°C (TA),Internal,WDT,8KB (8K x 8),FLASH,,256 x 8,89S,24MHz,4V ~ 5.5V
AT89S8253-24AU,Microchip Technology,IC MCU 8BIT 12KB FLASH 44TQFP,embedded-microcontrollers,1909,2.7,44-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/microchip-technology/AT89S8253-24AU/754528,"SPI, UART/USART",8051,8-Bit,,Verified,2K x 8,,32,-40°C ~ 85°C (TA),External,"POR, WDT",12KB (12K x 8),FLASH,,256 x 8,89S,24MHz,2.7V ~ 5.5V
AT89S8253-24JU,Microchip Technology,IC MCU 8BIT 12KB FLASH 44PLCC,embedded-microcontrollers,1834,4.71,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc3286.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89S8253-24JU/754529,"SPI, UART/USART",8051,8-Bit,,Verified,2K x 8,,32,-40°C ~ 85°C (TA),External,"POR, WDT",12KB (12K x 8),FLASH,,256 x 8,89S,24MHz,2.7V ~ 5.5V
AT89S8253-24PU,Microchip Technology,IC MCU 8BIT 12KB FLASH 40DIP,embedded-microcontrollers,1406,4.45,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc3286.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89S8253-24PU/754530,"SPI, UART/USART",8051,8-Bit,,Verified,2K x 8,,32,-40°C ~ 85°C (TA),External,"POR, WDT",12KB (12K x 8),FLASH,,256 x 8,89S,24MHz,2.7V ~ 5.5V
AT90CAN128-16AU,Microchip Technology,IC MCU 8BIT 128KB FLASH 64TQFP,embedded-microcontrollers,5770,9.66,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/7679S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT90CAN128-16AU/1245010,"CANbus, EBI/EMI, I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,53,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (128K x 8),FLASH,,4K x 8,AVR® 90CAN,16MHz,2.7V ~ 5.5V
AT90CAN128-16AUR,Microchip Technology,IC MCU 8BIT 128KB FLASH 64TQFP,embedded-microcontrollers,3049,9.84,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/7679S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT90CAN128-16AUR/2050731,"CANbus, EBI/EMI, I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,53,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (128K x 8),FLASH,,4K x 8,AVR® 90CAN,16MHz,2.7V ~ 5.5V
AT90CAN32-16AU,Microchip Technology,IC MCU 8BIT 32KB FLASH 64TQFP,embedded-microcontrollers,315,6.37,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/7679S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT90CAN32-16AU/1245790,"CANbus, EBI/EMI, I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,1K x 8,,53,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",32KB (32K x 8),FLASH,,2K x 8,AVR® 90CAN,16MHz,2.7V ~ 5.5V
AT90USB1287-AU,Microchip Technology,IC MCU 8BIT 128KB FLASH 64TQFP,embedded-microcontrollers,1041,11.28,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc7593.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT90USB1287-AU/1010019,"EBI/EMI, I2C, SPI, UART/USART, USB OTG",AVR,8-Bit,A/D 8x10b,Not Verified,4K x 8,,48,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (128K x 8),FLASH,,8K x 8,AVR® 90USB,16MHz,2.7V ~ 5.5V
AT90USB162-16AU,Microchip Technology,IC MCU 8BIT 16KB FLASH 32TQFP,embedded-microcontrollers,2142,3.45,32-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/7707S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT90USB162-16AU/1914389,"EBI/EMI, PS/2, SPI, UART/USART, USB",AVR,8-Bit,,Verified,512 x 8,,22,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",16KB (16K x 8),FLASH,,512 x 8,AVR® 90USB,16MHz,2.7V ~ 5.5V
AT91RM9200-CJ-002,Microchip Technology,IC MCU 16/32BIT 128KB ROM 256BGA,embedded-microcontrollers,1562,27.26,256-LFBGA,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/Atmel-1768-32-bit-ARM920T-Embedded-Microprocessor-AT91RM9200_Datasheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT91RM9200-CJ-002/703700,"EBI/EMI, Ethernet, I2C, Memory Card, SPI, SSC, UART/USART, USB",ARM920T,16/32-Bit,,Not Verified,,,122,-40°C ~ 85°C (TA),Internal,POR,128KB (128K x 8),ROM,,48K x 8,AT91,180MHz,1.65V ~ 1.95V
AT91SAM7S256D-AU,Microchip Technology,IC MCU 16/32B 256KB FLASH 64LQFP,embedded-microcontrollers,4302,11.25,64-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc6175.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT91SAM7S256D-AU/3720073,"I2C, SPI, SSC, UART/USART, USB",ARM7®,16/32-Bit,A/D 8x10b,Verified,,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",256KB (256K x 8),FLASH,,64K x 8,SAM7S,55MHz,1.65V ~ 1.95V
AT91SAM7S64C-AU,Microchip Technology,IC MCU 16/32BIT 64KB FLSH 64LQFP,embedded-microcontrollers,2602,7.52,64-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/6175s.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT91SAM7S64C-AU/1994646,"I2C, SPI, SSC, UART/USART, USB",ARM7®,16/32-Bit,A/D 8x10b,Verified,,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",64KB (64K x 8),FLASH,,16K x 8,SAM7S,55MHz,1.65V ~ 1.95V
AT91SAM7X256C-AUR,Microchip Technology,IC MCU 16/32B 256KB FLSH 100LQFP,embedded-microcontrollers,1192,12.59,100-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel_32-bit-ARM7TDMI-Flash-Microcontroller_SAM7X512-256-128_Datasheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT91SAM7X256C-AUR/3775128,"CANbus, Ethernet, I2C, SPI, SSC, UART/USART, USB",ARM7®,16/32-Bit,A/D 8x10b,Not Verified,,,62,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",256KB (256K x 8),FLASH,,64K x 8,SAM7X,55MHz,1.65V ~ 1.95V
AT91SAM7XC512B-AU,Microchip Technology,IC MCU 16/32B 512KB FLSH 100LQFP,embedded-microcontrollers,5810,19.07,100-LQFP,Surface Mount,Active,http://ww1.microchip.com/downloads/en/DeviceDoc/6209s.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT91SAM7XC512B-AU/1867884,"CANbus, Ethernet, I2C, SPI, SSC, UART/USART, USB",ARM7®,16/32-Bit,A/D 8x10b,Not Verified,,,62,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",512KB (512K x 8),FLASH,,128K x 8,SAM7XC,55MHz,1.65V ~ 1.95V
ATMEGA128-16AU,Microchip Technology,IC MCU 8BIT 128KB FLASH 64TQFP,embedded-microcontrollers,2110,15.01,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/2467S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA128-16AU/739749,"EBI/EMI, I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,53,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,4K x 8,AVR® ATmega,16MHz,4.5V ~ 5.5V
ATMEGA1284-AU,Microchip Technology,IC MCU 8BIT 128KB FLASH 44TQFP,embedded-microcontrollers,2993,6.3,44-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega164A_PA-324A_PA-644A_PA-1284_P_Data-Sheet-40002070B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA1284-AU/2271240,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,16K x 8,AVR® ATmega,20MHz,1.8V ~ 5.5V
ATMEGA1284-AUR,Microchip Technology,IC MCU 8BIT 128KB FLASH 44TQFP,embedded-microcontrollers,7630,6.48,44-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega164A_PA-324A_PA-644A_PA-1284_P_Data-Sheet-40002070B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA1284-AUR/2271239,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,16K x 8,AVR® ATmega,20MHz,1.8V ~ 5.5V
ATMEGA1284P-AU,Microchip Technology,IC MCU 8BIT 128KB FLASH 44TQFP,embedded-microcontrollers,6361,6.99,44-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega164A_PA-324A_PA-644A_PA-1284_P_Data-Sheet-40002070B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA1284P-AU/1914519,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,16K x 8,AVR® ATmega,20MHz,1.8V ~ 5.5V
ATMEGA1284P-AUR,Microchip Technology,IC MCU 8BIT 128KB FLASH 44TQFP,embedded-microcontrollers,1357,7.15,44-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA1284P-AUR/2050761,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,16K x 8,AVR® ATmega,20MHz,1.8V ~ 5.5V
ATMEGA1284P-MU,Microchip Technology,IC MCU 8BIT 128KB FLASH 44VQFN,embedded-microcontrollers,1021,6.99,44-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/ATmega164A_PA-324A_PA-644A_PA-1284_P_Data-Sheet-40002070B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA1284P-MU/1914520,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Not Verified,4K x 8,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,16K x 8,AVR® ATmega,20MHz,1.8V ~ 5.5V
ATMEGA1284P-PU,Microchip Technology,IC MCU 8BIT 128KB FLASH 40DIP,embedded-microcontrollers,5763,7.43,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega164A_PA-324A_PA-644A_PA-1284_P_Data-Sheet-40002070B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA1284P-PU/1914521,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Not Verified,4K x 8,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,16K x 8,AVR® ATmega,20MHz,1.8V ~ 5.5V
ATMEGA128A-AUR,Microchip Technology,IC MCU 8BIT 128KB FLASH 64TQFP,embedded-microcontrollers,4066,7.4,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8151S-8-bit-AVR-ATmega128A_Datasheet%20Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA128A-AUR/2356991,"EBI/EMI, I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,4K x 8,,53,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",128KB (64K x 16),FLASH,,4K x 8,AVR® ATmega,16MHz,2.7V ~ 5.5V
ATMEGA16-16AU,Microchip Technology,IC MCU 8BIT 16KB FLASH 44TQFP,embedded-microcontrollers,757,5.86,44-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/2466S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA16-16AU/739753,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 8x10b,Verified,512 x 8,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",16KB (8K x 16),FLASH,,1K x 8,AVR® ATmega,16MHz,4.5V ~ 5.5V
