MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Connectivity,Core Processor,Core Size,Data Converters,DigiKey Programmable,EEPROM Size,Grade,Number of I/O,Operating Temperature,Oscillator Type,Peripherals,Program Memory Size,Program Memory Type,Qualification,RAM Size,Series,Speed,Voltage - Supply (Vcc/Vdd)
PIC16F73-I/SP,Microchip Technology,IC MCU 8BIT 7KB FLASH 28SPDIP,embedded-microcontrollers,2411,4.74,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30325b.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F73-I-SP/388774,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x8b,Verified,,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",7KB (4K x 14),FLASH,,192 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F74-I/L,Microchip Technology,IC MCU 8BIT 7KB FLASH 44PLCC,embedded-microcontrollers,269,6.57,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30325b.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F74-I-L/388776,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x8b,Verified,,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",7KB (4K x 14),FLASH,,192 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F76-I/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SPDIP,embedded-microcontrollers,1859,5.96,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30325b.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F76-I-SP/388779,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x8b,Verified,,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F77-I/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 40DIP,embedded-microcontrollers,1269,6.6,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30325b.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F77-I-P/388782,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x8b,Verified,,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F785-I/SO,Microchip Technology,IC MCU 8BIT 3.5KB FLASH 20SOIC,embedded-microcontrollers,168,2.49,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/41249E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F785-I-SO/951473,,PIC,8-Bit,A/D 14x10b,Verified,256 x 8,,17,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",3.5KB (2K x 14),FLASH,,128 x 8,PIC® 16F,20MHz,2V ~ 5.5V
PIC16F818-I/P,Microchip Technology,IC MCU 8BIT 1.75KB FLASH 18DIP,embedded-microcontrollers,2132,2.88,"18-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39598F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F818-I-P/513043,"I2C, SPI",PIC,8-Bit,A/D 5x10b,Verified,128 x 8,,16,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",1.75KB (1K x 14),FLASH,,128 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F818-I/SO,Microchip Technology,IC MCU 8BIT 1.75KB FLASH 18SOIC,embedded-microcontrollers,5198,2.79,"18-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39598F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F818-I-SO/513044,"I2C, SPI",PIC,8-Bit,A/D 5x10b,Verified,128 x 8,,16,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",1.75KB (1K x 14),FLASH,,128 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F819-I/P,Microchip Technology,IC MCU 8BIT 3.5KB FLASH 18DIP,embedded-microcontrollers,7922,3.26,"18-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/PIC12F1501-16F1503-7-8-9-High-Temp-Data-Sheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F819-I-P/513040,"I2C, SPI",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,16,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",3.5KB (2K x 14),FLASH,,256 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F819-I/SO,Microchip Technology,IC MCU 8BIT 3.5KB FLASH 18SOIC,embedded-microcontrollers,338,3.18,"18-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/PIC12F1501-16F1503-7-8-9-High-Temp-Data-Sheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F819-I-SO/513041,"I2C, SPI",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,16,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",3.5KB (2K x 14),FLASH,,256 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F84A-04/P,Microchip Technology,IC MCU 8BIT 1.75KB FLASH 18DIP,embedded-microcontrollers,2896,4.95,"18-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/35007C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F84A-04-P/303534,,PIC,8-Bit,,Verified,64 x 8,,13,0°C ~ 70°C (TA),External,"POR, WDT",1.75KB (1K x 14),FLASH,,68 x 8,PIC® 16F,4MHz,4V ~ 5.5V
