MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Grade,Qualification,Series,Type
INA2143U/2K5,Texas Instruments,IC AMP SPECIAL 14-SOIC,interface-controllers,0,3.0447,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/INA2143U-2K5/301048,Optical Network,,,,Differential
INA2143U/2K5G4,Texas Instruments,IC AMP SPECIAL 14-SOIC,interface-controllers,0,3.0447,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/INA2143U-2K5G4/1509863,Optical Network,,,,Differential
INA2143UA,Texas Instruments,IC AMP SPECIAL 14-SOIC,interface-controllers,304,5.02,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/INA2143UA/301046,Optical Network,,,,Differential
INA2143UA/2K5,Texas Instruments,IC AMP SPECIAL 14-SOIC,interface-controllers,0,2.31362,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/INA2143UA-2K5/301047,Optical Network,,,,Differential
INA2143UA/2K5G4,Texas Instruments,IC AMP SPECIAL 14-SOIC,interface-controllers,0,2.31362,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/INA2143UA-2K5G4/1509864,Optical Network,,,,Differential
INA2143UAE4,Texas Instruments,IC AMP SPECIAL 14-SOIC,interface-controllers,0,2.37435,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/INA2143UAE4/1509865,Optical Network,,,,Differential
ISL1532AIVEZ,Intersil,IC AMP SPECIAL 20-HTSSOP,interface-controllers,1836,3.88,"20-TSSOP (0.173"", 4.40mm Width) Exposed Pad",Surface Mount,Active,https://rocelec.widen.net/view/pdf/vzyhwltfrt/INSL-S-A0001050226-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/ISL1532AIVEZ/12116005,Networking,,,,Differential
ISL1532IVEZ,Intersil,IC AMP SPECIAL 20-HTSSOP,interface-controllers,2007,3.88,"20-TSSOP (0.173"", 4.40mm Width) Exposed Pad",Surface Mount,Active,https://rocelec.widen.net/view/pdf/ksltyui1l0/INSL-S-A0001383307-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/ISL1532IVEZ/12116601,Networking,,,,Differential
ISL1556IRZ,Intersil,IC AMP SPECIAL 16-QFN,interface-controllers,108,4.21,16-VQFN Exposed Pad,Surface Mount,Active,https://rocelec.widen.net/view/pdf/ifylivsaeg/INSLS07934-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/ISL1556IRZ/12116559,Power line Communications,,,,Driver
ISL1556IUEZ,Intersil,IC AMP SPECIAL 10-HMSOP,interface-controllers,941,2.11,"10-VFSOP, 10-MSOP (0.118"", 3.00mm Width) Exposed Pad",Surface Mount,Active,https://rocelec.widen.net/view/pdf/ifylivsaeg/INSLS07934-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/ISL1556IUEZ/12113732,Power line Communications,,,,Driver
