MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Function,Number of Bits/Stages
AD632AD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632AD/612043,Analog Multiplier/Divider,4-Quadrant
AD632ADZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632ADZ/1246040,Analog Multiplier/Divider,4-Quadrant
AD632AHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632AHZ/1551787,Analog Multiplier/Divider,4-Quadrant
AD632BD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632BD/617816,Analog Multiplier/Divider,4-Quadrant
AD632BDZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632BDZ/1246041,Analog Multiplier/Divider,4-Quadrant
AD632SD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632SD/617818,Analog Multiplier/Divider,4-Quadrant
AD632SH,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632SH/617819,Analog Multiplier/Divider,4-Quadrant
AD632SH/883B,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632SH-883B/3904565,Analog Multiplier/Divider,4-Quadrant
AD632TD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632TD/617820,Analog Multiplier/Divider,4-Quadrant
AD632TD/883B,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632TD-883B/3904566,Analog Multiplier/Divider,4-Quadrant
AD632TH,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632TH/617821,Analog Multiplier/Divider,4-Quadrant
AD632TH/883B,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632TH-883B/3904567,Analog Multiplier/Divider,4-Quadrant
AD633JR-REEL,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JR-REEL/617829,Analog Multiplier,4-Quadrant
AD734SQ/883B,Analog Devices Inc.,IC MULT/DIVIDER 14-CERDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD734.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD734SQ-883B/3904603,Analog Multiplier/Divider,4-Quadrant
AD834AR-REEL,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD834.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD834AR-REEL/621071,Analog Multiplier,4-Quadrant
AD834AR-REEL7,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD834.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD834AR-REEL7/621072,Analog Multiplier,4-Quadrant
AD834ARZ-RL,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD834.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD834ARZ-RL/994164,Analog Multiplier,4-Quadrant
AD834JNZ,Analog Devices Inc.,IC MULT 8-PDIP,interface-specialized,0,0.0,"8-DIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD834.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD834JNZ/997997,Analog Multiplier,4-Quadrant
AD834SQ/883B,Analog Devices Inc.,IC MULT 8-CERDIP,interface-specialized,0,0.0,"8-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD834.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD834SQ-883B/3904648,Analog Multiplier,4-Quadrant
HA9P2556-9,Renesas Electronics Corporation,IC MULT 16-SOIC,interface-specialized,0,0.0,"16-SOIC (0.295"", 7.50mm Width)",,Obsolete,https://www.renesas.com/us/en/document/dst/ha-2556-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/HA9P2556-9/936092,Analog Multiplier,4-Quadrant
JM38510/13901BCA,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/analog-devices-inc/JM38510-13901BCA/3904745,Analog Multiplier/Divider,4-Quadrant
JM38510/13901BIA,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/ad534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/JM38510-13901BIA/3904746,Analog Multiplier/Divider,4-Quadrant
JM38510/13902BCA,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/analog-devices-inc/JM38510-13902BCA/3904747,Analog Multiplier/Divider,4-Quadrant
JM38510/13902BIA,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/analog-devices-inc/JM38510-13902BIA/3904748,Analog Multiplier/Divider,4-Quadrant
JM38510/13903BIA,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/analog-devices-inc/JM38510-13903BIA/3904749,Analog Multiplier/Divider,4-Quadrant
RC4200AMT,Fairchild Semiconductor,IC MULT 8-SOIC,interface-specialized,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://rocelec.widen.net/view/pdf/lnkm8vbrgr/FAIRS19564-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/RC4200AMT/12124306,Analog Multiplier,4-Quadrant
