MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply (Max),Features,Operating Temperature,Output,Resolution (Bits),Series,Voltage - Supply
MAX44006EDT+,Analog Devices Inc./Maxim Integrated,COLOR SENSOR I2C 14-B,ambient-light-sensors,0,0.0,-,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/18/MAX44006_44008.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX44006EDT/6194524,30µA @ 1.8V,"Gain Control, Interrupt, Programmable Resolution, Sleep Mode",-40°C ~ 85°C,I2C,14 b,,1.7 V ~ 2 V
MAX44006EDT+T,Analog Devices Inc./Maxim Integrated,COLOR SENSOR I2C 14-B 6,ambient-light-sensors,0,0.0,6-VFDFN,,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX44006EDT-T/2591394,30µA @ 1.8V,"Gain Control, Interrupt, Programmable Resolution, Sleep Mode",-40°C ~ 85°C,I2C,14 b,,1.7 V ~ 2 V
MAX44006GDT+T,Analog Devices Inc./Maxim Integrated,COLOR SENSOR I2C 14-B 6-VFDFN,ambient-light-sensors,0,0.0,6-VFDFN,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/18/MAX44006_44008.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX44006GDT-T/2748574,30µA @ 1.8V,"Gain Control, Interrupt, Programmable Resolution, Sleep Mode",-40°C ~ 85°C,I2C,14 b,,1.7 V ~ 2 V
MAX44008EDT+,Analog Devices Inc./Maxim Integrated,COLOR SENSOR I2C 14-B,ambient-light-sensors,0,0.0,-,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/18/MAX44006_44008.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX44008EDT/6194526,30µA @ 3.3V,"Gain Control, Interrupt, Programmable Resolution, Sleep Mode",-40°C ~ 85°C,I2C,14 b,,2.7 V ~ 5.5 V
MAX44008EDT+T,Analog Devices Inc./Maxim Integrated,COLOR SENSOR I2C 14-B 6-VFDFN,ambient-light-sensors,0,0.0,6-VFDFN,,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX44008EDT-T/2748576,30µA @ 3.3V,"Gain Control, Interrupt, Programmable Resolution, Sleep Mode",-40°C ~ 85°C,I2C,14 b,,2.7 V ~ 5.5 V
MAX44008GDT+T,Analog Devices Inc./Maxim Integrated,COLOR SENSOR I2C 14-B 6-VFDFN,ambient-light-sensors,0,0.0,6-VFDFN,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/18/MAX44006_44008.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX44008GDT-T/2748578,30µA @ 3.3V,"Gain Control, Interrupt, Programmable Resolution, Sleep Mode",-40°C ~ 85°C,I2C,14 b,,2.7 V ~ 5.5 V
OPB780Z,TT Electronics/Optek Technology,COLOR SENSOR FREQ BOX,ambient-light-sensors,0,17.2896,Box,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/OPB780Z.pdf,https://www.digikey.com/en/products/detail/tt-electronics-optek-technology/OPB780Z/1619774,3mA @ 5V,,-40°C ~ 70°C,Frequency,,,2.7 V ~ 5.5 V
OPT4048DTSR,Texas Instruments,COLOR SENSOR I2C 20-B SOT,ambient-light-sensors,0,2.3,SOT-583,,Active,https://www.ti.com/lit/ds/symlink/opt4048.pdf?ts=1698653299594&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FOPT4048,https://www.digikey.com/en/products/detail/texas-instruments/OPT4048DTSR/21298553,,,-40°C ~ 85°C,I2C,20 b,,1.6 V ~ 3.6 V
OPT4048DTST,Texas Instruments,COLOR SENSOR I2C 20-B SOT,ambient-light-sensors,0,0.0,SOT-583,,Obsolete,https://www.ti.com/lit/ds/symlink/opt4048.pdf?ts=1698653299594&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FOPT4048,https://www.digikey.com/en/products/detail/texas-instruments/OPT4048DTST/21298777,,,-40°C ~ 85°C,I2C,20 b,,1.6 V ~ 3.6 V
OPT4060DTSR,Texas Instruments,COLOR SENSOR I2C 20-B SOT,ambient-light-sensors,7697,1.96,SOT-583,,Active,https://www.ti.com/lit/ds/symlink/opt4060.pdf?ts=1704223000280,https://www.digikey.com/en/products/detail/texas-instruments/OPT4060DTSR/22116843,24µA,,-40°C ~ 85°C,I2C,20 b,,1.6 V ~ 3.6 V
TCS3103FN,ams-OSRAM USA INC.,COLOR SENSOR VOLTAGE/RGB 6-VFDFN,ambient-light-sensors,0,0.0,6-VFDFN,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3103_04_Rev_Aug_2013.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3103FN/3103133,500µA @ 5V,Gain Control,-30°C ~ 70°C,"Voltage, RGB",,,4.5 V ~ 5.5 V
TCS3104FN,ams-OSRAM USA INC.,COLOR SENSOR VOLTAGE/RGB 6-VFDFN,ambient-light-sensors,0,0.0,6-VFDFN,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3103_04_Rev_Aug_2013.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3104FN/3103134,500µA @ 5V,Gain Control,-30°C ~ 70°C,"Voltage, RGB",,,4.5 V ~ 5.5 V
TCS3200D-TR,ams-OSRAM USA INC.,COLOR SENSOR FREQ 8-SOIC,ambient-light-sensors,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3200%2C210.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3200D-TR/3095147,2mA @ 5V,Auto Power Down,-40°C ~ 85°C,Frequency,,,2.7 V ~ 5.5 V
TCS3210D-TR,ams-OSRAM USA INC.,COLOR SENSOR FREQ 8-SOIC,ambient-light-sensors,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3200%2C210.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3210D-TR/3095148,2mA @ 5V,Auto Power Down,-40°C ~ 85°C,Frequency,,,2.7 V ~ 5.5 V
TCS3404CS,ams-OSRAM USA INC.,COLOR SENSOR SMBUS 16-B 6-VFBGA,ambient-light-sensors,0,0.0,6-VFBGA,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3404CS/3095149,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-40°C ~ 85°C,SMBus,16 b,,2.7 V ~ 3.6 V
TCS3404FN,ams-OSRAM USA INC.,COLOR SENSOR SMBUS 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3404FN/3095150,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-30°C ~ 70°C,SMBus,16 b,,2.7 V ~ 3.6 V
TCS3413CS,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-BGA,ambient-light-sensors,0,0.0,6-BGA,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3413CS/3095151,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-40°C ~ 85°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS3413FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3413FN/3645614,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS3414CS,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-BGA,ambient-light-sensors,0,0.0,6-BGA,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3414CS/3095153,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-40°C ~ 85°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS3414FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3414FN/3095154,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS3415CS,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-CSP,ambient-light-sensors,0,0.0,6-CSP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3415CS/3095155,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-40°C ~ 85°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS3415FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,1.64648,6-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3415FN/3095156,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS3416CS,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-CSP,ambient-light-sensors,0,2.0625,6-CSP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3416CS/3095157,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-40°C ~ 85°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS3416FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,1.64648,6-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/TCS3404_14_Rev_Nov_2015.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS3416FN/3095158,11mA @ 3.6V,"Gain Control, Interrupt, Sync Input",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS34711FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://look.ams-osram.com/m/1ab5968309bf0559/original/TCS3471-DS000109.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34711FN/10324403,330µA @ 3V,"Gain Control, Interrupt, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.3 V
