MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Access Time,Clock Frequency,DigiKey Programmable,Grade,Memory Format,Memory Interface,Memory Organization,Memory Size,Memory Type,Operating Temperature,Qualification,Series,Technology,Voltage - Supply,"Write Cycle Time - Word, Page"
24AA025E48-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,5104,0.37,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025E48-I-SN/2351999,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025E48T-E/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-6,memory,2217,0.43,SOT-23-6,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025E48T-E-OT/5032401,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 125°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025E48T-E/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,4083,0.46,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025E48T-E-SN/5032402,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 125°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025E48T-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-6,memory,14010,0.37,SOT-23-6,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025E48T-I-OT/2352000,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025E48T-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,13190,0.4,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025E48T-I-SN/2355078,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025E64T-E/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-6,memory,1203,0.43,SOT-23-6,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025E64T-E-OT/5032403,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 125°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025E64T-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-6,memory,2903,0.37,SOT-23-6,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025E64T-I-OT/3908633,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025T-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-6,memory,6319,0.35,SOT-23-6,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/24AA024-24LC024-24AA025-24LC025-2-Kbit-I2C-Serial-EEPROM-DS20001210.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025T-I-OT/2059601,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025UID-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,2931,0.35,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/20005202A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025UID-I-SN/4079969,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128 x 8 x 2,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA025UIDT-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-6,memory,17925,0.35,SOT-23-6,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/20005202A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA025UIDT-I-OT/4079900,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128 x 8 x 2,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02E48-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,5326,0.322,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02E48-I-SN/2003465,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02E48T-E/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-5,memory,2961,0.37,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02E48T-E-OT/5032405,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 125°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02E48T-E/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,2540,0.41,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02E48T-E-SN/5032406,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 125°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02E48T-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-5,memory,5797,0.32,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02E48T-I-OT/2003460,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02E48T-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,3187,0.35,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02E48T-I-SN/2061392,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02E64T-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-5,memory,7041,0.32,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/2-Kbit-I2C-Serial-EEPROMs-+EUI-48-or-EUI-64-Node-20002124.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02E64T-I-OT/3908649,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02T-I/LT,Microchip Technology,IC EEPROM 2KBIT I2C SC70-5,memory,13246,0.35,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA02-24LC02B-24FC02-2K-I2C-Serial-EEPROM-20001709N.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02T-I-LT/2059604,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
