MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Control Features,Current - Output,Current - Quiescent (Iq),Current - Supply (Max),Grade,Number of Regulators,Operating Temperature,Output Configuration,Output Type,PSRR,Protection Features,Qualification,Series,Voltage - Input (Max),Voltage - Output (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max)
MC78L15ACPG,onsemi,IC REG LINEAR 15V 100MA TO92,pmic-voltage-regulators-linear,2251,0.29,"TO-226-3, TO-92-3 Long Body",Through Hole,Active,https://www.onsemi.com/pdf/datasheet/mc78l00a-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78L15ACPG/919360,,100mA,6.5 mA,,,1,0°C ~ 125°C,Positive,Fixed,39dB (120Hz),"Over Temperature, Short Circuit",,,35V,,15V,
MC78L18ACPG,onsemi,IC REG LINEAR 18V 100MA TO92,pmic-voltage-regulators-linear,3381,0.29,"TO-226-3, TO-92-3 Long Body",Through Hole,Active,https://www.onsemi.com/pdf/datasheet/mc78l00a-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78L18ACPG/1967128,,100mA,6.5 mA,,,1,0°C ~ 125°C,Positive,Fixed,48dB (120Hz),"Over Temperature, Short Circuit",,,35V,,18V,
MC78L24ACPG,onsemi,IC REG LINEAR 24V 100MA TO92,pmic-voltage-regulators-linear,3126,0.29,"TO-226-3, TO-92-3 Long Body",Through Hole,Active,https://www.onsemi.com/pdf/datasheet/mc78l00a-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78L24ACPG/1967129,,100mA,6.5 mA,,,1,0°C ~ 125°C,Positive,Fixed,45dB (120Hz),"Over Temperature, Short Circuit",,,40V,,24V,
MC78LC18NTRG,onsemi,IC REG LINEAR 1.8V 50MA 5-TSOP,pmic-voltage-regulators-linear,8557,0.23,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78lc00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78LC18NTRG/921043,,50mA,3.6 µA,,,1,-40°C ~ 85°C,Positive,Fixed,,,,,12V,,1.8V,0.06V @ 1mA
MC78LC30NTRG,onsemi,IC REG LINEAR 3V 80MA 5-TSOP,pmic-voltage-regulators-linear,8841,0.23,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78lc00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78LC30NTRG/919363,,80mA,3.6 µA,,,1,-40°C ~ 85°C,Positive,Fixed,,,,,12V,,3V,0.06V @ 1mA
MC78LC33NTRG,onsemi,IC REG LINEAR 3.3V 80MA 5-TSOP,pmic-voltage-regulators-linear,0,0.23,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78lc00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78LC33NTRG/919365,,80mA,3.6 µA,,,1,-40°C ~ 85°C,Positive,Fixed,,,,,12V,,3.3V,0.053V @ 1mA
MC78LC50NTRG,onsemi,IC REG LINEAR 5V 100MA 5-TSOP,pmic-voltage-regulators-linear,12894,0.23,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78lc00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78LC50NTRG/919367,,100mA,3.6 µA,,,1,-40°C ~ 85°C,Positive,Fixed,,,,,12V,,5V,0.038V @ 1mA
MC78M05BDTG,onsemi,IC REG LINEAR 5V 500MA DPAK,pmic-voltage-regulators-linear,3497,0.22893,"TO-252-3, DPAK (2 Leads + Tab), SC-63",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78M05BDTG/1481422,,500mA,,,,1,-40°C ~ 125°C,Positive,Fixed,80dB (120Hz),"Over Temperature, Short Circuit",,,35V,,5V,
MC78M05BDTRKG,onsemi,IC REG LINEAR 5V 500MA DPAK,pmic-voltage-regulators-linear,116905,0.43,"TO-252-3, DPAK (2 Leads + Tab), SC-63",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78M05BDTRKG/919369,,500mA,,,,1,-40°C ~ 125°C,Positive,Fixed,80dB (120Hz),"Over Temperature, Short Circuit",,,35V,,5V,
MC78M05CDTG,onsemi,IC REG LINEAR 5V 500MA DPAK,pmic-voltage-regulators-linear,14855,0.22467,"TO-252-3, DPAK (2 Leads + Tab), SC-63",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78M05CDTG/1481423,,500mA,,,,1,0°C ~ 125°C,Positive,Fixed,80dB (120Hz),"Over Temperature, Short Circuit",,,35V,,5V,
