MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Control Features,Current - Output,Current - Quiescent (Iq),Current - Supply (Max),Grade,Number of Regulators,Operating Temperature,Output Configuration,Output Type,PSRR,Protection Features,Qualification,Series,Voltage - Input (Max),Voltage - Output (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max)
ADM7150ARDZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 800MA 8-SOIC-EP,pmic-voltage-regulators-linear,278,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7150ARDZ-3-3-R7/4916432,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Fixed,94dB ~ 62dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,,3.3V,
ADM7150ARDZ-5.0,Analog Devices Inc.,IC REG LINEAR 5V 800MA 8-SOIC-EP,pmic-voltage-regulators-linear,608,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7150ARDZ-5-0/4504757,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Fixed,95dB ~ 62dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,,5V,1V @ 800mA
ADM7150ARDZ-5.0-R7,Analog Devices Inc.,IC REG LINEAR 5V 800MA 8-SOIC-EP,pmic-voltage-regulators-linear,1295,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7150ARDZ-5-0-R7/4916433,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Fixed,95dB ~ 62dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,,5V,1V @ 800mA
ADM7151ACPZ-04-R7,Analog Devices Inc.,IC REG LIN POS ADJ 800MA 8LFCSP,pmic-voltage-regulators-linear,0,11.37,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7151.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7151ACPZ-04-R7/4866865,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Adjustable,94dB ~ 53dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,5.1V,1.5V,1.2V @ 800mA
ADM7151ARDZ-04-R7,Analog Devices Inc.,IC REG LIN POS ADJ 800MA 8-SOIC,pmic-voltage-regulators-linear,45,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7151.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7151ARDZ-04-R7/4916435,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C (TJ),Positive,Adjustable,94dB ~ 53dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,5.1V,1.5V,1.2V @ 800mA
ADM7154ACPZ-1.8-R7,Analog Devices Inc.,IC REG LIN 1.8V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,2639,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-1-8-R7/5057391,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,63dB (1MHz),"Over Current, Over Temperature",,,5.5V,,1.8V,
ADM7154ACPZ-2.5-R7,Analog Devices Inc.,IC REG LIN 2.5V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,6639,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-2-5-R7/5057392,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,5.5V,,2.5V,
ADM7154ACPZ-3.0-R7,Analog Devices Inc.,IC REG LIN 3V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,7637,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-3-0-R7/5057394,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,5.5V,,3V,
ADM7154ACPZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,4810,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-3-3-R7/5057395,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,58dB (1MHz),"Over Current, Over Temperature",,,5.5V,,3.3V,0.21V @ 600mA
ADM7154ARDZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 600MA 8-SOIC-EP,pmic-voltage-regulators-linear,0,8.07,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ARDZ-3-3-R7/5057400,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,58dB (1MHz),"Over Current, Over Temperature",,,5.5V,,3.3V,0.21V @ 600mA
ADM7155ACPZ-04-R7,Analog Devices Inc.,IC REG LIN POS ADJ 600MA 8LFCSP,pmic-voltage-regulators-linear,2776,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7155.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7155ACPZ-04-R7/5057404,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Adjustable,94dB ~ 57dB (1kHz ~ 1MHz),"Over Current, Over Temperature",,,5.5V,3.4V,1.2V,0.21V @ 600mA
ADM7155ARDZ-04-R7,Analog Devices Inc.,IC REG LIN POS ADJ 600MA 8-SOIC,pmic-voltage-regulators-linear,1918,8.07,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7155.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7155ARDZ-04-R7/5057407,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Adjustable,94dB ~ 57dB (1kHz ~ 1MHz),"Over Current, Over Temperature",,,5.5V,3.4V,1.2V,0.21V @ 600mA
ADM7160ACPZN3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 200MA 6-LFCSP-UD,pmic-voltage-regulators-linear,4914,1.7,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7160.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7160ACPZN3-3-R7/4901192,Enable,200mA,20 µA,350 µA,,1,-40°C ~ 125°C (TA),Positive,Fixed,54dB ~ 43dB (100kHz ~ 1MHz),"Over Temperature, Short Circuit, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.23V @ 200mA
ADM7160AUJZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 200MA TSOT-23-5,pmic-voltage-regulators-linear,0,1.87,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7160.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7160AUJZ-3-3-R7/4901194,Enable,200mA,20 µA,350 µA,,1,-40°C ~ 125°C (TA),Positive,Fixed,54dB ~ 43dB (100kHz ~ 1MHz),"Over Temperature, Short Circuit, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.23V @ 200mA
ADM7170ACPZ-1.8-R7,Analog Devices Inc.,IC REG LIN 1.8V 500MA 8-LFCSP-WD,pmic-voltage-regulators-linear,0,3.43,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7170.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7170ACPZ-1-8-R7/5011529,"Enable, Soft Start",500mA,2 mA,5.1 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,1.8V,
ADM7170ACPZ-3.0-R7,Analog Devices Inc.,IC REG LIN 3V 500MA 8-LFCSP-WD,pmic-voltage-regulators-linear,18360,3.43,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7170.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7170ACPZ-3-0-R7/5011531,"Enable, Soft Start",500mA,2 mA,5.1 mA,,1,-40°C ~ 125°C,Positive,Fixed,60db ~ 20dB (100kHz ~ 1MHz),"Over Current, Over Temperature",,,6.5V,,3V,0.07V @ 500mA
ADM7170ACPZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 500MA 8-LFCSP-WD,pmic-voltage-regulators-linear,325,3.43,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7170.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7170ACPZ-3-3-R7/5011532,"Enable, Soft Start",500mA,2 mA,5.1 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,3.3V,
ADM7170ACPZ-5.0-R7,Analog Devices Inc.,IC REG LIN 5V 500MA 8-LFCSP-WD,pmic-voltage-regulators-linear,710,3.43,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7170.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7170ACPZ-5-0-R7/5011534,"Enable, Soft Start",500mA,2 mA,5.1 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,5V,
ADM7170ACPZ-R7,Analog Devices Inc.,IC REG LIN POS ADJ 500MA 8LFCSP,pmic-voltage-regulators-linear,4173,3.83,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7170.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7170ACPZ-R7/5004758,"Enable, Soft Start",500mA,2 mA,5.1 mA,,1,-40°C ~ 125°C,Positive,Adjustable,60db ~ 20dB (100kHz ~ 1MHz),"Over Current, Over Temperature",,,6.5V,5.8V,1.2V,0.07V @ 500mA
ADM7171ACPZ-1.8-R7,Analog Devices Inc.,IC REG LINEAR 1.8V 1A 8-LFCSP-WD,pmic-voltage-regulators-linear,932,4.5,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7171.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7171ACPZ-1-8-R7/5011536,"Enable, Soft Start",1A,2 mA,6.3 mA,,1,-40°C ~ 125°C (TJ),Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,1.8V,0.135V @ 1A
ADM7171ACPZ-2.5-R7,Analog Devices Inc.,IC REG LINEAR 2.5V 1A 8-LFCSP-WD,pmic-voltage-regulators-linear,3537,4.5,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7171.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7171ACPZ-2-5-R7/5011537,"Enable, Soft Start",1A,2 mA,6.3 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,2.5V,
ADM7171ACPZ-3.3-R7,Analog Devices Inc.,IC REG LINEAR 3.3V 1A 8-LFCSP-WD,pmic-voltage-regulators-linear,1492,4.5,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7171.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7171ACPZ-3-3-R7/5011539,"Enable, Soft Start",1A,2 mA,6.3 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,3.3V,
ADM7171ACPZ-5.0-R7,Analog Devices Inc.,IC REG LINEAR 5V 1A 8-LFCSP-WD,pmic-voltage-regulators-linear,4930,4.5,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7171.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7171ACPZ-5-0-R7/5011541,"Enable, Soft Start",1A,2 mA,6.3 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,5V,
ADM7171ACPZ-R7,Analog Devices Inc.,IC REG LIN POS ADJ 1A 8-LFCSP-WD,pmic-voltage-regulators-linear,774,4.5,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7171.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7171ACPZ-R7/5004759,"Enable, Soft Start",1A,2 mA,6.3 mA,,1,-40°C ~ 125°C,Positive,Adjustable,60db ~ 20dB (100kHz ~ 1MHz),"Over Current, Over Temperature",,,6.5V,6.365V,1.2V,0.135V @ 1A
ADM7172ACPZ-1.3-R7,Analog Devices Inc.,IC REG LINEAR 1.3V 2A 8-LFCSP-WD,pmic-voltage-regulators-linear,0,6.48,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7172ACPZ-1-3-R7/5011542,"Enable, Soft Start",2A,2 mA,8.7 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,1.3V,
ADM7172ACPZ-1.8-R7,Analog Devices Inc.,IC REG LINEAR 1.8V 2A 8-LFCSP-WD,pmic-voltage-regulators-linear,2092,6.48,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7172ACPZ-1-8-R7/5011543,"Enable, Soft Start",2A,2 mA,8.7 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,1.8V,
ADM7172ACPZ-2.5-R7,Analog Devices Inc.,IC REG LINEAR 2.5V 2A 8-LFCSP-WD,pmic-voltage-regulators-linear,1957,6.48,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7172ACPZ-2-5-R7/5011544,"Enable, Soft Start",2A,2 mA,8.7 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,2.5V,
ADM7172ACPZ-3.3-R7,Analog Devices Inc.,IC REG LINEAR 3.3V 2A 8-LFCSP-WD,pmic-voltage-regulators-linear,449,6.48,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7172ACPZ-3-3-R7/5011546,"Enable, Soft Start",2A,2 mA,8.7 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,3.3V,
ADM7172ACPZ-5.0-R7,Analog Devices Inc.,IC REG LINEAR 5V 2A 8-LFCSP-WD,pmic-voltage-regulators-linear,4438,6.48,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7172ACPZ-5-0-R7/5011548,"Enable, Soft Start",2A,2 mA,8.7 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,6.5V,,5V,
ADM7172ACPZ-R7,Analog Devices Inc.,IC REG LIN POS ADJ 2A 8-LFCSP-WD,pmic-voltage-regulators-linear,0,6.48,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7172ACPZ-R7/5004760,"Enable, Soft Start",2A,2 mA,8.7 mA,,1,-40°C ~ 125°C,Positive,Adjustable,60db ~ 20dB (100kHz ~ 1MHz),"Over Current, Over Temperature",,,6.5V,6.23V,1.2V,.27V @ 2A
ADP121-AUJZ33R7,Analog Devices Inc.,IC REG LIN 3.3V 150MA TSOT-23-5,pmic-voltage-regulators-linear,16941,1.23,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP121.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP121-AUJZ33R7/1938217,Enable,150mA,21 µA,40 µA,,1,-40°C ~ 125°C,Positive,Fixed,60dB (10kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.135V @ 150mA
ADP122ACPZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 300MA 6-LFCSP-UD,pmic-voltage-regulators-linear,0,1.41,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP122_123.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP122ACPZ-3-3-R7/2780686,Enable,300mA,105 µA,240 µA,,1,-40°C ~ 125°C,Positive,Fixed,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.15V @ 300mA
ADP122AUJZ-3.0-R7,Analog Devices Inc.,IC REG LINEAR 3V 300MA TSOT-23-5,pmic-voltage-regulators-linear,6788,1.52,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP122_123.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP122AUJZ-3-0-R7/2237671,Enable,300mA,105 µA,240 µA,,1,-40°C ~ 125°C,Positive,Fixed,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3V,0.15V @ 300mA
ADP122AUJZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 300MA TSOT-23-5,pmic-voltage-regulators-linear,57971,1.52,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP122_123.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP122AUJZ-3-3-R7/2237672,Enable,300mA,105 µA,240 µA,,1,-40°C ~ 125°C,Positive,Fixed,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.15V @ 300mA
ADP123ACPZ-R7,Analog Devices Inc.,IC REG LIN POS ADJ 300MA 6LFCSP,pmic-voltage-regulators-linear,8306,1.41,"6-UDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP122_123.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP123ACPZ-R7/2780705,Enable,300mA,105 µA,240 µA,,1,-40°C ~ 125°C,Positive,Adjustable,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,5V,0.8V,0.15V @ 300mA
ADP123AUJZ-R7,Analog Devices Inc.,IC REG LIN POS ADJ 300MA TSOT23,pmic-voltage-regulators-linear,52780,1.52,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP122_123.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP123AUJZ-R7/2237673,Enable,300mA,105 µA,240 µA,,1,-40°C ~ 125°C,Positive,Adjustable,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,5V,0.8V,0.15V @ 300mA
ADP124ACPZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 500MA 8-LFCSP-UD,pmic-voltage-regulators-linear,14112,1.97,"8-UFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP124_125.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP124ACPZ-3-3-R7/2606408,Enable,500mA,105 µA,280 µA,,1,-40°C ~ 125°C,Positive,Fixed,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.23V @ 500mA
ADP125ACPZ-R7,Analog Devices Inc.,IC REG LIN POS ADJ 500MA 8LFCSP,pmic-voltage-regulators-linear,3,1.52,"8-UFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP124_125.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP125ACPZ-R7/2606409,Enable,500mA,105 µA,280 µA,,1,-40°C ~ 125°C,Positive,Adjustable,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,5V,0.8V,0.23V @ 500mA
ADP125ARHZ-R7,Analog Devices Inc.,IC REG LINEAR POS ADJ 8-MSOP-EP,pmic-voltage-regulators-linear,7187,2.52,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP124_125.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP125ARHZ-R7/2237682,Enable,500mA,105 µA,280 µA,,1,-40°C ~ 125°C,Positive,Adjustable,60dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,5V,0.8V,0.23V @ 500mA
ADP150ACBZ-1.8-R7,Analog Devices Inc.,IC REG LINEAR 1.8V 150MA 4-WLCSP,pmic-voltage-regulators-linear,4288,1.28,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP150ACBZ-1-8-R7/2606403,Enable,150mA,22 µA,320 µA,,1,-40°C ~ 125°C,Positive,Fixed,70dB ~ 55dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,1.8V,
ADP150ACBZ-3.0-R7,Analog Devices Inc.,IC REG LINEAR 3V 150MA 4-WLCSP,pmic-voltage-regulators-linear,2251,1.28,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP150ACBZ-3-0-R7/2207482,Enable,150mA,22 µA,320 µA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3V,0.16V @ 150mA
ADP150AUJZ-1.8-R7,Analog Devices Inc.,IC REG LIN 1.8V 150MA TSOT-23-5,pmic-voltage-regulators-linear,8462,1.39,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP150AUJZ-1-8-R7/2207484,Enable,150mA,22 µA,320 µA,,1,-40°C ~ 125°C,Positive,Fixed,70dB ~ 55dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,1.8V,
ADP150AUJZ-2.5-R7,Analog Devices Inc.,IC REG LIN 2.5V 150MA TSOT-23-5,pmic-voltage-regulators-linear,17442,1.39,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP150AUJZ-2-5-R7/2207486,Enable,150mA,22 µA,320 µA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,2.5V,0.16V @ 150mA
ADP150AUJZ-3.0-R7,Analog Devices Inc.,IC REG LINEAR 3V 150MA TSOT-23-5,pmic-voltage-regulators-linear,1581,1.39,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP150AUJZ-3-0-R7/2207488,Enable,150mA,22 µA,320 µA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3V,0.16V @ 150mA
ADP150AUJZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 150MA TSOT-23-5,pmic-voltage-regulators-linear,22987,1.39,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP150AUJZ-3-3-R7/2207487,Enable,150mA,22 µA,320 µA,,1,-40°C ~ 125°C,Positive,Fixed,70dB ~ 55dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.16V @ 150mA
ADP151ACBZ-1.8-R7,Analog Devices Inc.,IC REG LINEAR 1.8V 200MA 4-WLCSP,pmic-voltage-regulators-linear,8880,1.36,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP151.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP151ACBZ-1-8-R7/2334164,Enable,200mA,20 µA,350 µA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,1.8V,
ADP151ACBZ-3.3-R7,Analog Devices Inc.,IC REG LINEAR 3.3V 200MA 4-WLCSP,pmic-voltage-regulators-linear,9058,1.36,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP151.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP151ACBZ-3-3-R7/2334171,Enable,200mA,20 µA,350 µA,,1,-40°C ~ 125°C,Positive,Fixed,70dB ~ 55dB (10kHz ~ 100kHz),"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",,,5.5V,,3.3V,0.2V @ 200mA
