MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Clock Frequency,Current - Output Source/Sink,DigiKey Programmable,Features,Grade,Interface,Interrupt Output,Number of I/O,Number of Outputs,Operating Temperature,Output Type,Qualification,Series,Voltage - Input,Voltage - Output,Voltage - Supply
SX1503I091TRT,Semtech Corporation,IC XPNDR 400KHZ I2C 28QFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,28-UFQFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/637/SX1501-03_Rev7_10-2-08.pdf,https://www.digikey.com/en/products/detail/semtech-corporation/SX1503I091TRT/2126378,,400 kHz,"8mA, 24mA",Not Verified,POR,,I2C,Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.2V ~ 5.5V
SX1504I087TRT,Semtech Corporation,IC XPNDR 400KHZ I2C 20QFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,20-UFQFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/637/SX1504_05_06.pdf,https://www.digikey.com/en/products/detail/semtech-corporation/SX1504I087TRT/2126379,,400 kHz,"8mA, 24mA",Not Verified,POR,,I2C,Yes,4,,-40°C ~ 85°C,Push-Pull,,,,,2.5V ~ 5.5V
SX1505I087TRT,Semtech Corporation,IC XPNDR 400KHZ I2C 20QFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.53732,20-UFQFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/637/SX1504_05_06.pdf,https://www.digikey.com/en/products/detail/semtech-corporation/SX1505I087TRT/2272311,,400 kHz,"8mA, 24mA",Not Verified,POR,,I2C,Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,2.5V ~ 5.5V
SX1506I091TRT,Semtech Corporation,IC XPNDR 400KHZ I2C 28QFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.72265,28-UFQFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/637/SX1504_05_06.pdf,https://www.digikey.com/en/products/detail/semtech-corporation/SX1506I091TRT/2272313,,400 kHz,"8mA, 24mA",Not Verified,POR,,I2C,Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,2.5V ~ 5.5V
SX1508BIULTRT,Semtech Corporation,IC XPNDR 400KHZ I2C 20QFN,pmic-voltage-regulators-dc-dc-switching-regulators,3595,2.07,20-UFQFN Exposed Pad,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/515/SX1508B_09B_Rev4_4-26-11.pdf,https://www.digikey.com/en/products/detail/semtech-corporation/SX1508BIULTRT/4259585,,400 kHz,,Not Verified,POR,,I2C,Yes,8,,-40°C ~ 85°C,"Open Drain, Push-Pull",,,,,1.2V ~ 3.6V
SX1508IULTRT,Semtech Corporation,IC XPNDR 400KHZ I2C 20QFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.8181,20-UFQFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4818/SX1507_08_09.pdf,https://www.digikey.com/en/products/detail/semtech-corporation/SX1508IULTRT/2295544,,400 kHz,"8mA, 15mA",Not Verified,"Keypad Controller, LED Output, POR",,I2C,Yes,8,,-40°C ~ 85°C,"Open Drain, Push-Pull",,,,,1.425V ~ 3.6V
SX1508QBIULTRT,Semtech Corporation,IC XPNDR 400KHZ I2C 20QFN,pmic-voltage-regulators-dc-dc-switching-regulators,2970,2.07,20-UFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/semtech-corporation/SX1508QBIULTRT/5118190,,400 kHz,"8mA, 15mA",Not Verified,,,I2C,No,8,,-40°C ~ 85°C,"Open Drain, Push-Pull",,,,,1.425V ~ 3.6V
SX1509BIULTRT,Semtech Corporation,IC XPNDR 400KHZ I2C 28QFN,pmic-voltage-regulators-dc-dc-switching-regulators,15543,3.52,28-UFQFN Exposed Pad,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/515/SX1508B_09B_Rev4_4-26-11.pdf,https://www.digikey.com/en/products/detail/semtech-corporation/SX1509BIULTRT/2295545,,400 kHz,"8mA, 15mA",Not Verified,"Keypad Controller, LED Output, POR",,I2C,Yes,16,,-40°C ~ 85°C,"Open Drain, Push-Pull",,,,,1.425V ~ 3.6V
SX1509QBIULTRT,Semtech Corporation,IC XPNDR 400KHZ I2C 28QFN,pmic-voltage-regulators-dc-dc-switching-regulators,26686,3.52,28-UFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/semtech-corporation/SX1509QBIULTRT/4626660,,400 kHz,"8mA, 15mA",Not Verified,"Keypad Controller, LED Output, POR",,I2C,Yes,16,,-40°C ~ 85°C,"Open Drain, Push-Pull",,,,,1.425V ~ 3.6V
SX1511BIULTRT,Semtech Corporation,IC XPNDR 20MHZ SPI 20QFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,20-UFQFN Exposed Pad,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/semtech-corporation/SX1511BIULTRT/5118191,,20 MHz,"8mA, 15mA",Not Verified,,,SPI,No,8,,-40°C ~ 85°C,"Open Drain, Push-Pull",,,,,1.425V ~ 3.6V
