MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Filter Order,Filter Type,Frequency - Cutoff or Center,Grade,Number of Filters,Qualification,Series,Voltage - Supply
ADMV8526ACCZ,Analog Devices Inc.,1250 TO 2600 MHZ TUNABLE BPF,pmic-led-drivers,0,92.65,40-FLGA Exposed Pad,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/admv8526.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADMV8526ACCZ/16580731,,Band Pass,2.6GHz,,1,,*,3.2V ~ 3.4V
ADMV8526ACCZ-R7,Analog Devices Inc.,1250 TO 2600 MHZ TUNABLE BPF,pmic-led-drivers,0,69.24583,40-FLGA Exposed Pad,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/admv8526.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADMV8526ACCZ-R7/16580714,,Band Pass,2.6GHz,,1,,*,3.2V ~ 3.4V
AF151-1CJ,National Semiconductor,"TIME FILTER, BUTTERWORTH, L/PASS",pmic-led-drivers,89,21.3,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/y8cqfeitt2/NATLS24327-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/AF151-1CJ/12113360,2nd,"Universal, Continuous-Time",10kHz,,2,,,±5V ~ 18V
AMC1210IRHAR,Texas Instruments,IC FILTER DIGITAL 40VQFN,pmic-led-drivers,0,2.43936,40-VFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/AMC1210IRHAR/1689978,,Digital,,,4,,,2.4V ~ 5.5V
AMC1210IRHAT,Texas Instruments,IC FILTER DIGITAL 40VQFN,pmic-led-drivers,363,4.82,40-VFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/AMC1210IRHAT/1033587,,Digital,,,4,,,2.4V ~ 5.5V
AMC1210IRHATG4,Texas Instruments,IC FILTER DIGITAL 40VQFN,pmic-led-drivers,0,2.32492,40-VFQFN Exposed Pad,Surface Mount,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/AMC1210IRHATG4/1689980,,Digital,,,4,,,2.4V ~ 5.5V
AN1281SSMTXL,Panasonic Industry,IC FILTER RIPPLE SSMINI-5DA,pmic-led-drivers,0,0.0,SOT-665,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/900/AN1281SSM.pdf,https://www.digikey.com/en/products/detail/panasonic-industry/AN1281SSMTXL/499521,,Ripple,,,1,,,2.5V ~ 4.3V
AP1158ADS,Asahi Kasei Microdevices/AKM,IC FILTER RIPPLE SOT23-5,pmic-led-drivers,0,0.23432,"SC-74A, SOT-753",Surface Mount,Obsolete,https://www.akm.com/content/dam/documents/products/power-management/power-control-ic/linear-regulator/ap1158/ap1158-en-datasheet.pdf,https://www.digikey.com/en/products/detail/asahi-kasei-microdevices-akm/AP1158ADS/5322888,,Ripple,,,1,,,2.1V ~ 14V
AS2525B,ams-OSRAM USA INC.,IC HANDSFREE TELEPH CMOS 44-TQFP,pmic-led-drivers,0,0.0,44-TQFP,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS2525B/3095054,,,,,1,,,3V ~ 5V
AS3415-EQFM,ams-OSRAM USA INC.,IC HEADPHONE NOISE-CANCEL 32QFN,pmic-led-drivers,0,3.5,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://ams.com/documents/20143/36005/AS3415_AS3435_FS000193_1-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS3415-EQFM/4896019,,,,,1,,,1V ~ 1.8V
AS3415-EQFP,ams-OSRAM USA INC.,IC HEADPHONE NOISE-CANCEL 32QFN,pmic-led-drivers,0,3.5,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://ams.com/documents/20143/36005/AS3415_AS3435_FS000193_1-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS3415-EQFP/4896020,,,,,1,,,1V ~ 1.8V
