MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,"Coded, Keyed",Color,Contents,Features,For Use With/Related Products,Gender,Includes,Number of Positions,Series,Size,Stacking Direction,Style,Terminal Size,Terminal Type,Termination Style,Thread Size,Type
173974-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 1POS NATURAL,optoisolators-transistor-photovoltaic-output,7225,0.14,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/173974-1/2307902,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
173974-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 1POS BLACK,optoisolators-transistor-photovoltaic-output,16928,0.19,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/173974-2/2307904,,Black,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
173974-4,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 1POS YELLOW,optoisolators-transistor-photovoltaic-output,38352,0.21,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/173974-4/2307906,,Yellow,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
173974-5,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 1POS GREEN,optoisolators-transistor-photovoltaic-output,0,0.04741,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/173974-5/5157101,,Green,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
173974-6,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 1POS BLUE,optoisolators-transistor-photovoltaic-output,2500,0.21,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/173974-6/2307908,,Blue,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
173974-7,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.187 1POS RED,optoisolators-transistor-photovoltaic-output,14703,0.21,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/173974-7/2307910,,Red,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
1740210-8,TE Connectivity AMP Connectors,CONN CONVERTER RCPT MINUS 14AWG,optoisolators-triac-scr-output,515,2.35,Box,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2086/1740210_Dwg.pdf,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1740210-8/14797063,Minus,,,14 AWG,,,,,Solarlok,,,,,,,,"Converter Receptacle, Male Pin"
174090-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.08535,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174090-1/2307914,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174090-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 1POS BLACK,optoisolators-transistor-photovoltaic-output,6251,0.25,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174090-2/1152989,,Black,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174090-3,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 1POS BROWN,optoisolators-transistor-photovoltaic-output,0,0.1735,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174090-3/5157034,,Brown,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
