MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,"Coded, Keyed",Color,Contents,Features,For Use With/Related Products,Gender,Includes,Number of Positions,Series,Size,Stacking Direction,Style,Terminal Size,Terminal Type,Termination Style,Thread Size,Type
0006022031,Molex,CONN RCPT HSG 0.25 3POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.0,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/006022031_sd.pdf,https://www.digikey.com/en/products/detail/molex/0006022031/3071473,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,3,42295,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0006023042,Molex,CONN RCPT HSG 0.25 4POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.33079,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0006023042/3071474,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,42400,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0006029031,Molex,CONN RCPT HSG 0.187 3POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.12373,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/006029031_sd.pdf,https://www.digikey.com/en/products/detail/molex/0006029031/3071477,,Black,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,3,2191,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0006029034,Molex,CONN RCPT HSG 0.187 3POS NATURAL,optoisolators-transistor-photovoltaic-output,9447,0.37,,Free Hanging (In-Line),Active,https://www.molex.com/pdm_docs/sd/006029034_sd.pdf,https://www.digikey.com/en/products/detail/molex/0006029034/3467043,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,3,,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0191610333,Molex,CONN MALE TAB SLEEVE 1POS,optoisolators-transistor-photovoltaic-output,6194,0.22,,Free Hanging (In-Line),Active,https://www.molex.com/webdocs/datasheets/pdf/en-us/0191610333_QUICK_DISCONNECTS.pdf,https://www.digikey.com/en/products/detail/molex/0191610333/3185645,,,,,,"Male, Tab",,1,,,,Sleeve,,Barrel,,,
0191610334,Molex,CONN RCPT SLEEVE 1POS,optoisolators-transistor-photovoltaic-output,3470,0.23,,Free Hanging (In-Line),Active,https://www.molex.com/webdocs/datasheets/pdf/en-us/0191610334_QUICK_DISCONNECTS.pdf,https://www.digikey.com/en/products/detail/molex/0191610334/3185670,,,,,,"Female, Receptacle",,1,,,,Sleeve,,Barrel,,,
0194390007,Molex,LOCKING QD HOUSING V-2 MAT'L SPM,optoisolators-transistor-photovoltaic-output,5738,0.55,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0194390007/21282375,,Natural,,,,"Female, Receptacle",,1,Loxon,,Top to Bottom,Housing,,"Quick Connect, Disconnect",,,
0194390008,Molex,LOCKING QD HOUSING V-0 MAT'L SPM,optoisolators-transistor-photovoltaic-output,3825,0.64,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0194390008/21282376,,Natural,,,,"Female, Receptacle",,1,Loxon,,Top to Bottom,Housing,,"Quick Connect, Disconnect",,,
01P-WPKH-KN,JST Sales America Inc.,WPK MALE HOUSING ASSEMBLY,optoisolators-transistor-photovoltaic-output,0,0.8217,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/01P-WPKH-KN/26434043,,Black,,,,"Female, Receptacle",,1,,,,Housing,,"Quick Connect, Disconnect",,,
0350253540,Molex,CONN RCPT SLEEVE 0.25 1POS BLUE,optoisolators-transistor-photovoltaic-output,0,0.0292,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/350253540_sd.pdf,https://www.digikey.com/en/products/detail/molex/0350253540/4143707,,Blue,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,,,,Sleeve,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0350254002,Molex,CONN RCPT SLEEVE 0.25 1POS WHITE,optoisolators-transistor-photovoltaic-output,0,0.03888,Bag,"Free Hanging (In-Line), Right Angle",Obsolete,https://www.molex.com/pdm_docs/sd/350254002_sd.pdf,https://www.digikey.com/en/products/detail/molex/0350254002/4143709,,White,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,1,,,,Sleeve,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0351120210,Molex,CONN RCPT HSG 0.11 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.09764,,Free Hanging (In-Line),Active,https://www.molex.com/pdm_docs/sd/351120210_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351120210/3184900,,Natural,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,2,,,Top to Bottom,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0351890110,Molex,CONN RCPT HSG 0.187 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.06219,Bag,Free Hanging (In-Line),Active,https://www.molex.com/pdm_docs/sd/351890110_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351890110/3184994,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,MP-Lock,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890111,Molex,CONN RCPT HSG 0.187 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.06244,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/351890110_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351890111/3184995,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,MP-Lock,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890200,Molex,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.05575,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/351890200_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351890200/3184996,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,MP-Lock,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890260,Molex,0351890260,optoisolators-transistor-photovoltaic-output,0,0.0,,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0351890260/16096730,,,,,,,,,,,,,,,,,
0351890290,Molex,CONN .187 MP-LOCK 13MM,optoisolators-transistor-photovoltaic-output,0,0.11351,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0351890290/12091146,,Natural,,,,"Female, Receptacle",,2,MP-Lock,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890292,Molex,CONN MP LOCK .187 13MM,optoisolators-transistor-photovoltaic-output,0,0.0,,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0351890292/12091014,,,,,,,,,*,,,,,,,,
0351897281,Molex,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.20416,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/351897281_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351897281/3184999,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,MP-Lock,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351898281,Molex,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.20982,Bag,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/molex/0351898281/3185000,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,MP-Lock,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351960111,Molex,CONN RCPT HSG 0.25 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.29348,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0351960111/4143734,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,MP-Lock,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0351960292,Molex,CONN 0.25 2POS GLOW WIRE,optoisolators-transistor-photovoltaic-output,0,0.24909,Bag,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0351960292/4143735,,,,,"0.250"" (6.35mm) Quick Connects",,,2,MP-Lock,,,,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0352700410,Molex,CONN RCPT HOUSING 4POS,optoisolators-transistor-photovoltaic-output,0,1.2388,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352700410_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352700410/3185008,,,,,,"Female, Receptacle",,4,35270,,Top to Bottom and Side to Side,Housing,,"Quick Connect, Disconnect",,,
0352700610,Molex,CONN RCPT HOUSING 6POS,optoisolators-transistor-photovoltaic-output,0,0.60778,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352700610_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352700610/3185009,,,,,,"Female, Receptacle",,6,35270,,Top to Bottom and Side to Side,Housing,,"Quick Connect, Disconnect",,,
0352720310,Molex,CONN MALE TAB HOUSING 0.25 3POS,optoisolators-transistor-photovoltaic-output,0,0.88724,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352720310_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352720310/3185010,,,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,3,35272,,Multiple,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0352720410,Molex,CONN MALE TAB HOUSING 0.25 4POS,optoisolators-transistor-photovoltaic-output,0,1.2388,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352720410_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352720410/3185011,,,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,35272,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0352720610,Molex,CONN MALE TAB HOUSING 0.25 6POS,optoisolators-transistor-photovoltaic-output,500,1.18,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352720610_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352720610/24830177,,,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,6,35272,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0355060510,Molex,CONN RCPT HSG 0.11 5POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.21732,,Free Hanging (In-Line),Obsolete,https://www.waldom.com/upload/parts/datasheets/mf-mol/mol-35506-0510.pdf,https://www.digikey.com/en/products/detail/molex/0355060510/3185128,,Natural,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,5,MP-Lock,,Side to Side,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0355440200,Molex,CONN RCPT HSG 0.11 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.06564,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/355440200_sd.pdf,https://www.digikey.com/en/products/detail/molex/0355440200/3185150,,Natural,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,2,35544,,Top to Bottom,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0355440400,Molex,CONN RCPT HSG 0.11 4POS WHITE,optoisolators-transistor-photovoltaic-output,0,0.09388,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/355440400_sd.pdf,https://www.digikey.com/en/products/detail/molex/0355440400/2405532,,White,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,4,35544,,Top to Bottom,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0355460700,Molex,CONN NON-GENDER HSG 0.118/0.250,optoisolators-transistor-photovoltaic-output,0,0.8398,"Bag
Bag",Free Hanging (In-Line),Obsolete,https://www.waldom.com/upload/parts/datasheets/mf-mol/mol-35546-0700.pdf,https://www.digikey.com/en/products/detail/molex/0355460700/3185151,,Natural,,,"0.118"" (3.00mm) and 0.250"" (6.35mm) Quick Connects",Non-Gendered,,7,35546,,Multiple,Housing,"0.118"" (3.00mm), 0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0355470300,Molex,CONN RCPT HSG 0.118 0.250 3POS,optoisolators-transistor-photovoltaic-output,0,0.40872,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/molex/0355470300/3185152,,Natural,,,"0.118"" (3.00mm) and 0.250"" (6.35mm) Quick Connects","Female, Receptacle",,3,35547,,Side to Side,Housing,"0.118"" (3.00mm), 0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0355470400,Molex,CONN NON-GENDERED HSG 0.25 4POS,optoisolators-transistor-photovoltaic-output,0,0.48984,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/355470400_sd.pdf,https://www.digikey.com/en/products/detail/molex/0355470400/3185153,,Natural,,,"0.250"" (6.35mm) Quick Connects",Non-Gendered,,4,35547,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0355480300,Molex,CONN RCPT CLUSTER BLCK HSG 3POS,optoisolators-transistor-photovoltaic-output,0,0.6,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/355480300_sd.pdf,https://www.digikey.com/en/products/detail/molex/0355480300/3185154,,,,,3.18mm Dia Receptacle,"Female, Receptacle",,3,35548,,Side to Side,Cluster Block Housing,,Magnetic Wire,,,
0355730300,Molex,CONN RCPT CLUSTER BLK HSG 3POS,optoisolators-transistor-photovoltaic-output,0,0.04638,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/355730300_sd.pdf,https://www.digikey.com/en/products/detail/molex/0355730300/3185166,,Natural,,,3.18mm Dia Receptacle,"Female, Receptacle",,3,35573,,Side to Side,Cluster Block Housing,,Cluster Pin,,,
0358170290,Molex,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.22812,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/358170290_sd.pdf,https://www.digikey.com/en/products/detail/molex/0358170290/3185223,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,MP-Lock,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0358180290,Molex,CONN HOUSING 0.25 2POS,optoisolators-transistor-photovoltaic-output,0,0.17774,Bag,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0358180290/3185225,,,,,,,,2,,,,Housing,"0.250"" (6.35mm)",,,,
0359550150,Molex,0359550150,optoisolators-transistor-photovoltaic-output,0,0.0,,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0359550150/16069029,,,,,,,,,*,,,,,,,,
0359550330,Molex,0359550330,optoisolators-transistor-photovoltaic-output,0,0.0,,-,Obsolete,https://www.molex.com/pdm_docs/sd/359550330_sd.pdf,https://www.digikey.com/en/products/detail/molex/0359550330/16078806,,,,,,,,,,,,,,,,,
0359590300,Molex,CONN RCPT HOUSING 0.25 3POS,optoisolators-transistor-photovoltaic-output,0,0.12057,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/359590300_sd.pdf,https://www.digikey.com/en/products/detail/molex/0359590300/3185260,,,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,3,MP-Lock,,Top to Bottom,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0495110301,Molex,CONN RCPT HSG 0.187 3POS BLACK,optoisolators-transistor-photovoltaic-output,38840,0.252,,Free Hanging (In-Line),Active,https://www.waldom.com/upload/parts/datasheets/mf-mol/mol-49511-0301.pdf,https://www.digikey.com/en/products/detail/molex/0495110301/24836599,,Black,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,3,49511,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0501100000,Weidmüller,Empty Boxes VP 29-MS65 So,optoisolators-logic-output,50,3.38,Retail Package,,Active,,https://www.digikey.com/en/products/detail/wee/0501100000/29359548,,,,,,,,,*,,,,,,,,
0604707,Phoenix Contact,INSULATING SLEEVE,optoisolators-transistor-photovoltaic-output,0,1.07076,,Free Hanging (In-Line),Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/413/0604707.pdf,https://www.digikey.com/en/products/detail/phoenix-contact/0604707/4473510,,Transparent,,,,"Female, Receptacle",,,,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0684160300,Molex,0684160300,optoisolators-transistor-photovoltaic-output,0,0.0,,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0684160300/16067027,,,,,,,,,*,,,,,,,,
0684170399,Molex,CONN RCPT HSG 0.187 3POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.41155,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/684170399_sd.pdf,https://www.digikey.com/en/products/detail/molex/0684170399/3264019,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,3,68417,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0684280400,Molex,CONN RCPT HSG 0.11 4POS WHITE,optoisolators-transistor-photovoltaic-output,0,0.1245,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/684280400_sd.pdf,https://www.digikey.com/en/products/detail/molex/0684280400/3264020,,White,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,4,68428,,Top to Bottom,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0710976,Phoenix Contact,0710976,optoisolators-transistor-photovoltaic-output,0,2.36001,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/phoenix-contact/0710976/27572007,,Black,,,,Non-Gendered,,10,,,Side to Side,Housing,,Wire to Board,,,
09100034751,HARTING,HAN POWER T 1A 3+PE CLIP,optoisolators-logic-output,6,72.4,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09100034751_EN.pdf,https://www.digikey.com/en/products/detail/harting/09100034751/26227238,,,Cable Connector Assembly,,,,,3,Han-Power® T,1A,,Side and Top Entry,,,Crimp,,
09100034756,HARTING,HAN POWER T 1A 3+PE LEVER,optoisolators-logic-output,10,88.89,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09100034756_EN.pdf,https://www.digikey.com/en/products/detail/harting/09100034756/26227240,,,Cable Connector Assembly,,,,,3,Han-Power® T,1A,,Side and Top Entry,,,Crimp,,
09100054751,HARTING,HAN POWER T 1A 5+PE CLIP,optoisolators-logic-output,10,83.08,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09100054751_EN.pdf,https://www.digikey.com/en/products/detail/harting/09100054751/26227239,,,Cable Connector Assembly,,,,,5,Han-Power® T,1A,,Side and Top Entry,,,Crimp,,
09100054756,HARTING,HAN POWER T 1A 5+PE LEVER,optoisolators-logic-output,10,102.2,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09100054756_EN.pdf,https://www.digikey.com/en/products/detail/harting/09100054756/26227237,,,Cable Connector Assembly,,,,,5,Han-Power® T,1A,,Side and Top Entry,,,Crimp,,
09120012661,HARTING,HAN Q 1/0 MALE/MALE INSERT IN HA,optoisolators-logic-output,0,70.8,Bag,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120012661_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120012661/8032585,,,Panel Connector Assembly,,,,,1,Han® Q,3A,,Side Entry,,,Screw,,
09120012662,HARTING,HAN Q 1/0 MALE/MALE INSERT IN HA,optoisolators-logic-output,100,70.79,Bag,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120012662_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120012662/8032586,,,Panel Connector Assembly,,,,,1,Han® Q,3A,,Side Entry,,,Screw,,
09120062691,HARTING,CONN ASSY TOP ENTRY 4+2+GND SZ3A,optoisolators-logic-output,1,244.93,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120062691_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120062691/4335189,,,Cable Connector Assembly,,,,,4+2+Ground,Han-Brid®,3A,,Top Entry,,,Crimp,,
09120084720,HARTING,CONN ASSY SIDE/TOP ENTRY 4+2+GND,optoisolators-logic-output,3,394.51,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084720_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084720/4335219,,,Cable Connector Assembly,,,,,4+2+Ground,Han-Power® T,,,Side and Top Entry,,,IDC,,
09120084751,HARTING,CONN ASSY SIDE/TOP 4+GND SZ3A,optoisolators-logic-output,21,176.32,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084751_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084751/4335223,,,Cable Connector Assembly,,,,,4+Ground,Han-Power® T,3A,,Side and Top Entry,,,Crimp,,
09120084752,HARTING,CONN ASSY SIDE/TOP 2+GND SZ3A,optoisolators-logic-output,0,156.74,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084752_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084752/4335224,,,Cable Connector Assembly,,,,,2+Ground,Han-Power® T,3A,,Side and Top Entry,,,Crimp,,
09120084756,HARTING,HAN-POWER T WITH HAN Q4/0,optoisolators-logic-output,29,189.14,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084756_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084756/8035179,,,Cable Connector Assembly,,,,,4,Han-Power® T,3A,,Side and Top Entry,,,Crimp,,
09120084771,HARTING,HAN PUSHPULL POWER T 230V,optoisolators-logic-output,0,128.2512,,,Active,,https://www.digikey.com/en/products/detail/harting/09120084771/28254733,,,,,,,,,*,,,,,,,,
09120084801,HARTING,CONN ASSY SIDE ENTRY 6+GND,optoisolators-logic-output,2,159.58,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084801_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084801/4335227,,,Cable Connector Assembly,,,,,6+Ground,Han-Power® S,,,Side Entry,,,IDC,,
09120084804,HARTING,CONN ASSY SIDE ENTRY 4+2+GND,optoisolators-logic-output,6,162.7,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084804_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084804/4335230,,,Cable Connector Assembly,,,,,4+2+Ground,Han-Power® S,,,Side Entry,,,IDC,,
09120084806,HARTING,CONN ASSY SIDE ENTRY 4+2+GND,optoisolators-logic-output,5,162.7,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084806_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084806/4335231,,,Cable Connector Assembly,,,,,4+2+Ground,Han-Power® S,,,Side Entry,,,IDC,,
09120084807,HARTING,CONN ASSY SIDE ENTRY DL 4+2+GND,optoisolators-logic-output,2,260.14,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09120084807_EN.pdf,https://www.digikey.com/en/products/detail/harting/09120084807/4335232,,,Cable Connector Assembly,,,,,4+2+Ground,Han-Power® S,,,"Side Entry, Dual",,,IDC,,
09120084819,HARTING,HAN POWER S HAN Q8/0; 4-6MM,optoisolators-logic-output,0,108.12333,,,Active,,https://www.digikey.com/en/products/detail/harting/09120084819/4335236,,,,,,,,,Han-Power® S,,,,,,,,
09200030440,HARTING,CONN ASSY TOP ENTRY 3POS SZ3A,optoisolators-logic-output,10,33.86,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09200030440_EN.pdf,https://www.digikey.com/en/products/detail/harting/09200030440/4286937,,,Cable Connector Assembly,,,,"5 pcs - 1 Hood, 1 Male Insert, 1 Screw Cap, 1 Sealing Ring, 1 Splice",3,Harax®,3A,,Top Entry,,,IDC,,
09200030445,HARTING,CONN ASSY TOP ENTRY 3POS SZ3A,optoisolators-logic-output,5,34.48,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09200030445_EN.pdf,https://www.digikey.com/en/products/detail/harting/09200030445/4286938,,,Cable Connector Assembly,,,,"5 pcs - 1 Female Insert, 1 Hood, 1 Screw Cap, 1 Sealing Ring, 1 Splice",3,Harax®,3A,,Top Entry,,,IDC,,
09200030745,HARTING,CONN ASSY BOTTOM 3POS SZ3A,optoisolators-logic-output,2,46.99,,,Active,https://b2b.harting.com/files/download/PRD/PDF_DS/PDF_DS_09200030745_EN.pdf,https://www.digikey.com/en/products/detail/harting/09200030745/4286944,,,Cable Connector Assembly,,,,"5 pcs - 1 Female Insert, 1 Hood, 1 Screw Cap, 1 Sealing Ring, 1 Splice",3,Harax®,3A,,Bottom Entry,,,IDC,,
09207030811,HARTING,HAN 3A-HBM ANGLED-1 LEVER - BLAC,optoisolators-logic-output,0,21.712,,,Obsolete,,https://www.digikey.com/en/products/detail/harting/09207030811/19105815,,,,,,,,,,,,,,,,,
0936014722,Molex,RJ45 PLUG 8P4C+INS.HOOD GRY +PG1,optoisolators-logic-output,0,22.44,,,Obsolete,https://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1521.pdf,https://www.digikey.com/en/products/detail/molex/0936014722/8478417,,,Cable Connector Assembly,,,,,8p4c,GWconnect S-IEC,3A,,Top Entry,,,,PG11,
0936014731,Molex,RJ45 SOCK 8P4C C/OVER+INSULATING,optoisolators-logic-output,0,46.98,,,Obsolete,https://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1521.pdf,https://www.digikey.com/en/products/detail/molex/0936014731/8478424,,,Cable and Panel Connector Assembly,,,,,8p4c,GWconnect,3A,,"Top-Hood, Bottom-Base",,,,,
0936014732,Molex,RJ45 PLUG 8P4C+MET. STD HOOD +PG,optoisolators-logic-output,0,36.04,,,Obsolete,https://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1521.pdf,https://www.digikey.com/en/products/detail/molex/0936014732/8478425,,,Cable Connector Assembly,,,,,8p4c,GWconnect S-IEC,3A,,Top Entry,,,,PG11,
0936014770,Molex,RJ45 SOCK 8P4C+2PC CROSSOVER+INS,optoisolators-logic-output,0,54.48,,,Obsolete,https://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1521.pdf,https://www.digikey.com/en/products/detail/molex/0936014770/8478444,,,Cable and Panel Connector Assembly,,,,,8p4c,GWconnect,3A,,"Top-Hood, Bottom-Base",,,,,
0936030001,Molex,COMPLETE SET M/F 3P/PG11,optoisolators-logic-output,0,36.24,,,Active,,https://www.digikey.com/en/products/detail/molex/0936030001/8478530,,,Cable and Panel Connector Assembly,,,,"5 pcs - 1 Base, 1 Cable Gland, 2 Inserts, 1 Housing",3+Ground,GWconnect,3A,,"Top-Hood, Side-Base",,,Screw,PG11,
0936030002,Molex,COMPLETE SET WITH CABLE GLAND,optoisolators-logic-output,0,39.53,,,Active,,https://www.digikey.com/en/products/detail/molex/0936030002/8478531,,,Cable and Panel Connector Assembly,,,,"5 pcs - 1 Base, 1 Cable Gland, 2 Inserts, 1 Housing",3+Ground,GWconnect,3A,,"Top-Hood, Side-Base",,,Screw,PG11,
