MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Data Interface,Data Rate,Duplex,"Dynamic Range, ADCs / DACs (db) Typ",Function,Grade,Logic Type,Number of ADCs / DACs,Number of Bits per Element,Number of Drivers/Receivers,Number of Elements,Operating Temperature,Output Type,Protocol,Qualification,Receiver Hysteresis,Resolution (Bits),"S/N Ratio, ADCs / DACs (db) Typ",Series,Sigma Delta,Type,Voltage - Supply,"Voltage - Supply, Analog","Voltage - Supply, Digital"
92HD99B2X5NDGIWCX,"Tempo Semiconductor, Inc.","4 CHANNEL HDA CODEC, CLASS D",logic-signal-switches-multiplexers-decoders,0,5.77347,40-VFQFN Exposed Pad,Surface Mount,Active,https://temposemi.com/wp-content/uploads/2018/06/92HD99_DS.pdf,https://www.digikey.com/en/products/detail/tempo-semiconductor-inc/92HD99B2X5NDGIWCX/24672910,"I2S, HDA, S/PDIF",,,94 / 98,,,,2 / 2,,,,-40°C ~ 85°C,,,,,24 b,,,No,"Audio, HD",,4.75V ~ 5.25V,3.135V ~ 3.465V
92HD99B2X5NDGIWCX8,Renesas Electronics Corporation,IC CODEC 4CH HD CLASS D 48VFQFN,logic-signal-switches-multiplexers-decoders,0,10.42847,40-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/516/92HD99.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/92HD99B2X5NDGIWCX8/4401864,,,,94 / 98,,,,2 / 2,,,,-40°C ~ 85°C,,,,,24 b,,,No,"Audio, HD",,4.75V ~ 5.25V,3.135V ~ 3.465V
92HD99B2X5NDGXWCX,"Tempo Semiconductor, Inc.","4 CHANNEL HDA CODEC, CLASS D",logic-signal-switches-multiplexers-decoders,0,4.61847,40-VFQFN Exposed Pad,Surface Mount,Active,https://temposemi.com/wp-content/uploads/2018/06/92HD99_DS.pdf,https://www.digikey.com/en/products/detail/tempo-semiconductor-inc/92HD99B2X5NDGXWCX/24672859,"I2S, HDA, S/PDIF",,,94 / 98,,,,2 / 2,,,,0°C ~ 70°C,,,,,24 b,,,No,"Audio, HD",,4.75V ~ 5.25V,3.135V ~ 3.465V
92HD99B3X5NDGIWCX,"Tempo Semiconductor, Inc.","4 CHANNEL HDA CODEC, CLASS D",logic-signal-switches-multiplexers-decoders,0,5.77347,40-VFQFN Exposed Pad,Surface Mount,Active,https://temposemi.com/wp-content/uploads/2018/06/92HD99_DS.pdf,https://www.digikey.com/en/products/detail/tempo-semiconductor-inc/92HD99B3X5NDGIWCX/24672833,"I2S, HDA, S/PDIF",,,94 / 98,,,,2 / 2,,,,-40°C ~ 85°C,,,,,24 b,,,No,"Audio, HD",,4.75V ~ 5.25V,3.135V ~ 3.465V
92HD99B3X5NDGXWCX,"Tempo Semiconductor, Inc.","4 CHANNEL HDA CODEC, CLASS D",logic-signal-switches-multiplexers-decoders,0,4.61847,40-VFQFN Exposed Pad,Surface Mount,Active,https://temposemi.com/wp-content/uploads/2018/06/92HD99_DS.pdf,https://www.digikey.com/en/products/detail/tempo-semiconductor-inc/92HD99B3X5NDGXWCX/24672834,"I2S, HDA, S/PDIF",,,94 / 98,,,,2 / 2,,,,0°C ~ 70°C,,,,,24 b,,,No,"Audio, HD",,4.75V ~ 5.25V,3.135V ~ 3.465V
92HD99B4X5NDGIWCX,"Tempo Semiconductor, Inc.","4 CHANNEL HDA CODEC, CLASS D, I-",logic-signal-switches-multiplexers-decoders,0,5.77347,40-VFQFN Exposed Pad,Surface Mount,Active,https://temposemi.com/wp-content/uploads/2018/06/92HD99_DS.pdf,https://www.digikey.com/en/products/detail/tempo-semiconductor-inc/92HD99B4X5NDGIWCX/24672886,"I2S, HDA, S/PDIF",,,94 / 98,,,,2 / 2,,,,-40°C ~ 85°C,,,,,24 b,,,No,"Audio, HD",,4.75V ~ 5.25V,3.135V ~ 3.465V
92HD99B4X5NDGXWCX,"Tempo Semiconductor, Inc.","4 CHANNEL HDA CODEC, CLASS D",logic-signal-switches-multiplexers-decoders,0,4.61847,40-VFQFN Exposed Pad,Surface Mount,Active,https://temposemi.com/wp-content/uploads/2018/06/92HD99_DS.pdf,https://www.digikey.com/en/products/detail/tempo-semiconductor-inc/92HD99B4X5NDGXWCX/24672857,"I2S, HDA, S/PDIF",,,94 / 98,,,,2 / 2,,,,0°C ~ 70°C,,,,,24 b,,,No,"Audio, HD",,4.75V ~ 5.25V,3.135V ~ 3.465V
9328FM,National Semiconductor,IC REG MULPLX COMP 8BIT 16-CFP,logic-translators-level-shifters,41,16.2,16-CFlatPack,Surface Mount,Active,https://rocelec.widen.net/view/pdf/gwulmrqxvi/FAIRS31944-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/9328FM/12109548,,,,,Serial to Parallel,,"Register, Multiplexed",,8,,2,-55°C ~ 125°C,Complementary,,,,,,,,,4.5V ~ 5.5V,,
93H00DC,National Semiconductor,IC SHIFT REGTR COMP 4BIT 16-CDIP,logic-translators-level-shifters,2299,77.69,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/ymwkwwhpzp/NATLS14106-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/93H00DC/12114326,,,,,Universal,,Shift Register,,4,,1,0°C ~ 70°C,Complementary,,,,,,,,,4.75V ~ 5.25V,,
93L38DMQB,National Semiconductor,IC SR PUSH-PULL 8BIT 16-CDIP,logic-translators-level-shifters,67,21.96,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/6oimxiunjf/NATLS04669-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/93L38DMQB/12132605,,,,,,,Shift Register,,8,,1,-55°C ~ 125°C,Push-Pull,,,,,,,,,4.5V ~ 5.5V,,
AD1835AASZ,Analog Devices Inc.,IC CODEC 2ADC/8DAC 24BIT 52-MQFP,logic-signal-switches-multiplexers-decoders,0,0.0,52-QFP,Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1835A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1835AASZ/643183,Serial,,,105 / 108,,,,2 / 8,,,,-40°C ~ 85°C,,,,,24 b,105 / 108,,Yes,Stereo Audio,,4.5V ~ 5.5V,4.5V ~ 5.5V
AD1835AASZ-REEL,Analog Devices Inc.,IC CODEC 2ADC/8DAC 24BIT 52MQFP,logic-signal-switches-multiplexers-decoders,0,0.0,52-QFP,Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1835A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1835AASZ-REEL/653759,Serial,,,105 / 108,,,,2 / 8,,,,-40°C ~ 85°C,,,,,24 b,105 / 108,,Yes,Stereo Audio,,4.5V ~ 5.5V,4.5V ~ 5.5V
AD1836AASZ,Analog Devices Inc.,IC CODEC 4ADC/6DAC 24 BIT 52MQFP,logic-signal-switches-multiplexers-decoders,440,37.57,52-QFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1836A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1836AASZ/750870,Serial,,,105 / 108,,,,4 / 6,,,,-40°C ~ 85°C,,,,,24 b,105 / 108,,Yes,General Purpose,,4.75V ~ 5.25V,4.75V ~ 5.25V
AD1836AASZRL,Analog Devices Inc.,IC CODEC 4ADC/6DAC 24 BIT 52MQFP,logic-signal-switches-multiplexers-decoders,1624,37.57,52-QFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1836A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1836AASZRL/760378,Serial,,,105 / 108,,,,4 / 6,,,,-40°C ~ 85°C,,,,,24 b,105 / 108,,Yes,General Purpose,,4.75V ~ 5.25V,4.75V ~ 5.25V
