MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Configuration,Current - Supply,DigiKey Programmable,Features,Function,Interface,Memory Size,Memory Type,Number of Circuits,Number of Taps,Operating Temperature,Power (Watts),Programmable Type,Resistance (Ohms),Resistance - Wiper (Ohms) (Typ),Series,Taper,Temperature Coefficient (Typ),Tolerance,Voltage - Supply
XC1702LPC44I,AMD,"CONFIG MEMORY, 2MX1, SERIAL",embedded-system-design-specific,193,31.51,-,-,Active,https://rocelec.widen.net/view/pdf/wzv8uxt4qk/XILIS01058-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/XC1702LPC44I/12135990,,,Not Verified,,,,,,,,,,,,,*,,,,
XC1702LVQ44C,AMD,"CONFIG MEMORY, 2MX1, SERIAL",embedded-system-design-specific,33,26.71,-,-,Active,https://rocelec.widen.net/view/pdf/wzv8uxt4qk/XILIS01058-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/XC1702LVQ44C/12129738,,,Not Verified,,,,,,,,,,,,,*,,,,
XC1704LPC44I,AMD,"CONFIG MEMORY, 4MX1, SERIAL",embedded-system-design-specific,285,43.3,-,-,Active,https://rocelec.widen.net/view/pdf/wzv8uxt4qk/XILIS01058-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/XC1704LPC44I/12138379,,,Not Verified,,,,,,,,,,,,,*,,,,
XC17128ELVO8C,AMD,IC 3V SER CFG PROM 128K 8-SOIC,embedded-system-design-specific,0,8.58,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17128ELVO8C/274730,,,Not Verified,,,,128kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17256ELPC20C,AMD,IC PROM SER C-TEMP 256K 20-PLCC,embedded-system-design-specific,0,12.06,20-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17256ELPC20C/406011,,,Not Verified,,,,256Kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17256ELVO8C,AMD,IC 3V SER CFG PROM 256K 8-SOIC,embedded-system-design-specific,0,12.34,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17256ELVO8C/274736,,,Not Verified,,,,256Kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17256EPC20C,AMD,IC SERIAL CFG PROM 256K 20-PLCC,embedded-system-design-specific,0,18.9,20-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17256EPC20C/274737,,,Not Verified,,,,256Kb,,,,0°C ~ 70°C,,OTP,,,,,,,4.75V ~ 5.25V
XC17256EPC20I,AMD,IC PROM SER I-TEMP 256K 20-PLCC,embedded-system-design-specific,0,22.31,20-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17256EPC20I/406015,,,Not Verified,,,,256Kb,,,,-40°C ~ 85°C,,OTP,,,,,,,4.5V ~ 5.5V
XC1736EPC20C,AMD,IC PROM SER C-TEMP 36K 20-PLCC,embedded-system-design-specific,0,5.09,20-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1736EPC20C/406018,,,Not Verified,,,,36kb,,,,0°C ~ 70°C,,OTP,,,,,,,4.75V ~ 5.25V
XC17512LSO20C,AMD,IC PROM SER C-TEMP 512K 20-SOIC,embedded-system-design-specific,0,14.01,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17512LSO20C/406027,,,Not Verified,,,,512kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC1765ELPC20C,AMD,IC PROM SER C-TEMP 3.3V 20-PLCC,embedded-system-design-specific,0,6.69,20-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1765ELPC20C/406029,,,Not Verified,,,,65kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC1765ELSO8C,AMD,IC PROM SER C-TEMP 3.3V 8-SOIC,embedded-system-design-specific,0,6.69,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1765ELSO8C/406033,,,Not Verified,,,,65kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC1765ELSOG8C,AMD,IC PROM SERIAL 65K 8-SOIC,embedded-system-design-specific,0,6.69,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1765ELSOG8C/1956678,,,Not Verified,,,,65kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC1765ELVO8C,AMD,IC 3V SER CFG PROM 65K 8-SOIC,embedded-system-design-specific,0,6.69,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1765ELVO8C/274728,,,Not Verified,,,,65kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC1765ELVO8I,AMD,IC PROM SER I-TEMP 3.3V 8-SOIC,embedded-system-design-specific,0,7.88,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1765ELVO8I/406035,,,Not Verified,,,,65kb,,,,-40°C ~ 85°C,,OTP,,,,,,,3V ~ 3.6V
XC1765ELVOG8C,AMD,IC 3V SER CFG PROM 65K 8-SOIC,embedded-system-design-specific,0,6.69,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1765ELVOG8C/1006560,,,Not Verified,,,,65kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC1765EVO8I,AMD,IC PROM SER I-TEMP 3.3V 8-SOIC,embedded-system-design-specific,0,6.98,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1765EVO8I/406040,,,Not Verified,,,,65kb,,,,-40°C ~ 85°C,,OTP,,,,,,,4.5V ~ 5.5V
XC17S05PD8C,AMD,IC PROM PROG C-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,2.41643,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S05PD8C/406041,,,Not Verified,,,,50kb,,,,0°C ~ 70°C,,OTP,,,,,,,4.75V ~ 5.25V
XC17S05PD8I,AMD,IC PROM PROG I-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,2.84056,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S05PD8I/406042,,,Not Verified,,,,50kb,,,,-40°C ~ 85°C,,OTP,,,,,,,4.5V ~ 5.5V
XC17S05VO8C,AMD,IC PROM PROG 50K 8-SOIC,embedded-system-design-specific,0,3.87653,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S05VO8C/406043,,,Not Verified,,,,50kb,,,,0°C ~ 70°C,,OTP,,,,,,,4.75V ~ 5.25V
XC17S05XLPD8C,AMD,IC PROM PROG C-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,1.9847,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S05XLPD8C/406045,,,Not Verified,,,,50kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17S05XLVO8C,AMD,IC 3V PROM PROG 50K 8-SOIC,embedded-system-design-specific,0,3.34126,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S05XLVO8C/406047,,,Not Verified,,,,50kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17S05XLVO8I,AMD,IC 3V PROM PROG 50K 8-SOIC,embedded-system-design-specific,0,4.00842,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S05XLVO8I/406048,,,Not Verified,,,,50kb,,,,-40°C ~ 85°C,,OTP,,,,,,,3V ~ 3.6V
XC17S10PD8C,AMD,IC PROM PROG C-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,4.2013,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S10PD8C/406055,,,Not Verified,,,,100kb,,,,0°C ~ 70°C,,OTP,,,,,,,4.75V ~ 5.25V
XC17S10XLPD8C,AMD,IC PROM PROG C-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,3.23788,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S10XLPD8C/406059,,,Not Verified,,,,100kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17S10XLPD8I,AMD,IC PROM PROG I-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,3.87245,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S10XLPD8I/406060,,,Not Verified,,,,100kb,,,,-40°C ~ 85°C,,OTP,,,,,,,3V ~ 3.6V
XC17S10XLPDG8C,AMD,IC PROM PROG C-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,3.23788,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S10XLPDG8C/1879804,,,Not Verified,,,,100kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17S10XLVOG8C,AMD,IC PROM SERIEAL 10K 8-SOIC,embedded-system-design-specific,0,3.73087,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S10XLVOG8C/1956682,,,Not Verified,,,,100kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17S150XLPD8C,AMD,"CONFIG MEMORY, 1M BITS, SERIAL",embedded-system-design-specific,297,25.16,-,-,Active,https://rocelec.widen.net/view/pdf/wzv8uxt4qk/XILIS01058-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/XC17S150XLPD8C/12129766,,,Not Verified,,,,,,,,,,,,,,,,,
XC17S150XLSO20C,AMD,"CONFIG MEMORY, 1M BITS, SERIAL",embedded-system-design-specific,550,25.16,-,-,Active,https://rocelec.widen.net/view/pdf/wzv8uxt4qk/XILIS01058-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/XC17S150XLSO20C/12130140,,,Not Verified,,,,,,,,,,,,,*,,,,
XC17S200AVQ44I,AMD,IC PROM SER 200000 I-TEMP 44VQFP,embedded-system-design-specific,0,4.59,44-TQFP,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S200AVQ44I/406080,,,Not Verified,,,,2Mb,,,,-40°C ~ 85°C,,OTP,,,,,,,3V ~ 3.6V
XC17S20XLPD8C,AMD,IC PROM PROG C-TEMP 3.3V 8-DIP,embedded-system-design-specific,0,4.0042,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S20XLPD8C/406085,,,Not Verified,,,,200kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17S20XLVOG8C,AMD,IC PROM SERIAL 3.3V 200K 8-SOIC,embedded-system-design-specific,0,4.0825,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17S20XLVOG8C/1956687,,,Not Verified,,,,200kb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17V01SO20I,AMD,IC PROM SER 1MBIT 3.3V 20-SOIC,embedded-system-design-specific,0,16.11,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17V01SO20I/406120,,,Not Verified,,,,1Mb,,,,-40°C ~ 85°C,,OTP,,,,,,,3V ~ 3.6V
XC17V02PC20C,AMD,IC PROM SER 2MBIT 3.3V 20-PLCC,embedded-system-design-specific,0,21.41,20-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17V02PC20C/406123,,,Not Verified,,,,2Mb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17V02PC44C,AMD,IC PROM SER 2MBIT 3.3V 44-PLCC,embedded-system-design-specific,0,16.51346,44-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17V02PC44C/406125,,,Not Verified,,,,2Mb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17V02VQ44C,AMD,IC PROM SER 2MBIT 3.3V 44-VQFP,embedded-system-design-specific,0,8.56,44-TQFP,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17V02VQ44C/406127,,,Not Verified,,,,2Mb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC17V08PC44C,AMD,IC PROM SER C-TEMP 3.3V 44-PLCC,embedded-system-design-specific,0,41.0,44-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC17V08PC44C/406135,,,Not Verified,,,,8Mb,,,,0°C ~ 70°C,,OTP,,,,,,,3V ~ 3.6V
XC18V01SOG20C,AMD,IC PROM SERIAL CONFIG 1M 20-SOIC,embedded-system-design-specific,11,79.8,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC18V01SOG20C/1008029,,,Verified,,,,1Mb,,,,0°C ~ 70°C,,In System Programmable,,,,,,,3V ~ 3.6V
XCF16PVO48C0973,Xilinx,"CONFIG MEMORY, 16MX1, SERIAL",embedded-system-design-specific,24897,21.35,"48-TFSOP (0.724"", 18.40mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/gdpgbfmgsy/XILIS00960-1.pdf?t.download=true&u=ovmfp3,https://www.digikey.com/en/products/detail/rochester-electronics-llc/XCF16PVO48C0973/12132384,,,Not Verified,,,,16Mb,,,,-40°C ~ 85°C (TA),,In System Programmable,,,,,,,1.65V ~ 2V
ZL50232QCG1,Microchip Technology,IC TELECOM INTERFACE 100LQFP,display-drivers,84,147.23,100-LQFP,Surface Mount,Active,https://www.waldom.com/productfiles/mf-mip/zarlink_zl50232_mar_06.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ZL50232QCG1/4310020,,10mA,,,Echo Cancellation,,,,1,,-40°C ~ 85°C,,,,,,,,,1.6V ~ 2V
