MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Configuration,Current - Supply,DigiKey Programmable,Features,Function,Interface,Memory Size,Memory Type,Number of Circuits,Number of Taps,Operating Temperature,Power (Watts),Programmable Type,Resistance (Ohms),Resistance - Wiper (Ohms) (Typ),Series,Taper,Temperature Coefficient (Typ),Tolerance,Voltage - Supply
SI32184-A-GM,Skyworks Solutions Inc.,IC TELECOM INTERFACE 40QFN,display-drivers,195,5.74,40-VFQFN Exposed Pad,Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/si3218x.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI32184-A-GM/7201940,,,,,,3-Wire,,,1,,-40°C ~ 85°C,,,,,ProSLIC®,,,,3.3V
SI32185-A-FM,Skyworks Solutions Inc.,IC TELECOM INTERFACE 40QFN,display-drivers,481,6.14,40-VFQFN Exposed Pad,Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/si3218x.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI32185-A-FM/7201941,,,,,,3-Wire,,,1,,0°C ~ 70°C,,,,,ProSLIC®,,,,3.3V
SI32185-A-FMR,Skyworks Solutions Inc.,IC TELECOM INTERFACE 40QFN,display-drivers,4254,6.14,40-VFQFN Exposed Pad,Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/si3218x.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI32185-A-FMR/7201382,,,,,,3-Wire,,,1,,0°C ~ 70°C,,,,,ProSLIC®,,,,3.3V
SI32185-A-GM,Skyworks Solutions Inc.,IC TELECOM INTERFACE 40QFN,display-drivers,1714,7.29,40-VFQFN Exposed Pad,Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/si3218x.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI32185-A-GM/7201942,,,,,,3-Wire,,,1,,-40°C ~ 85°C,,,,,ProSLIC®,,,,3.3V
SI32192-A-FM1R,Skyworks Solutions Inc.,IC TELECOM INTERFACE 38QFN,display-drivers,1978,2.61,38-VFQFN Exposed Pad,Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/si3219x-datasheet.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI32192-A-FM1R/7917130,,,,,"Subscriber Line Interface Concept (SLIC), CODEC",3-Wire,,,1,,0°C ~ 70°C,,,,,ProSLIC®,,,,3.3V
SI32280-A-FMR,Skyworks Solutions Inc.,IC TELECOM INTERFACE 48QFN,display-drivers,9723,6.83,48-VFQFN Exposed Pad,Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-shorts/Si3228x-short.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI32280-A-FMR/7201384,,,,,,"3-Wire, PCM",,,2,,0°C ~ 70°C,,,,,ProSLIC®,,,,3.3V
SI32282-A-FMR,Skyworks Solutions Inc.,IC TELECOM INTERFACE 56QFN,display-drivers,3155,6.83,56-VFQFN Exposed Pad,Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-shorts/Si3228x-short.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI32282-A-FMR/7201388,,,,,,"3-Wire, PCM",,,2,,0°C ~ 70°C,,,,,ProSLIC®,,,,3.3V
ST7580,STMicroelectronics,IC TELECOM INTERFACE 48VFQFPN,display-drivers,641,13.29,48-VFQFN Exposed Pad,Surface Mount,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/01/73/ec/3c/d2/3e/48/8e/DM00045903/files/DM00045903.pdf/jcr:content/translations/en.DM00045903.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ST7580/3087737,,500µA,,,Power Line Networking System-On-Chip,UART,,,1,,-40°C ~ 85°C,,,,,,,,,8V ~ 18V
ST8500TR,STMicroelectronics,IC TELECOM INTERFACE 56QFN,display-drivers,325,12.22,56-VFQFN Exposed Pad,Surface Mount,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/f4/e8/32/3b/2d/e1/46/cc/DM00433764/files/DM00433764.pdf/jcr:content/translations/en.DM00433764.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ST8500TR/9092188,,,,,Power Line Communication Modem (PLC),"I2C, SPI, UART/USART",,,1,,-40°C ~ 105°C,,,,,,,,,"2.3V ~ 2.75V, 3V ~ 3.6V"
THS6212IRHFR,Texas Instruments,IC TELECOM INTERFACE 24VQFN,display-drivers,5918,3.32,24-VFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/THS6212IRHFR/6572424,,21mA,,,Amplifier,,,,1,,-40°C ~ 85°C,,,,,,,,,10V ~ 28V
