MPN,Manufacturer,Description,Category,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Access Time,Accuracy - Highest (Lowest),Applications,Battery Chemistry,Bidirectional Channels,Capacitance @ Frequency,Clock Frequency,"Coded, Keyed",Color,Configuration,Connectivity,Contents,Control Features,Core Processor,Core Size,Count Rate,Current - Output,Current - Output (Max),"Current - Output High, Low",Current - Output Source/Sink,Current - Peak Pulse (10/1000µs),Current - Quiescent (Iq),Current - Supply,Current - Supply (Max),Data Converters,Data Interface,Data Rate,DigiKey Programmable,Direction,Duplex,"Dynamic Range, ADCs / DACs (db) Typ",EEPROM Size,Fault Protection,Features,Filter Order,Filter Type,For Use With/Related Products,Frequency - Cutoff or Center,Function,Gender,Grade,Includes,Input Type,Interface,Internal Switch(s),Interrupt Output,Logic Type,Memory Format,Memory Interface,Memory Organization,Memory Size,Memory Type,Number of ADCs / DACs,Number of Bits,Number of Bits per Element,Number of Bits/Stages,Number of Channels,Number of Circuits,Number of Drivers/Receivers,Number of Elements,Number of Filters,Number of I/O,Number of Inputs,Number of Outputs,Number of Positions,Number of Regulators,Number of Taps,Operating Temperature,Oscillator Type,Output,Output Configuration,Output Type,PSRR,Peripherals,Power (Watts),Power - Peak Pulse,Power - Rated,Power Line Protection,Program Memory Size,Program Memory Type,Programmable Features,Programmable Type,Protection Features,Protocol,Qualification,RAM Size,Ratio - Input:Output,Rds On (Typ),Receiver Hysteresis,Reset,Resistance (Ohms),Resistance - Wiper (Ohms) (Typ),Resolution,Resolution (Bits),"S/N Ratio, ADCs / DACs (db) Typ",Schmitt Trigger Input,Sensing Range,Sensing Temperature - Local,Sensing Temperature - Remote,Sensitivity,Sensor Type,Series,Sigma Delta,Size,Speed,Stacking Direction,Standards,Style,Supply Voltage,Switch Type,Taper,Technology,Temperature Coefficient (Typ),Terminal Size,Terminal Type,Termination,Termination Style,Test Condition,Thread Size,Timing,Tolerance,Trigger Type,Type,Unidirectional Channels,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Input,Voltage - Input (Max),Voltage - Load,Voltage - Output,Voltage - Output (Max),Voltage - Output (Min/Fixed),Voltage - Reverse Standoff (Typ),Voltage - Supply,Voltage - Supply (Vcc/Vdd),"Voltage - Supply, Analog","Voltage - Supply, Digital",Voltage Dropout (Max),"Write Cycle Time - Word, Page"
MAX9005ESA,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,0,1.55,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max9000-max9005.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9005ESA/3976982,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator",,,,,,,,,,,,,,,,
MAX9005ESA+,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,0,2.76845,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max9000-max9005.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9005ESA/1495394,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator",,,,,,,,,,,,,,,,
MAX9005ESA+T,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,0,2.24806,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max9000-max9005.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9005ESA-T/1498931,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator",,,,,,,,,,,,,,,,
MAX9005ESA-T,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,0,4.1375,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max9000-max9005.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9005ESA-T/3976983,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator",,,,,,,,,,,,,,,,
MAX9005EUA+,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-UMAX/USOP,serial_interface,interface-controllers,0,4.4814,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/max9000-max9005.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9005EUA/1495156,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator",,,,,,,,,,,,,,,,
MAX9005EUA+T,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-UMAX/USOP,serial_interface,interface-controllers,0,4.4814,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/max9000-max9005.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9005EUA-T/1498919,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator",,,,,,,,,,,,,,,,
MAX951C/D,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL DIE,serial_interface,interface-controllers,0,0.0,Die,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951C-D/9384235,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
MAX951EPA,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-PDIP,serial_interface,interface-controllers,0,2.10826,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max951-max954.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951EPA/3977201,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
MAX951EPA+,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-PDIP,serial_interface,interface-controllers,0,9.86,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max951-max954.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951EPA/1495153,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
MAX951ESA,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,0,2.0625,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max951-max954.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951ESA/3977202,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
MAX951ESA+,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,357,9.06,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/max951-max954.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951ESA/1495397,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
MAX951ESA+T,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,0,5.8982,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/max951-max954.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951ESA-T/1499082,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
MAX951ESA+TG002,Analog Devices Inc./Maxim Integrated,INTEGRATED CIRCUIT,serial_interface,interface-controllers,0,0.0,-,-,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/698/MAX951-54_Rev3_2-16-15.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951ESA-TG002/9680039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX951ESA-T,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-SOIC,serial_interface,interface-controllers,0,4.1625,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max951-max954.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951ESA-T/3977203,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
MAX951EUA,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL 8-UMAX/USOP,serial_interface,interface-controllers,0,2.34095,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/max951-max954.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX951EUA/3977204,,,Smart Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amplifier, Comparator, Reference",,,,,,,,,,,,,,,,
