MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Bidirectional Channels,Capacitance @ Frequency,Current - Peak Pulse (10/1000µs),Grade,Operating Temperature,Power - Peak Pulse,Power Line Protection,Qualification,Series,Type,Unidirectional Channels,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ)
1.5KE300CA,Littelfuse Inc.,TVS DIODE 256VWM 414VC DO201,tvs-diodes,479,1.21,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE300CA/688069,General Purpose,1,,3.7A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,285V,414V,256V
1.5KE30A,Littelfuse Inc.,TVS DIODE 25.6VWM 41.4VC DO201,tvs-diodes,10278,0.92,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE30A/285858,General Purpose,,,36.7A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,1,28.5V,41.4V,25.6V
1.5KE33CA,Littelfuse Inc.,TVS DIODE 28.2VWM 45.7VC DO201,tvs-diodes,37195,0.92,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE33CA/688026,General Purpose,1,,33.3A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,31.4V,45.7V,28.2V
1.5KE350CA,Littelfuse Inc.,TVS DIODE 300VWM 482VC DO201,tvs-diodes,11238,1.21,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE350CA/688071,General Purpose,1,,4.2A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,332V,482V,300V
1.5KE47CA-E3/54,Vishay General Semiconductor - Diodes Division,TVS DIODE 40.2VWM 64.8VC 1.5KE,tvs-diodes,18249,1.57,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.vishay.com/docs/88301/15ke.pdf,https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/1-5KE47CA-E3-54/2142903,General Purpose,1,,23.1A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,TransZorb®,Zener,,44.7V,64.8V,40.2V
1.5KE6.8A,Littelfuse Inc.,TVS DIODE 5.8VWM 10.5VC DO201,tvs-diodes,4042,0.92,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE6-8A/285842,General Purpose,,,144.8A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,1,6.45V,10.5V,5.8V
1.5KE68CA,Littelfuse Inc.,TVS DIODE 58.1VWM 92VC DO201,tvs-diodes,15882,1.14,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE68CA/688042,General Purpose,1,,16.5A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,64.6V,92V,58.1V
1.5SMBJ33CA,Bourns Inc.,TVS DIODE 33VWM 53.3VC DO214AA,tvs-diodes,20282,1.13,"DO-214AA, SMB",Surface Mount,Active,https://www.bourns.com/docs/product-datasheets/1-5smbj.pdf,https://www.digikey.com/en/products/detail/bourns-inc/1-5SMBJ33CA/15211431,General Purpose,1,,28.2A,,-55°C ~ 150°C (TJ),1500W (1.5kW),No,,1.5SMBJ,Zener,,36.7V,53.3V,33V
1.5SMC36A,Littelfuse Inc.,TVS DIODE 30.8VWM DO214AB,tvs-diodes,101768,1.04,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5smc_datasheet.pdf?assetguid=4699ae45-ea3d-42d5-90f2-b76a7b7f12c3,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5SMC36A/715017,General Purpose,,,30.5A,,-55°C ~ 150°C (TJ),1500W (1.5kW),No,,1.5SMC,Zener,1,34.2V,49.9V,30.8V
1.5SMC39A,Littelfuse Inc.,TVS DIODE 33.3VWM 53.9V DO214AB,tvs-diodes,19291,1.04,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5smc_datasheet.pdf?assetguid=4699ae45-ea3d-42d5-90f2-b76a7b7f12c3,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5SMC39A/715021,General Purpose,,,28.2A,,-55°C ~ 150°C (TJ),1500W (1.5kW),No,,1.5SMC,Zener,1,37.1V,53.9V,33.3V
1.5SMC550CA,Littelfuse Inc.,TVS DIODE 495VWM 760VC DO214AB,tvs-diodes,38691,1.58,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5smc_datasheet.pdf?assetguid=4699ae45-ea3d-42d5-90f2-b76a7b7f12c3,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5SMC550CA/715139,General Purpose,1,,2A,,-55°C ~ 150°C (TJ),1500W (1.5kW),No,,1.5SMC,Zener,,522.5V,760V,495V
15KPA033C-SD-Q,Bourns Inc.,TVS DIODE 33VWM 50.3VC DO218,tvs-diodes,1521,6.03,DO-218AB,Surface Mount,Active,https://www.bourns.com/docs/Product-Datasheets/15KPA-SD-Q.pdf,https://www.digikey.com/en/products/detail/bourns-inc/15KPA033C-SD-Q/10512044,,1,,298.1A,Automotive,-55°C ~ 175°C (TJ),15000W (15kW),No,AEC-Q101,15KPA-SD-Q,Zener,,33.7V,50.3V,33V
15KPA036-SD-Q,Bourns Inc.,TVS DIODE 36VWM 55VC DO218,tvs-diodes,3839,5.77,DO-218AB,Surface Mount,Active,https://www.bourns.com/docs/Product-Datasheets/15KPA-SD-Q.pdf,https://www.digikey.com/en/products/detail/bourns-inc/15KPA036-SD-Q/10512042,,,,272.7A,Automotive,-55°C ~ 175°C (TJ),15000W (15kW),No,AEC-Q101,15KPA-SD-Q,Zener,1,36.69V,55V,36V
15KPA036C-SD-Q,Bourns Inc.,TVS DIODE 36VWM 55VC DO218,tvs-diodes,4443,6.03,DO-218AB,Surface Mount,Active,https://www.bourns.com/docs/Product-Datasheets/15KPA-SD-Q.pdf,https://www.digikey.com/en/products/detail/bourns-inc/15KPA036C-SD-Q/10511766,,1,,272.7A,Automotive,-55°C ~ 175°C (TJ),15000W (15kW),No,AEC-Q101,15KPA-SD-Q,Zener,,36.69V,55V,36V
15KPA048C-SD-Q,Bourns Inc.,TVS DIODE 48VWM 71.5VC DO218,tvs-diodes,2949,6.03,DO-218AB,Surface Mount,Active,https://www.bourns.com/docs/Product-Datasheets/15KPA-SD-Q.pdf,https://www.digikey.com/en/products/detail/bourns-inc/15KPA048C-SD-Q/10512024,,1,,194.3A,Automotive,-55°C ~ 175°C (TJ),15000W (15kW),No,AEC-Q101,15KPA-SD-Q,Zener,,48.89V,71.5V,48V
15KPA066C-SD-Q,Bourns Inc.,TVS DIODE 66VWM 96.9VC DO218,tvs-diodes,427,6.03,DO-218AB,Surface Mount,Active,https://www.bourns.com/docs/Product-Datasheets/15KPA-SD-Q.pdf,https://www.digikey.com/en/products/detail/bourns-inc/15KPA066C-SD-Q/10511895,,1,,143.3A,Automotive,-55°C ~ 175°C (TJ),15000W (15kW),No,AEC-Q101,15KPA-SD-Q,Zener,,66.4V,96.9V,66V
15KPA150CA,Littelfuse Inc.,TVS DIODE 150VWM 241.9VC P600,tvs-diodes,1368,14.71,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA150CA/1764299,General Purpose,1,,62.4A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,167.6V,241.9V,150V
15KPA17CA,Littelfuse Inc.,TVS DIODE 17VWM 29.3VC P600,tvs-diodes,1312,9.96,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA17CA/1764311,General Purpose,1,,515.4A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,18.99V,29.3V,17V
15KPA220CA,Littelfuse Inc.,TVS DIODE 220VWM 356VC P600,tvs-diodes,545,14.71,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA220CA/1764335,General Purpose,1,,42.4A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,245.7V,356V,220V
15KPA30A,Littelfuse Inc.,TVS DIODE 30VWM 50.7VC P600,tvs-diodes,673,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA30A/1764368,General Purpose,,,297.8A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,1,33.51V,50.7V,30V
15KPA30CA,Littelfuse Inc.,TVS DIODE 30VWM 50.7VC P600,tvs-diodes,3511,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA30CA/1764370,General Purpose,1,,297.8A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,33.51V,50.7V,30V
15KPA33A,Littelfuse Inc.,TVS DIODE 33VWM 54.7VC P600,tvs-diodes,123,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA33A/1764372,General Purpose,,,276.1A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,1,36.9V,54.7V,33V
15KPA33CA,Littelfuse Inc.,TVS DIODE 33VWM 54.7VC P600,tvs-diodes,2032,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA33CA/1764374,General Purpose,1,,276.1A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,36.9V,54.7V,33V
15KPA36A,Littelfuse Inc.,TVS DIODE 36VWM 59.8VC P600,tvs-diodes,113,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA36A/1764377,General Purpose,,,252.5A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,1,40.2V,59.8V,36V
15KPA36CA,Littelfuse Inc.,TVS DIODE 36VWM 59.8VC P600,tvs-diodes,358,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA36CA/1764379,General Purpose,1,,252.5A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,40.2V,59.8V,36V
15KPA40CA,Littelfuse Inc.,TVS DIODE 40VWM 65.8VC P600,tvs-diodes,879,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA40CA/1764384,General Purpose,1,,229.5A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,44.7V,65.8V,40V
15KPA48A,Littelfuse Inc.,TVS DIODE 48VWM 77.7VC P600,tvs-diodes,822,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA48A/1764394,General Purpose,,,194.3A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,1,53.6V,77.7V,48V
15KPA58A,Littelfuse Inc.,TVS DIODE 58VWM 93.8VC P600,tvs-diodes,382,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA58A/1764410,General Purpose,,,161A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,1,64.8V,93.8V,58V
15KPA75CA,Littelfuse Inc.,TVS DIODE 75VWM 122VC P600,tvs-diodes,2163,12.4,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_15kpa_datasheet.pdf?assetguid=5152edba-6eab-4c4a-9bef-2c97b144328e,https://www.digikey.com/en/products/detail/littelfuse-inc/15KPA75CA/1764430,General Purpose,1,,123.8A,,-55°C ~ 175°C (TJ),15000W (15kW),No,,15KPA,Zener,,83.8V,122V,75V
1KSMB30CA,Littelfuse Inc.,TVS DIODE 25.6VWM 41.4V DO214AA,tvs-diodes,9000,1.15,"DO-214AA, SMB",Surface Mount,Active,https://www.littelfuse.com/assetdocs/tvs-diodes-1ksmb-datasheet?assetguid=c89cc12b-4543-4d72-aead-26a7a674ab87,https://www.digikey.com/en/products/detail/littelfuse-inc/1KSMB30CA/2024004,General Purpose,1,,24.2A,,-55°C ~ 150°C (TJ),1000W (1kW),No,,1KSMB,Zener,,28.5V,41.4V,25.6V
20KPA300CA,Littelfuse Inc.,TVS DIODE 300VWM 483VC P600,tvs-diodes,182,24.71,"P600, Axial",Through Hole,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6506/20KPA%20Series%20Datasheet.pdf,https://www.digikey.com/en/products/detail/littelfuse-inc/20KPA300CA/2520483,General Purpose,1,,41.8A,,-55°C ~ 175°C (TJ),20000W (20kW),No,,20KPA,Zener,,335.1V,483V,300V
3.0SMCJ30A-13,Diodes Incorporated,TVS DIODE 30VWM 48.4VC SMC,tvs-diodes,9782,1.07,"DO-214AB, SMC",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/3.0SMCJ5.0CA-3.0SMCJ170CA.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/3-0SMCJ30A-13/1774300,General Purpose,,1700pF @ 1MHz,62A,,-55°C ~ 175°C (TJ),3000W (3kW),No,,,Zener,1,33.3V,48.4V,30V
30KPA28A,Littelfuse Inc.,TVS DIODE 28VWM 50VC P600,tvs-diodes,1069,22.99,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_30kpa_datasheet.pdf?assetguid=79942834-59ae-4f4e-978d-abfaf38dffcf,https://www.digikey.com/en/products/detail/littelfuse-inc/30KPA28A/2520341,General Purpose,,,606A,,-55°C ~ 175°C (TJ),30000W (30kW),No,,30KPA,Zener,1,31.28V,50V,28V
30KPA36CA,Littelfuse Inc.,TVS DIODE 36VWM 61.8VC P600,tvs-diodes,1854,24.78,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_30kpa_datasheet.pdf?assetguid=79942834-59ae-4f4e-978d-abfaf38dffcf,https://www.digikey.com/en/products/detail/littelfuse-inc/30KPA36CA/2520318,General Purpose,1,,490.3A,,-55°C ~ 175°C (TJ),30000W (30kW),No,,30KPA,Zener,,40.2V,61.8V,36V
30KPA48A,Littelfuse Inc.,TVS DIODE 48VWM 81.6VC P600,tvs-diodes,1310,22.99,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_30kpa_datasheet.pdf?assetguid=79942834-59ae-4f4e-978d-abfaf38dffcf,https://www.digikey.com/en/products/detail/littelfuse-inc/30KPA48A/2520299,General Purpose,,,371.3A,,-55°C ~ 175°C (TJ),30000W (30kW),No,,30KPA,Zener,1,53.6V,81.6V,48V
30KPA48CA,Littelfuse Inc.,TVS DIODE 48VWM 81.6VC P600,tvs-diodes,1156,24.78,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_30kpa_datasheet.pdf?assetguid=79942834-59ae-4f4e-978d-abfaf38dffcf,https://www.digikey.com/en/products/detail/littelfuse-inc/30KPA48CA/2520655,General Purpose,1,,371.3A,,-55°C ~ 175°C (TJ),30000W (30kW),No,,30KPA,Zener,,53.6V,81.6V,48V
30KPA58CA,Littelfuse Inc.,TVS DIODE 58VWM 92.4VC P600,tvs-diodes,933,24.78,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_30kpa_datasheet.pdf?assetguid=79942834-59ae-4f4e-978d-abfaf38dffcf,https://www.digikey.com/en/products/detail/littelfuse-inc/30KPA58CA/2520663,General Purpose,1,,327.9A,,-55°C ~ 175°C (TJ),30000W (30kW),No,,30KPA,Zener,,64.8V,92.4V,58V
30KPA90CA,Littelfuse Inc.,TVS DIODE 90VWM 146.4VC P600,tvs-diodes,3252,24.78,"P600, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_30kpa_datasheet.pdf?assetguid=79942834-59ae-4f4e-978d-abfaf38dffcf,https://www.digikey.com/en/products/detail/littelfuse-inc/30KPA90CA/2520312,General Purpose,1,,207A,,-55°C ~ 175°C (TJ),30000W (30kW),No,,30KPA,Zener,,100.5V,146.4V,90V
5.0SMDJ100A,Bourns Inc.,TVS DIODE 100VWM 162VC DO214AB,tvs-diodes,9483,2.63,"DO-214AB, SMC",Surface Mount,Active,https://www.bourns.com/docs/product-datasheets/5-0smdj.pdf,https://www.digikey.com/en/products/detail/bourns-inc/5-0SMDJ100A/7671855,Telecom,,,30.9A,,-55°C ~ 150°C (TJ),5000W (5kW),No,,5.0SMDJ,Zener,1,111V,162V,100V
5.0SMDJ110CA,Littelfuse Inc.,TVS DIODE 110VWM 177VC DO214AB,tvs-diodes,9935,2.83,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ110CA/2786409,Telecom,1,,28.3A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,122V,177V,110V
5.0SMDJ120CA,Littelfuse Inc.,TVS DIODE 120VWM 193VC DO214AB,tvs-diodes,20258,2.83,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ120CA/2786410,Telecom,1,,26A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,133V,193V,120V
5.0SMDJ12CA,Littelfuse Inc.,TVS DIODE 12VWM 19.9VC DO214AB,tvs-diodes,7418,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ12CA/2024304,Telecom,1,,252A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,13.3V,19.9V,12V
5.0SMDJ13CA,Littelfuse Inc.,TVS DIODE 13VWM 21.5VC DO214AB,tvs-diodes,263,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ13CA/2024307,Telecom,1,,233A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,14.4V,21.5V,13V
5.0SMDJ14A,Littelfuse Inc.,TVS DIODE 14VWM 23.2VC DO214AB,tvs-diodes,24000,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ14A/1835330,Telecom,,,216A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,1,15.6V,23.2V,14V
5.0SMDJ150CA,Littelfuse Inc.,TVS DIODE 150VWM 243VC DO214AB,tvs-diodes,1391,2.83,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ150CA/2786412,Telecom,1,,20.6A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,167V,243V,150V
5.0SMDJ15A,Littelfuse Inc.,TVS DIODE 15VWM 24.4VC DO214AB,tvs-diodes,8321,2.5,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ15A/1835331,Telecom,,,205A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,1,16.7V,24.4V,15V
5.0SMDJ160CA,Littelfuse Inc.,TVS DIODE 160VWM 259VC DO214AB,tvs-diodes,890,2.83,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ160CA/2786413,Telecom,1,,19.3A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,178V,259V,160V
5.0SMDJ16CA,Littelfuse Inc.,TVS DIODE 16VWM 26VC DO214AB,tvs-diodes,5277,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ16CA/2024312,Telecom,1,,193A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,17.8V,26V,16V
5.0SMDJ18A,Littelfuse Inc.,TVS DIODE 18VWM 29.2VC DO214AB,tvs-diodes,8290,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ18A/1835333,Telecom,,,172A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,1,20V,29.2V,18V
5.0SMDJ18CA,Littelfuse Inc.,TVS DIODE 18VWM 29.2VC DO214AB,tvs-diodes,1148,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ18CA/2024316,Telecom,1,,172A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,20V,29.2V,18V
5.0SMDJ20CA,Littelfuse Inc.,TVS DIODE 20VWM 32.4VC DO214AB,tvs-diodes,3868,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ20CA/2024318,Telecom,1,,155A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,22.2V,32.4V,20V
5.0SMDJ24A,Littelfuse Inc.,TVS DIODE 24VWM 38.9VC DO214AB,tvs-diodes,442,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ24A/1835334,Telecom,,,129A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,1,26.7V,38.9V,24V
5.0SMDJ26A,Littelfuse Inc.,TVS DIODE 26VWM 42.1VC DO214AB,tvs-diodes,591,2.5,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ26A/2024322,Telecom,,,119A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,1,28.9V,42.1V,26V
5.0SMDJ26CA,Littelfuse Inc.,TVS DIODE 26VWM 42.1VC DO214AB,tvs-diodes,3894,2.47,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_5_0smdj_datasheet.pdf?assetguid=2b2f4a8c-2e81-4894-8d41-3d748bb79e68,https://www.digikey.com/en/products/detail/littelfuse-inc/5-0SMDJ26CA/2024323,Telecom,1,,119A,,-65°C ~ 150°C (TJ),5000W (5kW),Yes,,5.0SMDJ,Zener,,28.9V,42.1V,26V
