MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Bidirectional Channels,Capacitance @ Frequency,Current - Peak Pulse (10/1000µs),Grade,Operating Temperature,Power - Peak Pulse,Power Line Protection,Qualification,Series,Type,Unidirectional Channels,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ)
ESD601DPYR,Texas Instruments,TVS DIODE 18VWM 33VC 2X1SON,tvs-diodes,12776,0.34,0402 (1005 Metric),Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd601.pdf?ts=1730199608550,https://www.digikey.com/en/products/detail/texas-instruments/ESD601DPYR/25603721,"Telecom, USB",1,0.3pF @ 1MHz,2.7A (8/20µs),,-55°C ~ 150°C (TA),75W,No,,,Zener,,19V,33V (Typ),18V (Max)
ESD601DPYRQ1,Texas Instruments,TVS DIODE 18VWM 33VC 2X1SON,tvs-diodes,35730,0.4,0402 (1005 Metric),Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd601-q1.pdf?ts=1731602930370,https://www.digikey.com/en/products/detail/texas-instruments/ESD601DPYRQ1/25323360,"Telecom, USB",1,0.3pF @ 1MHz,2.7A (8/20µs),Automotive,-55°C ~ 150°C (TA),75W,No,AEC-Q101,,Zener,,19V,33V (Typ),18V (Max)
ESD7181MUT5G,onsemi,TVS DIODE 18.5VWM 35VC 2X3DFN,tvs-diodes,9497,0.43,0201 (0603 Metric),Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD7181MUT5G/4847668,RF Antenna,1,0.3pF @ 1MHz,16A,,-55°C ~ 150°C (TJ),,No,,,Zener,,20.5V,35V (Typ),18.5V (Max)
ESD7241N2T5G,onsemi,TVS DIODE 24VWM 48VC 2X2DFN,tvs-diodes,37843,0.54,2-XDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD7241N2T5G/7220687,RF Antenna,1,1pF @ 1MHz (Max),,,-55°C ~ 150°C (TJ),,No,,,Zener,,24.3V,48V (Typ),24V (Max)
ESD7351HT1G,onsemi,TVS DIODE 3.3VWM SOD323,tvs-diodes,71338,0.48,"SC-76, SOD-323",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD7351HT1G/5257563,RF Antenna,,0.43pF @ 1MHz,,,-55°C ~ 150°C (TJ),,No,,,Zener,1,5V,,3.3V (Max)
ESD7381MUT5G,onsemi,TVS DIODE 3.3VWM 10VC 2X3DFN,tvs-diodes,14819,0.28,0201 (0603 Metric),Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD7381MUT5G/4847669,RF Antenna,,0.37pF @ 1MHz,3A (8/20µs),,-40°C ~ 125°C (TJ),,No,,,Zener,1,5V,10V,3.3V (Max)
ESD7504MUTAG,onsemi,TVS DIODE 3.3VWM 10UDFN,tvs-diodes,4344,0.55,10-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD7504MUTAG/5267866,HDMI,,0.55pF @ 1MHz,,,-55°C ~ 125°C (TJ),,No,,,Steering (Rail to Rail),4,4V,,3.3V (Max)
ESD751DYAR,Texas Instruments,TVS DIODE 24VWM 36.5VC SOT5X3,tvs-diodes,2121,0.23,"SC-79, SOD-523",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd751.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ESD751DYAR/17394969,USB,1,1.6pF @ 1MHz,2.8A (8/20µs),,-55°C ~ 150°C (TA),102W,No,,,Zener,,35.5V,36.5V (Typ),24V (Max)
ESD751DYARQ1,Texas Instruments,TVS DIODE 24VWM 36.5VC SOT5X3,tvs-diodes,9863,0.26,"SC-79, SOD-523",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd751.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ESD751DYARQ1/17394961,CAN,1,1.6pF @ 1MHz,2.8A (8/20µs),Automotive,-55°C ~ 150°C (TA),102W,No,AEC-Q101,,Zener,,25.5V,36.5V (Typ),24V (Max)
ESD752DCKR,Texas Instruments,TVS DIODE 24VWM 37VC SC703,tvs-diodes,9860,0.32,"SC-70, SOT-323",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd752.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ESD752DCKR/16982039,"CAN, USB",2,3pF @ 1MHz,5.7A (8/20µs),,-55°C ~ 150°C (TA),210W,No,,,Zener,,35.5V,37V (Typ),24V (Max)
