MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Accuracy - Highest (Lowest),Features,Grade,Operating Temperature,Output Type,Qualification,Resolution,Sensing Temperature - Local,Sensing Temperature - Remote,Sensor Type,Series,Test Condition,Voltage - Supply
A/TT100-O-2-BB,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Outs",temperature-sensors-analog-and-digital-output,25,220.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-O-2-BB/17279786,±0.2%,,,-40°C ~ 71°C,Analog Voltage,,,-40°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-O-2-EH,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Outs",temperature-sensors-analog-and-digital-output,25,220.8,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Outside Air.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-O-2-EH/17286763,±0.2%,,,-40°C ~ 71°C,Analog Voltage,,,-40°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-O-4-4X,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Outs",temperature-sensors-analog-and-digital-output,25,248.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-O-4-4X/17280585,±0.2%,,,-40°C ~ 71°C,Analog Current,,,-40°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-O-4-4X-POTTED,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Outs",temperature-sensors-analog-and-digital-output,24,268.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-O-4-4X-POTTED/17280981,±0.2%,,,-40°C ~ 71°C,Analog Current,,,-40°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-O-4-BB,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Outs",temperature-sensors-analog-and-digital-output,25,220.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-O-4-BB/17279815,±0.2%,,,-40°C ~ 71°C,Analog Current,,,-40°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-O-4-BB-POTTED,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Outs",temperature-sensors-analog-and-digital-output,25,248.0,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Outside Air.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-O-4-BB-POTTED/17287093,±0.2%,,,-40°C ~ 71°C,Analog Current,,,-40°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-O-4-EH,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Outs",temperature-sensors-analog-and-digital-output,25,225.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-O-4-EH/17281691,±0.2%,,,-50°C ~ 200°C,Analog Current,,,-50°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-R-2-LCD,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,298.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-R-2-LCD/17280838,±0.2%,,,1.5°C ~ 50°C,Analog Voltage,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-R-4-LCD,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,2,305.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-R-4-LCD/17280197,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-R2-1,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,166.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-R2-1/17280410,±0.2%,,,1.5°C ~ 50°C,Analog Voltage,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-R2-2,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,166.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-R2-2/17280196,±0.2%,,,1.5°C ~ 50°C,Analog Voltage,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-R2-4,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,170.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-R2-4/17280183,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-R2S-4-G5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,184.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-R2S-4-G5/17281668,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-R2SO-4-G5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,204.0,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/product_cutsheet/RH Room [Thermistor].pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-R2SO-4-G5/17285113,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RO-4,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,184.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RO-4/17282124,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RS-1-C5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,184.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RS-1-C5/17280426,±0.2%,,,1.5°C ~ 50°C,Analog Voltage,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RS-1-LCD-C5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,324.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RS-1-LCD-C5/17281113,±0.2%,,,1.5°C ~ 50°C,Analog Voltage,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RS-4-C5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,190.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RS-4-C5/17280521,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RS-4-LCD-B4,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,316.0,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Room.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RS-4-LCD-B4/17285323,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RS-4-LCD-C5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,316.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RS-4-LCD-C5/17281250,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RSO-4-B4,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,204.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RSO-4-B4/17282204,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RSO-4-C5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,204.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RSO-4-C5/17281423,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RSO-4-LCD-B4,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,334.4,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Room.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RSO-4-LCD-B4/17285797,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-RSO-A03-4-LCD-RES-C5,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Room",temperature-sensors-analog-and-digital-output,25,334.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-RSO-A03-4-LCD-RES-C5/17281767,±0.2%,,,1.5°C ~ 50°C,Analog Current,,,1.5°C ~ 50°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-S-2-GD,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Stra",temperature-sensors-analog-and-digital-output,25,208.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-S-2-GD/17282360,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-S-2-PB,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Stra",temperature-sensors-analog-and-digital-output,25,208.0,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Strap On.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-S-2-PB/17286183,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-S-4-GD,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Stra",temperature-sensors-analog-and-digital-output,25,214.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-S-4-GD/17281193,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-S-4-PB,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Stra",temperature-sensors-analog-and-digital-output,25,208.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-S-4-PB/17280235,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-SP-1,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Wall",temperature-sensors-analog-and-digital-output,25,197.6,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Wall Plates.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-SP-1/17286604,±0.2%,,,1.5°C ~ 71°C,Analog Voltage,,,1.5°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-SP-2,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Wall",temperature-sensors-analog-and-digital-output,25,197.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-SP-2/17282280,±0.2%,,,1.5°C ~ 71°C,Analog Voltage,,,1.5°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-SP-4,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Wall",temperature-sensors-analog-and-digital-output,25,201.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-SP-4/17282385,±0.2%,,,1.5°C ~ 71°C,Analog Current,,,1.5°C ~ 71°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-A-24'-4-GD,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Co",temperature-sensors-analog-and-digital-output,2,651.2,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-A-24-4-GD/17281394,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 135°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-A-50'-4-4X,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Co",temperature-sensors-analog-and-digital-output,22,1.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-A-50-4-4X/17281956,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 135°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BO-1,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bo",temperature-sensors-analog-and-digital-output,23,137.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BO-1/17281815,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BO-2,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bo",temperature-sensors-analog-and-digital-output,25,141.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BO-2/17282254,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BO-4,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bo",temperature-sensors-analog-and-digital-output,23,141.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BO-4/17281805,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BO-4-4X-POTTED,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bo",temperature-sensors-analog-and-digital-output,25,206.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BO-4-4X-POTTED/17279984,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BO-4-BB-POTTED,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bo",temperature-sensors-analog-and-digital-output,25,184.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BO-4-BB-POTTED/17279843,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BO-4-POTTED,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bo",temperature-sensors-analog-and-digital-output,25,188.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BO-4-POTTED/17280041,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BP-1-GD-10'CL2P,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bu",temperature-sensors-analog-and-digital-output,25,206.4,Probe,Free Hanging,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Bullet Probe.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BP-1-GD-10-CL2P/17286420,±0.2%,,,-40°C ~ 200°C,Analog Voltage,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BP-2-4X-20'CL2P,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bu",temperature-sensors-analog-and-digital-output,25,277.6,Probe,Free Hanging,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Bullet Probe.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BP-2-4X-20-CL2P/17286902,±0.2%,,,-40°C ~ 200°C,Analog Voltage,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BP-2-GD-6'CL2P,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bu",temperature-sensors-analog-and-digital-output,25,197.6,Probe,Free Hanging,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BP-2-GD-6-CL2P/17279918,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BP-4-4X-10'CL2P,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bu",temperature-sensors-analog-and-digital-output,25,254.4,Probe,Free Hanging,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BP-4-4X-10-CL2P/17281803,±0.2%,,,-40°C ~ 200°C,Analog Current,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BP-4-4X-20'CL2P,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bu",temperature-sensors-analog-and-digital-output,25,277.6,Probe,Free Hanging,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BP-4-4X-20-CL2P/17279729,±0.2%,,,-40°C ~ 200°C,Analog Current,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BP-4-GD-10'CL2P,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bu",temperature-sensors-analog-and-digital-output,25,212.0,Probe,Free Hanging,Active,https://www.workaci.com/sites/default/files/product_cutsheet/Transmitters Bullet Probe.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BP-4-GD-10-CL2P/17285766,±0.2%,,,-40°C ~ 200°C,Analog Current,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT1K-BP-4-PB-6'P,"Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Bu",temperature-sensors-analog-and-digital-output,25,196.0,Probe,Free Hanging,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-BP-4-PB-6-P/17280342,±0.2%,,,-40°C ~ 200°C,Analog Current,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-1-PB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-1-PB/17281953,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-2-4X","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,244.8,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Duct.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-2-4X/17285963,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-2-GD","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,205.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-2-GD/17280254,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-2-PB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-2-PB/17281055,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-4-4X","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,244.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-4-4X/17281827,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-4-BB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,227.2,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-4-BB/17280983,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-4-GD","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,2,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-4-GD/17282287,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-12""-4-PB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,205.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-12-4-PB/17281152,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-18""-2-4X","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,251.2,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Duct.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-18-2-4X/17286093,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-18""-2-BB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,230.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-18-2-BB/17280109,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-18""-2-GD","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,208.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-18-2-GD/17282311,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-18""-2-PB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,208.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-18-2-PB/17280628,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-18""-4-4X","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,256.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-18-4-4X/17282102,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-18""-4-BB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,230.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-18-4-BB/17282390,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-18""-4-GD","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,214.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-18-4-GD/17282300,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-4""-1-4X","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,244.8,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Duct.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-4-1-4X/17287205,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-4""-1-BB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,221.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-4-1-BB/17280134,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-4""-1-GD","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-4-1-GD/17286785,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-4""-1-PB","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,205.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-4-1-PB/17282212,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT1K-D-4""-2-GD","Automation Components, Inc.","Transmitter w/ 1,000 Ohm RTD, Du",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT1K-D-4-2-GD/17281911,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
