MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Accuracy - Highest (Lowest),Features,Grade,Operating Temperature,Output Type,Qualification,Resolution,Sensing Temperature - Local,Sensing Temperature - Remote,Sensor Type,Series,Test Condition,Voltage - Supply
4592.10-C.12,"Micro-Hybrid Electronics, Inc",TS1x80B-A-D0.75-1-Kr-B1-180,temperature-sensors-analog-and-digital-output,50,155.412,-,Through Hole,Active,https://www.sifamtinsley.com/clientarea/uploads/product_details/69e479f28f0cc_Omega%2010%20DS.pdf,https://www.digikey.com/en/products/detail/micro-hybrid-electronics-inc/4592-10-C-12/29219526,,,,-40°C ~ 150°C,Analog Voltage,,,,-20°C ~ 1000°C (IR),"Analog, Infrared (IR)",TS1x80B-A-D0.75-1-Kr-B1-180,,Self Powered
535-53DF05-104,Honeywell Sensing and Productivity Solutions,TEMPERATURE SENSOR,temperature-sensors-analog-and-digital-output,0,118.38,-,-,Active,,https://www.digikey.com/en/products/detail/honeywell-sensing-and-productivity-solutions/535-53DF05-104/21717077,,,,,,,,,,,,,
590-33BN06-222,Honeywell Sensing and Productivity Solutions,TEMPERATURE SENSOR,temperature-sensors-analog-and-digital-output,0,216.42,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6285/index_ci_id%3D151848.pdf,https://www.digikey.com/en/products/detail/honeywell-sensing-and-productivity-solutions/590-33BN06-222/21713445,,,,,,,,,,,,,
590-33BN07-222,Honeywell Sensing and Productivity Solutions,TEMPERATURE SENSOR,temperature-sensors-analog-and-digital-output,0,167.013,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6285/index_ci_id%3D151848.pdf,https://www.digikey.com/en/products/detail/honeywell-sensing-and-productivity-solutions/590-33BN07-222/21713110,,,,,,,,,,,,,
5962-8757101YA,Analog Devices Inc.,SENSOR ANALOG -55C-150C TO52-3,temperature-sensors-analog-and-digital-output,0,0.0,"TO-206AC, TO-52-3 Metal Can",Through Hole,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD590.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/5962-8757101YA/3904291,±5°C,,,-55°C ~ 150°C,Analog Current,,,-55°C ~ 150°C,,"Analog, Local",,25°C,4V ~ 30V
5962-8757102YA,Analog Devices Inc.,SENSOR ANALOG -55C-150C TO52-3,temperature-sensors-analog-and-digital-output,0,83.4751,"TO-206AC, TO-52-3 Metal Can",Through Hole,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD590.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/5962-8757102YA/3904293,±2.5°C,,,-55°C ~ 150°C,Analog Current,,,-55°C ~ 150°C,,"Analog, Local",,25°C,4V ~ 30V
5962-8757103YA,Analog Devices Inc.,SENSOR ANALOG -55C-150C TO52-3,temperature-sensors-analog-and-digital-output,110,146.1,"TO-206AC, TO-52-3 Metal Can",Through Hole,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD590.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/5962-8757103YA/3904295,±1°C,,,-55°C ~ 150°C,Analog Current,,,-55°C ~ 150°C,,"Analog, Local",,25°C,4V ~ 30V
5962-8757104XA,Analog Devices Inc.,TRANSDUCER IC,temperature-sensors-analog-and-digital-output,0,479.79,2-CFlatPack,Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD590.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/5962-8757104XA/17826480,±0.5°C,,,-55°C ~ 150°C,Analog Current,,,-55°C ~ 150°C,,"Analog, Local",,25°C,4V ~ 30V
5962-8757104YA,Analog Devices Inc.,SENSOR ANALOG -55C-150C TO52-3,temperature-sensors-analog-and-digital-output,95,275.42,"TO-206AC, TO-52-3 Metal Can",Through Hole,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD590.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/5962-8757104YA/3904296,±0.5°C,,,-55°C ~ 150°C,Analog Current,,,-55°C ~ 150°C,,"Analog, Local",,25°C,4V ~ 30V
601048,Dracal Technologies,USB 2/3WIRE RTD ADAPTER-24BIT,temperature-sensors-analog-and-digital-output,8,251.13,Module,Free Hanging,Active,https://www.dracal.com/wp-content/uploads/2021/12/Dracal-RTD300-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/601048/20493897,±0.005°C (±0.018°C),,,-20°C ~ 60°C,USB,,24 b,,-200°C ~ 850°C,Temperature,RTD,25°C (0°C ~ 50°C),5V
