MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Features,Operating Temperature,Output Type,Power - Rated,Sensing Range,Sensitivity,Sensor Type,Series,Termination
CMCP-DVS-EX-E1-00,STI Vibration Monitoring,"Explosion Proof, 1 ips, Intern.",magnetic-sensors-hall-effect-digital-switch-linear,20,695.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-E1-00/22160276,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-EX-E1-RST,STI Vibration Monitoring,"Explosion Proof, 1 ips, Ext. Res",magnetic-sensors-hall-effect-digital-switch-linear,20,845.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-E1-RST/22160273,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-EX-E2-00,STI Vibration Monitoring,"Explosion Proof, 2 ips, Intern.",magnetic-sensors-hall-effect-digital-switch-linear,12,695.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-E2-00/22160272,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-EX-E2-RST,STI Vibration Monitoring,"Explosion Proof, 2 ips, Ext Rese",magnetic-sensors-hall-effect-digital-switch-linear,20,845.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-E2-RST/22160269,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-EX-M1-00,STI Vibration Monitoring,"Explosion Proof, 25.4 mm/s, Inte",magnetic-sensors-hall-effect-digital-switch-linear,20,695.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-M1-00/22160274,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-EX-M1-RST,STI Vibration Monitoring,"Explosion Proof, 25.4 mm/s, Ext.",magnetic-sensors-hall-effect-digital-switch-linear,20,845.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-M1-RST/22160277,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-EX-M2-00,STI Vibration Monitoring,"Explosion Proof, 50.8 mm/s, Inte",magnetic-sensors-hall-effect-digital-switch-linear,20,695.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-M2-00/22160268,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-EX-M2-RST,STI Vibration Monitoring,"Explosion Proof, 50.8 mm/s, Ext.",magnetic-sensors-hall-effect-digital-switch-linear,20,845.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-EX.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-EX-M2-RST/22160275,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-GP-E1,STI Vibration Monitoring,"General Purpose, 1 ips",magnetic-sensors-hall-effect-digital-switch-linear,20,595.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-GPds.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-GP-E1/22160267,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-GP-E2,STI Vibration Monitoring,"General Purpose, 2 isp",magnetic-sensors-hall-effect-digital-switch-linear,20,595.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-GPds.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-GP-E2/22160271,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
