MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Battery Chemistry,Function,Number of Bits/Stages,Operating Temperature,Series
4213AM,Burr Brown,IC MULT/DIVIDER TO-100-10,interface-specialized,550,71.78,TO-100-10 Metal Can,,Active,https://rocelec.widen.net/view/pdf/6fvnme7fzz/4213.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4213AM/12592344,,Analog Multiplier/Divider,4-Quadrant,,
4213AM-TI,Texas Instruments,4213 MULTIPLIER-DIVIDER,interface-specialized,8984,71.78,-,,Active,https://rocelec.widen.net/view/pdf/6fvnme7fzz/4213.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4213AM-TI/12642476,,,,,*
4213BM,Texas Instruments,IC MULT/DIVIDER TO-100-10,interface-specialized,0,111.51,TO-100-10 Metal Can,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/734/4213.pdf,https://www.digikey.com/en/products/detail/texas-instruments/4213BM/300502,,Analog Multiplier/Divider,4-Quadrant,,
4213SM,Texas Instruments,IC MULT/DIVIDER TO-100-10,interface-specialized,8,275.77,TO-100-10 Metal Can,,Last Time Buy,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/734/4213.pdf,https://www.digikey.com/en/products/detail/texas-instruments/4213SM/300503,,Analog Multiplier/Divider,4-Quadrant,,
4214AP,Texas Instruments,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,55.4,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/936/4214.pdf,https://www.digikey.com/en/products/detail/texas-instruments/4214AP/300504,,Analog Multiplier/Divider,4-Quadrant,,
4214BP,Burr Brown,IC MULT/DIVIDER 14-CDIP,interface-specialized,720,68.04,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://rocelec.widen.net/view/pdf/1u1cmyxbbu/TXIIS40742-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4214BP/11542997,,Analog Multiplier/Divider,4-Quadrant,,
5962-9325101M2A,Harris Corporation,IC MULT 20-CLCC,interface-specialized,22,32.39,20-CLCC,,Active,https://rocelec.widen.net/view/pdf/y2oiu2avlf/HRISD023-8-3.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9325101M2A/12592029,,Analog Multiplier,2-Quadrant,,
AD532JHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532JHZ/1551781,,Analog Multiplier/Divider,4-Quadrant,,
AD532KDZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,11,287.18,"14-CDIP (0.300"", 7.62mm)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532KDZ/1246034,,Analog Multiplier/Divider,4-Quadrant,,
AD532SD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532SD/617467,,Analog Multiplier/Divider,4-Quadrant,,
AD534JD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534JD/611754,,Analog Multiplier/Divider,4-Quadrant,,
AD534JDZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,167.94667,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534JDZ/1643560,,Analog Multiplier/Divider,4-Quadrant,,
AD534JHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534JHZ/1551782,,Analog Multiplier/Divider,4-Quadrant,,
AD534KD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534KD/617506,,Analog Multiplier/Divider,4-Quadrant,,
AD534LDZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534LDZ/1812550,,Analog Multiplier/Divider,4-Quadrant,,
AD534SD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534SD/617511,,Analog Multiplier/Divider,4-Quadrant,,
AD534TD/883B,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534TD-883B/3904495,,Analog Multiplier/Divider,4-Quadrant,,
AD538SD/883B,Analog Devices Inc.,IC COMP UNIT 18-SBDIP,interface-specialized,0,0.0,"18-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD538.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD538SD-883B/3904503,,Analog Computational Unit,4-Quadrant,,
AD539JNZ,Analog Devices Inc.,IC MULT/DIVIDER 16-PDIP,interface-specialized,0,88.86,"16-DIP (0.300"", 7.62mm)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD539.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD539JNZ/760689,,Analog Multiplier/Divider,2-Quadrant,,
AD539KNZ,Analog Devices Inc.,IC MULT/DIVIDER 16-PDIP,interface-specialized,0,126.83,"16-DIP (0.300"", 7.62mm)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD539.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD539KNZ/760688,,Analog Multiplier/Divider,2-Quadrant,,
AD632BHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD632.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD632BHZ/1551338,,Analog Multiplier/Divider,4-Quadrant,,
AD633ANZ,Analog Devices Inc.,IC MULT 8-PDIP,interface-specialized,568,21.48,"8-DIP (0.300"", 7.62mm)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633ANZ/750990,,Analog Multiplier,4-Quadrant,,
AD633ARZ,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,16.45,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633ARZ/617826,,Analog Multiplier,4-Quadrant,,
AD633ARZ-R7,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,16.45,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633ARZ-R7/617827,,Analog Multiplier,4-Quadrant,,
AD633ARZ-RL,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,16.45,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633ARZ-RL/617828,,Analog Multiplier,4-Quadrant,,
AD633JN,Analog Devices Inc.,IC MULT 8-PDIP,interface-specialized,0,0.0,"8-DIP (0.300"", 7.62mm)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JN/612044,,Analog Multiplier,4-Quadrant,,
AD633JNZ,Analog Devices Inc.,IC MULT 8-PDIP,interface-specialized,0,21.48,"8-DIP (0.300"", 7.62mm)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JNZ/750991,,Analog Multiplier,4-Quadrant,,
AD633JR,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JR/612042,,Analog Multiplier,4-Quadrant,,
AD633JR-REEL7,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JR-REEL7/617830,,Analog Multiplier,4-Quadrant,,
AD633JRZ,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,16.45,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JRZ/617831,,Analog Multiplier,4-Quadrant,,
AD633JRZ-R7,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,16.45,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JRZ-R7/617832,,Analog Multiplier,4-Quadrant,,
AD633JRZ-RL,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,16.45,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633JRZ-RL/617833,,Analog Multiplier,4-Quadrant,,
AD633TRZ-EP,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,23.46,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633-EP.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633TRZ-EP/8510314,,Analog Multiplier,4-Quadrant,,
AD633TRZ-EP-R7,Analog Devices Inc.,IC MULT 8-SOIC,interface-specialized,0,23.46,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD633-EP.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD633TRZ-EP-R7/8510315,,Analog Multiplier,4-Quadrant,,
AD734AN,Analog Devices Inc.,IC MULT 14-PDIP,interface-specialized,0,0.0,"14-DIP (0.300"", 7.62mm)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD734.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD734AN/612018,,Analog Multiplier,4-Quadrant,,
AD734ANZ,Analog Devices Inc.,IC MULT 14-PDIP,interface-specialized,1630,58.28,"14-DIP (0.300"", 7.62mm)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD734.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD734ANZ/751025,,Analog Multiplier,4-Quadrant,,
AD734AQ,Analog Devices Inc.,IC MULT 14-CERDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD734.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD734AQ/612017,,Analog Multiplier,4-Quadrant,,
AD734BN,Analog Devices Inc.,IC MULT 14-PDIP,interface-specialized,0,0.0,"14-DIP (0.300"", 7.62mm)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD734.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD734BN/612014,,Analog Multiplier,4-Quadrant,,
AD734BNZ,Analog Devices Inc.,IC MULT 14-PDIP,interface-specialized,0,0.0,"14-DIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD734.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD734BNZ/751026,,Analog Multiplier,4-Quadrant,,
