MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Battery Chemistry,Function,Number of Bits/Stages,Operating Temperature,Series
DS1260-25,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 16-DIP MOD,interface-signal-buffers-repeaters-splitters,0,0.0,"16-DIP Module (0.300"", 7.62mm)",Through Hole,Obsolete,https://pdfserv.maximintegrated.com/en/ds/DS1260.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS1260-25/444291,Lithium Cell,Back-Up Management,,0°C ~ 70°C,
DS1260-50,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 16-DIP MOD,interface-signal-buffers-repeaters-splitters,0,0.0,"16-DIP Module (0.300"", 7.62mm)",Through Hole,Obsolete,https://pdfserv.maximintegrated.com/en/ds/DS1260.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS1260-50/444307,Lithium Cell,Back-Up Management,,0°C ~ 70°C,
DS90340I-PCX,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,0,6.82895,34-PowerCap™ Module,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/377/DS1743%28P%29.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS90340I-PCX/680802,Lithium Cell,Back-Up Management,,-40°C ~ 85°C,
DS9034I-PCX+,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,428,16.32,34-PowerCap™ Module,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds9034i-pcx-ds9034pcx.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS9034I-PCX/1197673,Lithium Cell,Back-Up Management,,-40°C ~ 85°C,
DS9034PC,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,0,6.26842,34-PowerCap™ Module,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ds9034pc.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS9034PC/420056,Lithium Cell,Back-Up Management,,0°C ~ 70°C,
DS9034PC+,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,970,14.29,34-PowerCap™ Module,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6130/DS9034PC.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS9034PC/957019,Lithium Cell,Back-Up Management,,0°C ~ 70°C,
DS9034PCI,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,0,0.0,34-PowerCap™ Module,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ds9034pc.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS9034PCI/680803,Lithium Cell,Back-Up Management,,-40°C ~ 85°C,
DS9034PCI+,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,74,15.37,34-PowerCap™ Module,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6130/DS9034PC.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS9034PCI/1197674,Lithium Cell,Back-Up Management,,-40°C ~ 85°C,
DS9034PCX,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,0,6.37474,34-PowerCap™ Module,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ds9034i-pcx-ds9034pcx.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS9034PCX/417485,Lithium Cell,Back-Up Management,,0°C ~ 70°C,
DS9034PCX+,Analog Devices Inc./Maxim Integrated,IC BATT LITHIUM 34-POWERCAP MOD,interface-signal-buffers-repeaters-splitters,702,13.96,34-PowerCap™ Module,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds9034i-pcx-ds9034pcx.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS9034PCX/957018,Lithium Cell,Back-Up Management,,0°C ~ 70°C,
GT4122-CDF,Gennum,IC MULT 20-PDIP,interface-specialized,30,11.61,20-DIP,,Active,https://rocelec.widen.net/view/pdf/ysyr40npoc/GENNS00328-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/GT4122-CDF/12134700,,Analog Multiplier,2-Quadrant,,
GT4123-CDA,Gennum,IC MULT 8-PDIP,interface-specialized,1855,4.25,8-DIP,,Active,https://rocelec.widen.net/view/pdf/sum6vvjhkf/GENND00004-DS40-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/GT4123-CDA/12137622,,Analog Multiplier,2-Quadrant,,
GT4123ACDA,Gennum,IC MULT 8-PDIP,interface-specialized,333,4.25,8-DIP,,Active,https://rocelec.widen.net/view/pdf/sum6vvjhkf/GENND00004-DS40-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/GT4123ACDA/12138897,,Analog Multiplier,2-Quadrant,,
GT4123ACKAE3,Gennum,ANALOG MULTIPLIER OR DIVIDER,interface-specialized,1237,4.6,-,,Active,https://rocelec.widen.net/view/pdf/sum6vvjhkf/GENND00004-DS40-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/GT4123ACKAE3/12135075,,,,,*
GT4123BCDA,Gennum,IC MULT 8-PDIP,interface-specialized,2367,4.25,8-DIP,,Active,https://rocelec.widen.net/view/pdf/rhhhicytyo/GENNS00490-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/GT4123BCDA/12137711,,Analog Multiplier,2-Quadrant,,
HA1-2546-5,Intersil,IC MULT 16-CERDIP,interface-specialized,93,15.01,"16-CDIP (0.300"", 7.62mm)",,Active,https://rocelec.widen.net/view/pdf/h9aupfobuo/INSLS01154-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/HA1-2546-5/12098863,,Analog Multiplier,2-Quadrant,,
HA1-2547-5,Harris Corporation,IC MULT 16-CERDIP,interface-specialized,300,99.69,"16-CDIP (0.300"", 7.62mm)",,Active,https://rocelec.widen.net/view/pdf/osqaxyf3xx/HRISD034-8-87.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/HA1-2547-5/12098185,,Analog Multiplier,2-Quadrant,,
HA1-2547-9,Harris Corporation,IC MULT 16-CERDIP,interface-specialized,4406,93.56,"16-CDIP (0.300"", 7.62mm)",,Active,https://rocelec.widen.net/view/pdf/osqaxyf3xx/HRISD034-8-87.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/HA1-2547-9/12098142,,Analog Multiplier,2-Quadrant,,
