MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Count Rate,Direction,Grade,Logic Type,Number of Bits per Element,Number of Elements,Operating Temperature,Qualification,Reset,Series,Timing,Trigger Type,Voltage - Supply
100136DC,National Semiconductor,"BINARY COUNTER, 100K SERIES",pmic-gate-drivers,75,21.89,-,-,Active,https://rocelec.widen.net/view/pdf/nluk7yul0p/NATLS16344-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100136DC/12098401,,,,,,,,,,,,,
100136J-MIL,National Semiconductor,"BINARY COUNTER, 100K SERIES",pmic-gate-drivers,964,31.25,-,-,Active,https://rocelec.widen.net/view/pdf/nluk7yul0p/NATLS16344-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100136J-MIL/12098897,,,,,,,,,,,,,
11C05DM/B,"Rochester Electronics, LLC","PRESCALER, ECL SERIES",pmic-gate-drivers,784,159.19,-,-,Active,https://rocelec.widen.net/view/pdf/dddqhodeo1/RE_DSHEET_11C05DC_REI.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/11C05DM-B/12593738,,,,,,,,,,*,,,
11C90DM/B,"Rochester Electronics, LLC","PRESCALER, ECL SERIES",pmic-gate-drivers,2954,212.63,-,-,Active,https://rocelec.widen.net/view/pdf/bsz0wbqix8/11C90DMB-ROCV.pdf?t.download=true&u=axiww2,https://www.digikey.com/en/products/detail/rochester-electronics-llc/11C90DM-B/12593387,,,,,,,,,,*,,,
25LS2569DM/B,"Rochester Electronics, LLC",4BIT SYNC UP/DWN 3-STATE OUTPUTS,pmic-gate-drivers,189,156.3,-,-,Active,https://rocelec.widen.net/view/pdf/8eqodgqfsk/RE_DScover_AM25LS2568-69.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/25LS2569DM-B/12618368,,,,,,,,,,*,,,
25LS2569FM/B,"Rochester Electronics, LLC",4BIT SYNC UP/DWN 3-STATE OUTPUTS,pmic-gate-drivers,74,203.35,-,-,Active,https://rocelec.widen.net/view/pdf/8eqodgqfsk/RE_DScover_AM25LS2568-69.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/25LS2569FM-B/12600268,,,,,,,,,,*,,,
40161BDM,National Semiconductor,IC BINARY COUNTER 4-BIT 16CDIP,pmic-gate-drivers,1147,2.68,16-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/sctz7qxcfs/FAIRS32762-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/40161BDM/12103607,14 MHz,Up,,Binary Counter,4,1,,,Asynchronous,4000B,Synchronous,Positive Edge,
40163BDM,National Semiconductor,IC DECADE COUNTR DL 4BIT 16CDIP,pmic-gate-drivers,1565,4.75,16-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/sctz7qxcfs/FAIRS32762-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/40163BDM/12102947,14 MHz,Up,,"Counter, Decade",4,1,,,Synchronous,4000B,Synchronous,Positive Edge,
4017BDM,National Semiconductor,IC DECADE COUNTER 10BIT,pmic-gate-drivers,2002,6.14,-,-,Active,https://rocelec.widen.net/view/pdf/1xmwl9l6no/FAIRS31950-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4017BDM/12103936,,Up,,"Counter, Decade",10,1,-40°C ~ 85°C (TA),,Asynchronous,4000B,Synchronous,"Positive, Negative",3 V ~ 15 V
4018B/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/05652BEA),pmic-gate-drivers,2189,92.99,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4018B-BEA/12591007,,,,,,,,,,*,,,
4018BDM,National Semiconductor,IC DIVIDER BY N 5-BIT 16CDIP,pmic-gate-drivers,1003,2.05,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/gmplazj1s8/FAIRS32764-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4018BDM/12104846,10 MHz,,,Divide-by-N,5,1,,,Asynchronous,,Asynchronous,Positive Edge,3 V ~ 18 V
40193BDC,National Semiconductor,BINARY COUNTER,pmic-gate-drivers,262,3.96,-,-,Active,https://rocelec.widen.net/view/pdf/s5wkf9m3zb/FAIRS31951-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/40193BDC/12104691,,,,,,,,,,,,,
40193BDM,National Semiconductor,"BINARY COUNTER, SYNCHRONOUS",pmic-gate-drivers,589,4.7,-,-,Active,https://rocelec.widen.net/view/pdf/s5wkf9m3zb/FAIRS31951-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/40193BDM/12591174,,,,,,,,,,,,,
4020BDC,National Semiconductor,BINARY COUNTER,pmic-gate-drivers,756,1.76,-,-,Active,https://rocelec.widen.net/view/pdf/v3zrr4iu0o/FAIRS31900-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4020BDC/12104384,,,,,,,,,,,,,
4020BDMQB,National Semiconductor,BINARY COUNTER,pmic-gate-drivers,2000,2.33,-,-,Active,https://rocelec.widen.net/view/pdf/v3zrr4iu0o/FAIRS31900-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4020BDMQB/12104260,,,,,,,,,,,,,
4022A/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/05604BEA),pmic-gate-drivers,1665,92.99,-,-,Active,https://rocelec.widen.net/view/pdf/xatezktnsn/RE_DSHEET_4022ABEA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4022A-BEA/12604205,,,,,,,,,,*,,,
4022BDC,National Semiconductor,DIVIDE BY 8 COUNTER,pmic-gate-drivers,1042,0.84,-,-,Active,https://rocelec.widen.net/view/pdf/1xmwl9l6no/FAIRS31950-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4022BDC/12104350,,,,,,,,,,,,,
4022BDM,National Semiconductor,DIVIDE BY 8 COUNTER,pmic-gate-drivers,759,1.06,-,-,Active,https://rocelec.widen.net/view/pdf/1xmwl9l6no/FAIRS31950-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4022BDM/12105033,,,,,,,,,,,,,
40245F,"IDT, Integrated Device Technology Inc","BINARY COUNTER, ASYNCHRONOUS",pmic-gate-drivers,9727,0.86,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/40245F/12591132,,,,,,,,,,*,,,
4024BDC,National Semiconductor,BINARY COUNTER,pmic-gate-drivers,3028,1.06,-,-,Active,https://rocelec.widen.net/view/pdf/jbuqiea1uq/FAIRS32097-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4024BDC/12104815,,,,,,,,,,,,,
4024BDM,National Semiconductor,BINARY COUNTER,pmic-gate-drivers,7027,1.34,-,-,Active,https://rocelec.widen.net/view/pdf/jbuqiea1uq/FAIRS32097-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4024BDM/12106285,,,,,,,,,,,,,
4024BDMQB,National Semiconductor,IC BINARY COUNTER 7-BIT 16CDIP,pmic-gate-drivers,1544,1.88,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/unlonwi1yi/FAIRS28631-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4024BDMQB/12106911,30 MHz,Up,,Binary Counter,7,1,,,,4000B,,Negative Edge,
4029BDC,National Semiconductor,DECADE COUNTER,pmic-gate-drivers,8769,3.93,-,-,Active,https://rocelec.widen.net/view/pdf/hfnrhaf5vr/FAIRS32066-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4029BDC/12105716,,,,,,,,,,,,,
4040BDM,National Semiconductor,BINARY COUNTER,pmic-gate-drivers,166,6.04,-,-,Active,https://rocelec.widen.net/view/pdf/v3zrr4iu0o/FAIRS31900-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4040BDM/12107113,,,,,,,,,,,,,
4510BDC,National Semiconductor,IC DECADE COUNTER 16CDIP,pmic-gate-drivers,3813,6.03,16-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/ix3kvjyzaw/FAIRS32785-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4510BDC/12109052,15 MHz,"Up, Down",,"Counter, Decade",,,,,Asynchronous,4510B,Synchronous,Positive Edge,
4516BDC,National Semiconductor,IC COUNTER 4-BIT 16CDIP,pmic-gate-drivers,1025,3.98,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/26t5cqiebg/FAIRS32786-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4516BDC/12109379,15 MHz,"Up, Down",,Counter,4,1,,,Asynchronous,,Synchronous,Positive Edge,
4516BDM,National Semiconductor,IC BINARY COUNTER 4-BIT 14CDIP,pmic-gate-drivers,526,5.94,"14-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/vltroh94n1/FAIRS28632-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4516BDM/12109439,11 MHz,"Up, Down",,Binary Counter,4,1,-55°C ~ 125°C (TA),,Synchronous,4516B,Synchronous,Positive Edge,3 V ~ 18 V
4518BDM,National Semiconductor,IC BCD COUNTER DUAL 4BIT 16CDIP,pmic-gate-drivers,2232,4.84,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/unlonwi1yi/FAIRS28631-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4518BDM/12600623,12 MHz,Up,,"BCD Counter, Counter, Decade",4,2,,,Asynchronous,,Synchronous,"Positive, Negative",5 V ~ 15 V
4520BDMQB,National Semiconductor,IC BINARY COUNTER 4BIT 14CERDIP,pmic-gate-drivers,2000,4.9,"14-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/unlonwi1yi/FAIRS28631-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4520BDMQB/12110469,10 MHz,Up,,Binary Counter,4,1,,,,4000B,Synchronous,"Positive, Negative",
54161DM/B,"Rochester Electronics, LLC",4 BIT BINARY UP COUNTER,pmic-gate-drivers,690,90.48,-,-,Active,https://rocelec.widen.net/view/pdf/asqemclzem/RE_DSHEET_54161DMB-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54161DM-B/12592716,,,,,,,,,,*,,,
54177J/B,"Rochester Electronics, LLC",54177J/B,pmic-gate-drivers,190,105.56,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54177J-B/12710451,,,,,,,,,,*,,,
54191J/B,"Rochester Electronics, LLC",DECADE COUNTER,pmic-gate-drivers,1544,86.71,-,-,Active,https://rocelec.widen.net/view/pdf/xf6itgdcg1/RE_DSHEET_54191JB-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54191J-B/12592864,,,,,,,,,,*,,,
54193/BFA,"Rochester Electronics, LLC",DUAL MARKED (M38510/01309BFA),pmic-gate-drivers,329,105.56,-,-,Active,https://rocelec.widen.net/view/pdf/jwjv0mcbdt/RE_DSHEET_54193BFA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54193-BFA/12594592,,,,,,,,,,*,,,
54196DM/B,"Rochester Electronics, LLC",54196DM/B,pmic-gate-drivers,248,103.94,-,-,Active,https://rocelec.widen.net/view/pdf/nptebkw4po/FAIRS32850-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54196DM-B/12711774,,,,,,,,,,*,,,
54196FM,"Rochester Electronics, LLC",54196FM,pmic-gate-drivers,351,116.83,-,-,Active,https://rocelec.widen.net/view/pdf/nptebkw4po/FAIRS32850-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54196FM/12711771,,,,,,,,,,*,,,
5490/BCA,"Rochester Electronics, LLC",5490 - DECADE COUNTER - DUAL MAR,pmic-gate-drivers,2537,85.46,-,-,Active,https://rocelec.widen.net/view/pdf/xasiz8rwnm/RE_DSHEET_5490BCA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5490-BCA/13468851,,,,,,,,,,*,,,
5492FM,National Semiconductor,DIVIDE BY 12 COUNTER,pmic-gate-drivers,18,85.63,-,-,Active,https://rocelec.widen.net/view/pdf/62z8ytjdgo/RE_DSHEET_5492FM-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5492FM/12125549,,,,,,,,,,*,,,
5493/BCA,"Rochester Electronics, LLC",DUAL MARKED (M38510/01302BCA),pmic-gate-drivers,865,94.25,-,-,Active,https://rocelec.widen.net/view/pdf/c4rkzijgvz/RE_DSHEET_5493BCA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5493-BCA/12596494,,,,,,,,,,*,,,
5493/BDA,"Rochester Electronics, LLC",DUAL MARKED (M38510/01302BDA),pmic-gate-drivers,704,118.13,-,-,Active,https://rocelec.widen.net/view/pdf/9iq43qwgs0/RE_DSHEET_5493BDA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5493-BDA/12596177,,,,,,,,,,*,,,
5493ADM,"Rochester Electronics, LLC",BINARY COUNTER; 4-BIT,pmic-gate-drivers,284,78.69,-,-,Active,https://rocelec.widen.net/view/pdf/ixfpzdvt0k/RE_DSHEET_5493ADM-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5493ADM/12593772,,,,,,,,,,*,,,
54ACT161/VFA-R,"Rochester Electronics, LLC","BINARY COUNTER, ACT SERIES, SYNC",pmic-gate-drivers,51,692.25,-,-,Active,https://rocelec.widen.net/view/pdf/t7hpn0ntsh/RE_DSHEET_54ACT161VFA-R-ROCA.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54ACT161-VFA-R/15641079,,,,,,,,,,*,,,
54ACT161JRQMLV,National Semiconductor,IC BINARY COUNTER 4-BIT 16CDIP,pmic-gate-drivers,217,328.89,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/wpj4bsbbwk/NATLS05333-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54ACT161JRQMLV/13513634,85 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C (TA),,Asynchronous,54ACT,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54ACT161WRQMLV,National Semiconductor,IC BINARY COUNTER 4-BIT 16CFP,pmic-gate-drivers,470,343.2,16-CFlatPack,Surface Mount,Active,https://rocelec.widen.net/view/pdf/wpj4bsbbwk/NATLS05333-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54ACT161WRQMLV/13513644,85 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C (TA),,Asynchronous,54ACT,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54ACT163WRQMLV,National Semiconductor,IC BINARY COUNTER 4-BIT 16CFP,pmic-gate-drivers,175,411.97,16-CFlatPack,Surface Mount,Active,https://rocelec.widen.net/view/pdf/dx37wnizgs/NATLS05327-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54ACT163WRQMLV/13493040,90 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C (TA),,Synchronous,54ACT,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54ALS162BJ/B,"Rochester Electronics, LLC",SYNCRONOUS 4-BIT DECADE COUNTERS,pmic-gate-drivers,93,93.14,-,-,Active,https://rocelec.widen.net/view/pdf/rqsawmd0zh/RE_DSHEET_54ALS162BJB-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54ALS162BJ-B/12596619,,,,,,,,,,*,,,
54ALS169B-E/883,National Semiconductor,SYNCHRONOUS 4 BIT UP/DOWN COUNTE,pmic-gate-drivers,178,5.89,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54ALS169B-E-883/12596647,,,,,,,,,,*,,,
54F161/B2A,"Rochester Electronics, LLC",DUAL MARKED (M38510/34301B2A),pmic-gate-drivers,906,107.94,-,-,Active,https://rocelec.widen.net/view/pdf/bkidhwsmfw/RE_DSHEET_54F161B2A.pdf?t.download=true&u=ajtcp3,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F161-B2A/12601495,,,,,,,,,,*,,,
54F161/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/34301BEA),pmic-gate-drivers,1288,102.68,-,-,Active,https://rocelec.widen.net/view/pdf/x4ijuqgvfg/RE_DSHEET_54F161BEA.pdf?t.download=true&u=ajtcp3,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F161-BEA/12613809,,,,,,,,,,*,,,
54F161/BFA,"Rochester Electronics, LLC","54F161 - BINARY COUNTER, 4-BIT S",pmic-gate-drivers,268,115.3,-,-,Active,https://landandmaritimeapps.dla.mil/Downloads/MilSpec/Docs/MIL-M-38510/mil38510ss343.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F161-BFA/15639914,,,,,,,,,,*,,,
54F161AFMQB,National Semiconductor,IC BINARY COUNTER 4BIT 16CFLTPK,pmic-gate-drivers,100,7.33,16-CFlatPack,Surface Mount,Active,https://rocelec.widen.net/view/pdf/tlhrvi1ozv/NATLS11606-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F161AFMQB/12130545,75 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C (TA),,Asynchronous,54F,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54F163/B2A,"Rochester Electronics, LLC",DUAL MARKED (M38510/34302B2A),pmic-gate-drivers,795,108.44,-,-,Active,https://rocelec.widen.net/view/pdf/f1kin3xuei/RE_DSHEET_54F163B2A.pdf?t.download=true&u=ajtcp3,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F163-B2A/12611400,,,,,,,,,,*,,,
54F163/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/34302BEA),pmic-gate-drivers,1361,103.9,-,-,Active,https://rocelec.widen.net/view/pdf/z7bv5xazbg/RE_DSHEET_54F163BEA.pdf?t.download=true&u=ajtcp3,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F163-BEA/12611198,,,,,,,,,,*,,,
54F163ADC,National Semiconductor,IC BINARY COUNTER 4-BIT 16CDIP,pmic-gate-drivers,377,1.84,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/y15m5dat4y/NATLS18519-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F163ADC/12124642,75 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C (TA),,Synchronous,54F,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54F169/QEA,"Rochester Electronics, LLC",DUAL MARKED (5962-8607201EA),pmic-gate-drivers,1567,124.53,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_596286072B.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F169-QEA/12611742,,,,,,,,,,*,,,
54F191/QFA,"Rochester Electronics, LLC",IC BINARY COUNTER 4BIT 16CFLTPK,pmic-gate-drivers,80,118.5,16-CFlatPack,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_596290582.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F191-QFA/16348936,75 MHz,"Up, Down",,Binary Counter,4,1,-55°C ~ 125°C (TA),,Asynchronous,,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54F192DM,National Semiconductor,IC BCD COUNTER 4-BIT 16CDIP,pmic-gate-drivers,121,6.26,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/sv5vcqz9qo/NATLS05310-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F192DM/12133595,75 MHz,"Up, Down",,"BCD Counter, Decade",4,1,-55°C ~ 125°C (TA),,Asynchronous,54F,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54F192DMQB,National Semiconductor,IC BCD COUNTER 4-BIT 16CDIP,pmic-gate-drivers,249,7.24,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/9encg7rxcr/NATLS12471-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F192DMQB/12134032,75 MHz,"Up, Down",,"BCD Counter, Decade",4,1,-55°C ~ 125°C (TA),,Asynchronous,54F,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54HC160/BEA,"Rochester Electronics, LLC",DUAL MARKED (5962-8682401EA),pmic-gate-drivers,649,104.05,-,-,Active,https://rocelec.widen.net/view/pdf/esdqtrnrja/RE_DSHEET_54HC160BEA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54HC160-BEA/12600124,,,,,,,,,,*,,,
54HC162/BEA,"Rochester Electronics, LLC",DUAL MARKED (8409401EA),pmic-gate-drivers,308,103.95,-,-,Active,https://rocelec.widen.net/view/pdf/muipg2wcg2/RE_DSHEET_54HC162BEA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54HC162-BEA/12617273,,,,,,,,,,*,,,
54HC390/BEA,"Rochester Electronics, LLC",DUAL MARKED (8600901EA),pmic-gate-drivers,193,103.95,-,-,Active,https://rocelec.widen.net/view/pdf/kbyrf7r1rf/RE_DSHEET_54HC390BEA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54HC390-BEA/12617375,,,,,,,,,,*,,,
54HC390J/B,"Rochester Electronics, LLC",DUAL 4-BIT DECADE/BINARY COUNTER,pmic-gate-drivers,85,103.95,-,-,Active,https://rocelec.widen.net/view/pdf/b8exngvxjo/RE_DSHEET_54HC390JB-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54HC390J-B/12613065,,,,,,,,,,*,,,
54L193W/C,"Rochester Electronics, LLC",4 BIT BINARY UP/DOWN COUNTER,pmic-gate-drivers,33,115.76,-,-,Active,https://rocelec.widen.net/view/pdf/b8ewik5hdc/RE_DSHEET_54L193WC-ROCA.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54L193W-C/12605721,,,,,,,,,,*,,,
54LS160A/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/31503BEA),pmic-gate-drivers,3093,104.19,-,-,Active,https://rocelec.widen.net/view/pdf/5q7ght6njn/RE_DSHEET_54LS160ABEA-ROCS.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS160A-BEA/12710916,,,,,,,,,,*,,,
54LS162A/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/31511BEA),pmic-gate-drivers,683,106.56,-,-,Active,https://rocelec.widen.net/view/pdf/wpo8tqk1kj/RE_DSHEET_54LS162ABEA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS162A-BEA/12609678,,,,,,,,,,*,,,
54LS163AFMQB,National Semiconductor,IC BINARY COUNTER 4BIT 16CFLTPK,pmic-gate-drivers,2737,1.84,16-CFlatPack,Surface Mount,Active,https://rocelec.widen.net/view/pdf/tznek0o2fs/NATLS11701-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS163AFMQB/12103372,25 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C (TA),,Synchronous,54LS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
54LS190/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/31513BEA),pmic-gate-drivers,593,102.69,-,-,Active,https://rocelec.widen.net/view/pdf/ewcgxmnq3k/RE_DSHEET_54LS190BEA-ROCS.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS190-BEA/12603018,,,,,,,,,,*,,,
54LS190J,"Rochester Electronics, LLC",BINARY COUNTER; 4 BIT SYNCHRONOU,pmic-gate-drivers,1007,80.0,-,-,Active,https://rocelec.widen.net/view/pdf/bgtwpttgj2/RE_DSHEET_54LS190J-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS190J/12606164,,,,,,,,,,*,,,
54LS192/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/31507BEA),pmic-gate-drivers,120,102.78,-,-,Active,https://rocelec.widen.net/view/pdf/1slaqzglwg/RE_DSHEET_54LS192BEA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS192-BEA/12613676,,,,,,,,,,*,,,
54LS192/BFA,"Rochester Electronics, LLC",DUAL MARKED (M38510/31507BFA),pmic-gate-drivers,312,106.4,-,-,Active,https://rocelec.widen.net/view/pdf/zbij1sllel/RE_DSHEET_54LS192BFA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS192-BFA/12606135,,,,,,,,,,*,,,
54LS196W/B,"Rochester Electronics, LLC",DECADE COUNTERS,pmic-gate-drivers,115,108.06,-,-,Active,https://rocelec.widen.net/view/pdf/dfuxoojb3u/RE_DSHEET_54LS196WB-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS196W-B/12606133,,,,,,,,,,*,,,
54LS290/BCA,"Rochester Electronics, LLC",54LS290/BCA,pmic-gate-drivers,1215,97.5,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_NATLS141971.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS290-BCA/12712027,,,,,,,,,,*,,,
54LS290/BDA,"Rochester Electronics, LLC",DUAL MARKED (M38510/32003BDA),pmic-gate-drivers,1340,105.56,-,-,Active,https://rocelec.widen.net/view/pdf/2wfxegycqf/RE_DSHEET_54LS290BDA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS290-BDA/12613375,,,,,,,,,,*,,,
