MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Count Rate,Direction,Grade,Logic Type,Number of Bits per Element,Number of Elements,Operating Temperature,Qualification,Reset,Series,Timing,Trigger Type,Voltage - Supply
"74HCT4020PW,112",Nexperia USA Inc.,NEXPERIA 74HCT4020PW - BINARY CO,pmic-gate-drivers,16849,0.77,-,-,Active,https://rocelec.widen.net/view/pdf/0ipj5hpfuz/PHGLS25199-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4020PW-112/15644918,,,,,,,,,,*,,,
"74HCT4020PW,118",Nexperia USA Inc.,IC BINARY COUNTER 14BIT 16TSSOP,pmic-gate-drivers,0,0.20174,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4020.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4020PW-118/1230884,47 MHz,Up,,Binary Counter,14,1,-40°C ~ 125°C,,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
74HCT4020PW-Q100J,Nexperia USA Inc.,IC BINARY COUNTER 14BIT 16TSSOP,pmic-gate-drivers,0,0.25241,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4020_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4020PW-Q100J/4020271,47 MHz,Up,Automotive,Binary Counter,14,1,-40°C ~ 125°C,AEC-Q100,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
74HCT4040BQ-Q100X,Nexperia USA Inc.,IC BINARY COUNTER 12BIT 16DHVQFN,pmic-gate-drivers,0,0.5,16-VFQFN Exposed Pad,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4040BQ-Q100X/4843084,79 MHz,Up,Automotive,Binary Counter,12,1,-40°C ~ 125°C,AEC-Q100,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
74HCT4040BQX,Nexperia USA Inc.,74HCT4040 - 12-STAGE BINARY RIPP,pmic-gate-drivers,32880,0.44,-,-,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4040BQX/15646700,,,,,,,,,,*,,,
"74HCT4040D,652",Nexperia USA Inc.,NEXPERIA 74HCT4040D - BINARY COU,pmic-gate-drivers,9603,0.99,-,-,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4040D-652/15640738,,,,,,,,,,*,,,
"74HCT4040D,653",Nexperia USA Inc.,IC BINARY COUNTER 12-BIT 16SO,pmic-gate-drivers,481,0.46,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4040D-653/1230886,79 MHz,Up,,Binary Counter,12,1,-40°C ~ 125°C,,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
74HCT4040D-Q100J,Nexperia USA Inc.,IC BINARY COUNTER 12-BIT 16SO,pmic-gate-drivers,0,0.32109,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4040D-Q100J/4020273,79 MHz,Up,Automotive,Binary Counter,12,1,-40°C ~ 125°C,AEC-Q100,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4040DB,112",Nexperia USA Inc.,NEXPERIA 74HCT4040DB - BINARY CO,pmic-gate-drivers,1092,1.04,-,-,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4040DB-112/15638982,,,,,,,,,,*,,,
"74HCT4040DB,118",Nexperia USA Inc.,IC BINARY COUNTER 12-BIT 16SSOP,pmic-gate-drivers,4000,0.9,"16-SSOP (0.209"", 5.30mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4040DB-118/12598446,79 MHz,Up,,Binary Counter,12,1,-40°C ~ 125°C,,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
