MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply,Data Rate,DigiKey Programmable,Function,Grade,Input Type,Interface,Number of Inputs,Number of Outputs,Operating Temperature,Output Type,Protocol,Qualification,Series,Standards,Voltage - Supply
PI7C9X762CZHE,Diodes Incorporated,IC BRIDGE CTLR SPI-UART 32TQFN,pmic-supervisors,0,3.32992,32-VFQFN Exposed Pad,,Active,https://www.diodes.com/assets/Datasheets/PI7C9X762.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X762CZHE/7930791,,,Not Verified,"Bridge, I2C/SPI to UART",,,UART,,,-40°C ~ 85°C,,I2C,,,,"1.8V, 2.5V, 3.3V"
PI7C9X762CZHEX,Diodes Incorporated,IC BRIDGE CTLR SPI-UART 32TQFN,pmic-supervisors,0,3.5882,32-VFQFN Exposed Pad,,Active,https://www.diodes.com/assets/Datasheets/PI7C9X762.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X762CZHEX/7930786,,,Not Verified,"Bridge, I2C/SPI to UART",,,UART,,,-40°C ~ 85°C,,I2C,,,,"1.8V, 2.5V, 3.3V"
PI7C9X762DZHEX,Diodes Incorporated,SPI BRIDGE W-QFN5050-32 T&R 2.5K,pmic-supervisors,0,2.91125,32-VFQFN Exposed Pad,,Active,,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X762DZHEX/28171679,6mA,,,"Bridge, I2C/SPI to UART",,,"I2C, SPI",,,-40°C ~ 85°C (TA),,I2C,,,,1.62V ~ 3.63V
PI7C9X762Q2ZHEX,Diodes Incorporated,SPI BRIDGE W-QFN5050-32,pmic-supervisors,2402,9.85,32-VFQFN Exposed Pad,,Active,https://www.diodes.com/databrief/download/PI7C9X762Q-brief.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X762Q2ZHEX/27902918,,,,"Bridge, I2C/SPI to UART",Automotive,,"I2C, SPI",,,-40°C ~ 105°C,,I2C,AEC-Q100,,,"1.8V, 2.5V, 3.3V"
PI7C9X7952BFDE,Diodes Incorporated,IC PCIE-TO-UART BRIDGE 128LQFP,pmic-supervisors,79,11.69,128-LQFP,,Active,https://www.diodes.com/assets/Datasheets/PI7C9X7952.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X7952BFDE/4914522,,,Not Verified,"Bridge, PCI to UART",,,UART,,,-40°C ~ 85°C,,PCI,,,,"1.8V, 3.3V"
PI7C9X7952BFDEX,Diodes Incorporated,IC BRIDGE PCIE TO UART 128LFQFP,pmic-supervisors,0,11.69,128-LQFP,,Active,https://www.diodes.com/assets/Datasheets/PI7C9X7952.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X7952BFDEX/6237846,,,Not Verified,"Bridge, PCI to UART",,,UART,,,-40°C ~ 85°C,,PCI,,,,"1.8V, 3.3V"
PI7C9X7954BFDE,Diodes Incorporated,IC PCIE-TO-UART BRIDGE 128LQFP,pmic-supervisors,0,13.26,128-LQFP,,Active,https://www.diodes.com/assets/Datasheets/PI7C9X7954.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X7954BFDE/4914523,,,Not Verified,"Bridge, PCI to UART",,,UART,,,-40°C ~ 85°C,,PCI,,,,"1.8V, 3.3V"
PI7C9X7954BFDEX,Diodes Incorporated,IC BRIDGE PCIE TO UART 128LFQFP,pmic-supervisors,437,13.26,128-LQFP,,Active,https://www.diodes.com/assets/Datasheets/PI7C9X7954.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X7954BFDEX/6237847,,,Not Verified,"Bridge, PCI to UART",,,UART,,,-40°C ~ 85°C,,PCI,,,,"1.8V, 3.3V"
PI7C9X7958BNBE,Diodes Incorporated,IC PCIE-TO-UART BRIDGE 160LFBGA,pmic-supervisors,431,24.29,160-LFBGA,,Active,https://www.diodes.com/assets/Datasheets/PI7C9X7958.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/PI7C9X7958BNBE/4914524,,,Not Verified,"Bridge, PCI to UART",,,UART,,,-40°C ~ 85°C,,PCI,,,,1.8V ~ 3.3V
PM5395-BGI,Microchip Technology,CRSU 4x2488 Quad Clock Recovery,pmic-power-management-specialized,384,158.23,-,-,Active,https://www.datasheets.com/en/part-details/pm5395-bgi-microchip-technology-37636244#datasheet,https://www.digikey.com/en/products/detail/rochester-electronics-llc/PM5395-BGI/18446950,,,,,,,,,,,,,,,,
PM5450A-FEI,Microchip Technology,IC CONTROLLER 1517-BBGA,pmic-supervisors,21,1.0,1517-BBGA,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5341/PM5450_HyPHY-20Gflex_Brochure.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PM5450A-FEI/7667221,,,Not Verified,Controller,,,,,,,,Ethernet,,,,
PM8354-NI,Microchip Technology,IC ETHERNET PHYSICAL LAYER CNTRL,pmic-supervisors,0,39.21443,-,,Obsolete,,https://www.digikey.com/en/products/detail/microchip-technology/PM8354-NI/7667308,,,Not Verified,Physical Layer Controller,,,,,,,,Ethernet,,,,1.8V
PM8354A-NI,Microchip Technology,IC ETHERNET TXRX PARALL 289CABGA,pmic-supervisors,0,36.16274,289-BGA,,Obsolete,,https://www.digikey.com/en/products/detail/microchip-technology/PM8354A-NI/7667307,402mA,,Not Verified,Physical Layer Transceiver,,,Parallel/Serial,,,-40°C ~ 125°C,,Ethernet,,,IEEE 802.3,"1.8V, 2.5V"
PSB2155HV1.3,Infineon Technologies,SIUC-BA ISDN USB CONTROLLER,pmic-supervisors,919,11.25,-,,Active,https://rocelec.widen.net/view/pdf/a4dirimxcc/PSB2155.pdf?t.download=true&u=ovmfp3,https://www.digikey.com/en/products/detail/rochester-electronics-llc/PSB2155HV1-3/12131542,,,Not Verified,,,,,,,,,,,*,,
PTN37011UKZ,NXP USA Inc.,PTN37011UKZ,pmic-power-management-specialized,0,1.96643,-,-,Active,,https://www.digikey.com/en/products/detail/nxp-usa-inc/PTN37011UKZ/21186784,,,,,,,,,,,,,,,,
PTN5100ABSZ,NXP USA Inc.,IC USB PD PHY TYPE C 20HVQFN,pmic-supervisors,0,1.26008,20-VFQFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/321/PTN5100.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/PTN5100ABSZ/5981435,,,Not Verified,Controller,,,USB,,,-20°C ~ 85°C,,USB,,,,
PTN5100DABSBZ,NXP USA Inc.,IC USB PD PHY TYPE C 20HVQFN,pmic-supervisors,0,1.26008,20-VFQFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/321/PTN5100D.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/PTN5100DABSBZ/5981437,,,Not Verified,Controller,,,USB,,,-20°C ~ 85°C,,USB,,,,
PTN5100DBSMP,NXP USA Inc.,IC USB PD PHY TYPE C 20HVQFN,pmic-supervisors,9094,2.6,20-VFQFN Exposed Pad,,Obsolete,https://www.nxp.com/docs/en/data-sheet/PTN5100D.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/PTN5100DBSMP/5981068,,,Not Verified,Controller,,,USB,,,-20°C ~ 85°C,,USB,,,,
PTN5150AHXMP,NXP USA Inc.,IC USB HOST CTLR 12X2QFN,pmic-supervisors,37449,1.24,12-XFQFN,,Active,https://www.nxp.com/docs/en/data-sheet/PTN5150A.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/PTN5150AHXMP/5981069,,,Not Verified,Controller,,,USB,,,-40°C ~ 85°C,,USB,,,,2.7V ~ 5.5V
PTN5150HHXZ,NXP USA Inc.,IC USB HOST CTLR 12X2QFN,pmic-supervisors,0,0.45256,12-XFQFN,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/321/PTN5150H.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/PTN5150HHXZ/5981440,,,Not Verified,Controller,,,USB,,,-40°C ~ 85°C,,USB,,,,2.7V ~ 5.5V
PTN5150HXMP,NXP USA Inc.,IC USB HOST CTLR 12X2QFN,pmic-supervisors,11325,1.51,12-XFQFN,,Active,https://www.nxp.com/docs/en/data-sheet/PTN5150.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/PTN5150HXMP/5981071,,,Not Verified,Controller,,,USB,,,-40°C ~ 85°C,,USB,,,,2.7V ~ 5.5V
RAA489400A3GNP#HA0,Renesas Electronics Corporation,"TYPE-C PORT CONTROLLER, 3X5 FCQF",pmic-supervisors,0,2.6334,32-WFQFN Exposed Pad,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8912/REN_RAA489400_DST_20240827.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/RAA489400A3GNP-HA0/29275164,55mA,,,Controller,,,"I2C, USB",,,-40°C ~ 105°C (TA),,USB,,,"USB 2.0, USB 3.1",3.1V ~ 3.5V
RAA489400A3GNP#MA0,Renesas Electronics Corporation,"TYPE-C PORT CONTROLLER, 3X5 FCQF",pmic-supervisors,126,5.17,-,,Active,https://www.renesas.com/en/document/dst/raa489400-datasheet?r=25565987,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/RAA489400A3GNP-MA0/25602936,,,,,,,,,,,,,,,,
RAA489400ARGNP#HA0,Renesas Electronics Corporation,"TYPE-C PORT CONTROLLER, 3X5 FCQF",pmic-supervisors,0,2.387,32-WFQFN Exposed Pad,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8912/REN_RAA489400_DST_20240827.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/RAA489400ARGNP-HA0/29274971,55mA,,,Controller,,,"I2C, USB",,,-10°C ~ 100°C (TA),,USB,,,"USB 2.0, USB 3.1",3.1V ~ 3.5V
RAA489400ARGNP#MA0,Renesas Electronics Corporation,"TYPE-C PORT CONTROLLER, 3X5 FCQF",pmic-supervisors,0,2.387,32-WFQFN Exposed Pad,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8912/REN_RAA489400_DST_20240827.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/RAA489400ARGNP-MA0/29275418,55mA,,,Controller,,,"I2C, USB",,,-10°C ~ 100°C (TA),,USB,,,"USB 2.0, USB 3.1",3.1V ~ 3.5V
RT1711PGQW,Richtek USA Inc.,IC USB PD CTRLR 24WQFN,pmic-supervisors,700,1.58,24-WFQFN Exposed Pad,,Active,,https://www.digikey.com/en/products/detail/richtek-usa-inc/RT1711PGQW/7100926,200mA ~ 400mA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,USB,,,,3V ~ 5.5V
