MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
MC100EL16DTG,onsemi,IC DIFFERENTIAL RX 1BIT 8-TSSOP,clock-timing-programmable-timers-oscillators,0,31.44,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc10el16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL16DTG/920633,,Differential Receiver,1,-40°C ~ 85°C,,100EL,4.2V ~ 5.7V
MC100EL16DTR2,onsemi,IC DIFFERENTIAL RX 1BIT 8-TSSOP,clock-timing-programmable-timers-oscillators,0,1.66,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc10el16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL16DTR2/1477445,,Differential Receiver,1,-40°C ~ 85°C,,100EL,4.2V ~ 5.7V
MC100EL16DTR2G,onsemi,IC DIFFERENTIAL RX 1BIT 8-TSSOP,clock-timing-programmable-timers-oscillators,3230,4.49,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10el16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL16DTR2G/13478265,,Differential Receiver,1,-40°C ~ 85°C,,100EL,4.2V ~ 5.7V
MC100EL17DW,onsemi,IC DIFFERENTIAL RX 4BIT 20-SOIC,clock-timing-programmable-timers-oscillators,3951,3.26,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc100el17-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL17DW/11530061,,Differential Receiver,4,-40°C ~ 85°C,,100EL,4.2V ~ 5.7V
MC100EL17DWG,onsemi,IC DIFFERENTIAL RX 4BIT 20-SOIC,clock-timing-programmable-timers-oscillators,0,9.09,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100el17-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL17DWG/1477448,,Differential Receiver,4,-40°C ~ 85°C,,100EL,4.2V ~ 5.7V
MC100EL17DWR2,onsemi,IC DIFFERENTIAL RX 4BIT 20-SOIC,clock-timing-programmable-timers-oscillators,0,5.0,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100el17-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL17DWR2/660695,,Differential Receiver,4,-40°C ~ 85°C,,100EL,4.2V ~ 5.7V
MC100EL17DWR2G,onsemi,IC DIFFERENTIAL RX 4BIT 20-SOIC,clock-timing-programmable-timers-oscillators,0,3.4375,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100el17-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL17DWR2G/920634,,Differential Receiver,4,-40°C ~ 85°C,,100EL,4.2V ~ 5.7V
MC100EP116FA,onsemi,IC DIFFERENT RX/DRVR 32-LQFP,clock-timing-programmable-timers-oscillators,0,12.025,32-LQFP,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP116FA/661971,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP116FAG,onsemi,IC DIFFERENT RX/DRVR 6BIT 32LQFP,clock-timing-programmable-timers-oscillators,298,19.15,32-LQFP,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc100ep116-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP116FAG/920665,,Differential Receiver/Driver,6,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP116FAR2,onsemi,IC DIFFERENT RX/DRVR 32-LQFP,clock-timing-programmable-timers-oscillators,6000,7.89,32-LQFP,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP116FAR2/11534974,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP116FAR2G,onsemi,IC DIFFERENT RX/DRVR 6BIT 32LQFP,clock-timing-programmable-timers-oscillators,0,14.8,32-LQFP,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP116FAR2G/918699,,Differential Receiver/Driver,6,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP116MNG,onsemi,IC DIFFERENT RX/DRVR 6BIT 32-QFN,clock-timing-programmable-timers-oscillators,0,14.76,32-VFQFN Exposed Pad,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP116MNG/1792247,,Differential Receiver/Driver,6,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16D,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,95493,2.23,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16D/11536653,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16DG,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,280,13.45,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16DG/918707,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16DR2,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,9368,2.49,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16DR2/11551029,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16DR2G,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,4.44,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16DR2G/1477548,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16DT,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,3511,4.44,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16DT/11543999,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16DTG,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,154,8.27,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16DTG/920670,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16DTR2G,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,1334,8.27,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16DTR2G/1477550,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
