MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,"Current - Output High, Low",Grade,Logic Type,Number of Circuits,Number of Inputs,Operating Temperature,Output Type,Qualification,Schmitt Trigger Input,Series,Type,Voltage - Supply
74LVC1G97FZ4-7,Diodes Incorporated,IC MF CFG 1-CIR 3-IN X2-6DFN,interface-drivers-receivers-transceivers,7299,0.22,6-XFDFN,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/74LVC1G97.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/74LVC1G97FZ4-7/3076630,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
"74LVC1G97GM,132",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6XSON,interface-drivers-receivers-transceivers,2418,0.19,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LVC1G97.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G97GM-132/3430542,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
"74LVC1G97GW,125",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6TSSOP,interface-drivers-receivers-transceivers,14815,0.13,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LVC1G97.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G97GW-125/3679063,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
74LVC1G97GW-Q100H,Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6-TSSOP,interface-drivers-receivers-transceivers,11260,0.16,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LVC1G97_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G97GW-Q100H/10440249,,"32mA, 32mA",Automotive,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,AEC-Q100,Yes,74LVC,,1.65V ~ 5.5V
74LVC1G97W6-7,Diodes Incorporated,IC MF CFG 1-CIR 3-IN SOT-26,interface-drivers-receivers-transceivers,1595,0.18,SOT-23-6,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/74LVC1G97.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/74LVC1G97W6-7/3829459,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
"74LVC1G98GM,132",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6XSON,interface-drivers-receivers-transceivers,3614,0.23,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LVC1G98.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G98GM-132/3430546,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
"74LVC1G98GW,125",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6TSSOP,interface-drivers-receivers-transceivers,3470,0.13,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LVC1G98.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G98GW-125/3430549,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
"74LVC1G99GS,115",Nexperia USA Inc.,IC MF CFG 1-CIR 4-IN 8XSON,interface-drivers-receivers-transceivers,5000,0.25,8-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LVC1G99.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G99GS-115/3679065,,"32mA, 32mA",,Configurable Multiple Function,1,4,-40°C ~ 125°C,Tri-State,,No,74LVC,,1.65V ~ 5.5V
"74LVC1G99GT,115",Nexperia USA Inc.,IC MF CFG 1-CIR 4-IN 8-XSON,interface-drivers-receivers-transceivers,11840,0.2,8-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LVC1G99.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G99GT-115/1888844,,"32mA, 32mA",,Configurable Multiple Function,1,4,-40°C ~ 125°C,Tri-State,,No,74LVC,,1.65V ~ 5.5V
ADA4945-1ACPZ-RL,Analog Devices Inc.,IC AMP SPECIAL 16-LFCSP,interface-controllers,0,6.36,"16-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADA4945-1.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADA4945-1ACPZ-RL/10107156,Data Acquisition,,,,,,,,,,,ADC Driver,
