MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,"Current - Output High, Low",Grade,Logic Type,Number of Circuits,Number of Inputs,Operating Temperature,Output Type,Qualification,Schmitt Trigger Input,Series,Type,Voltage - Supply
LT3469ETS8#TRPBF,Analog Devices Inc.,IC AMP SPECIAL TSOT-23-8,interface-controllers,5552,6.3,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/3469f.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/LT3469ETS8-TRPBF/959827,"Piezo Speakers, Microactuators",,,,,,,,,,,Transconductance,
LT6108IMS8-1#PBF,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,4311,5.27,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/610812fa.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/LT6108IMS8-1-PBF/2734945,"Current Sensing, Power Management",,,,,,,,,,,"Amplifier, Comparator, Reference",
LT6119HMS-1#PBF,Analog Devices Inc.,IC AMP SPECIAL 10-MSOP,interface-controllers,754,7.55,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/611912f.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/LT6119HMS-1-PBF/4832977,Monitoring and Control,,,,,,,,,,,Current Sense Amplifier,
MC100EL07DR2G,onsemi,IC XOR/XNOR 1-CIR 2-IN 8-SOIC,interface-drivers-receivers-transceivers,1484,6.12,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc100el07-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EL07DR2G/1477426,,,,2 Input XOR/XNOR,1,2,-40°C ~ 85°C,Differential,,No,100EL,,4.2V ~ 5.7V
MC100EP01DTG,onsemi,IC NOR/OR GATE 1-CIR 4-IN 8TSSOP,interface-drivers-receivers-transceivers,0,11.43,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep01-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP01DTG/920660,,,,NOR/OR Gate,1,4,-40°C ~ 85°C,Differential,,No,100EP,,3V ~ 5.5V
MC100EP05DTG,onsemi,IC AND/NAND GATE 1-CIR 8TSSOP,interface-drivers-receivers-transceivers,23574,10.67,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep05-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP05DTG/920661,,,,AND/NAND Gate,1,"2 Input (1, 1)",-40°C ~ 85°C,Differential,,No,100EP,,3V ~ 5.5V
MC100EP05DTR2G,onsemi,IC AND/NAND GATE 1-CIR 8-TSSOP,interface-drivers-receivers-transceivers,2533,10.16,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep05-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP05DTR2G/1477530,,,,AND/NAND Gate,1,"2 Input (1, 1)",-40°C ~ 85°C,Differential,,No,100EP,,3V ~ 5.5V
MC100EP08DTG,onsemi,IC XOR/XNOR GATE 1-CIR 8TSSOP,interface-drivers-receivers-transceivers,423,11.26,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep08-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP08DTG/918696,,,,XOR/XNOR Gate,1,"2 Input (1, 1)",-40°C ~ 85°C,Differential,,No,100EP,,3V ~ 5.5V
MC100EP08DTR2G,onsemi,IC XOR/XNOR GATE 1-CIR 8-TSSOP,interface-drivers-receivers-transceivers,3418,11.46,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep08-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP08DTR2G/1477534,,,,XOR/XNOR Gate,1,"2 Input (1, 1)",-40°C ~ 85°C,Differential,,No,100EP,,3V ~ 5.5V
MC100LVEP05DTR2G,onsemi,IC AND/NAND GATE 1-CIR 8TSSOP,interface-drivers-receivers-transceivers,1408,12.79,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc100lvep05-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100LVEP05DTR2G/1792286,,,,AND/NAND Gate,1,"2 Input (1, 1)",-40°C ~ 85°C,Differential,,No,100LVEP,,2.375V ~ 3.6V
MCP6S93T-E/UN,Microchip Technology,IC AMP SPECIAL 10-MSOP,interface-controllers,7265,1.74,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/21908a.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP6S93T-E-UN/716065,Data Acquisition,,,,,,,,,,,Variable Gain Amplifier,
NB7L86AMNG,onsemi,IC MF CFG 1-CIR 2-IN 16-QFN,interface-drivers-receivers-transceivers,162,39.78,16-VFQFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/nb7l86a-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NB7L86AMNG/12525960,,,,Configurable Multiple Function,1,2,-40°C ~ 85°C,Differential,,No,,,2.375V ~ 3.465V
NC7SZ57P6X,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,152403,0.11,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/NC7SZ57P6X/965432,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,No,7SZ,,1.65V ~ 5.5V
NC7SZ58P6X,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,40616,0.11,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/NC7SZ58P6X/1049082,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,No,7SZ,,1.65V ~ 5.5V
NL7SZ57DFT2G,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,2105,0.1,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/nl7sz57-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NL7SZ57DFT2G/1792818,,"32mA, 32mA",,Configurable Multiple Function,1,3,-55°C ~ 125°C,Single-Ended,,Yes,7SZ,,1.65V ~ 5.5V
NL7SZ57DFT2G-Q,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,5730,0.1,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/nl7sz57-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NL7SZ57DFT2G-Q/22161770,,"32mA, 32mA",Automotive,Configurable Multiple Function,1,3,-55°C ~ 125°C,Single-Ended,AEC-Q100,Yes,7SZ,,1.65V ~ 5.5V
NL7SZ58DFT2G,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,5962,0.1,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/nl7sz58-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NL7SZ58DFT2G/1792819,,"32mA, 32mA",,Configurable Multiple Function,1,3,-55°C ~ 125°C,Single-Ended,,Yes,7SZ,,1.65V ~ 5.5V
NL7SZ58DFT2G-Q,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,4679,0.1,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/nl7sz58-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NL7SZ58DFT2G-Q/22161917,,"32mA, 32mA",Automotive,Configurable Multiple Function,1,3,-55°C ~ 125°C,Single-Ended,AEC-Q100,Yes,7SZ,,1.65V ~ 5.5V
NL7SZ97DFT2G,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,2200,0.1,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/nl7sz97-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NL7SZ97DFT2G/1792820,,"32mA, 32mA",,Configurable Multiple Function,1,3,-55°C ~ 125°C,Single-Ended,,Yes,7SZ,,1.65V ~ 5.5V
NL7SZ97DFT2G-Q,onsemi,IC MF CFG 1-CIR 3-IN SC88,interface-drivers-receivers-transceivers,3865,0.1,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/nl7sz97-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NL7SZ97DFT2G-Q/22161861,,"32mA, 32mA",Automotive,Configurable Multiple Function,1,3,-55°C ~ 125°C,Single-Ended,AEC-Q100,Yes,7SZ,,1.65V ~ 5.5V
SI8932D-IS4,Skyworks Solutions Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,4194,6.48,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/si8931-32-datasheet.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SI8932D-IS4/10819646,Isolated Voltage Sensing,,,,,,,,,,,Isolation Amplifier,
SN74AUP1G57DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,12012,0.24,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G57DCKR/864087,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
SN74AUP1G58DBVR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-23-6,interface-drivers-receivers-transceivers,2755,0.41,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G58DBVR/637869,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
SN74AUP1G58DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,33335,0.35,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G58DCKR/637871,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
SN74AUP1G97DBVR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-23-6,interface-drivers-receivers-transceivers,1151,0.46,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G97DBVR/664597,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
SN74AUP1G97DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,12863,0.34,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G97DCKR/864089,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
SN74AUP1G97DRLR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-5X3,interface-drivers-receivers-transceivers,2527,0.54,"SOT-563, SOT-666",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G97DRLR/807690,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
SN74AUP1G97DRYR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,4525,0.46,6-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G97DRYR/2279259,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
SN74AUP1G97DSFR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,13147,0.45,6-XFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G97DSFR/2299147,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
SN74AUP1G98DBVR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-23-6,interface-drivers-receivers-transceivers,6912,0.45,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G98DBVR/864090,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
SN74AUP1G98DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,2897,0.34,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G98DCKR/864091,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
SN74AUP1G99DCUR,Texas Instruments,IC MF CFG 1-CIR 3-IN 8-VSSOP,interface-drivers-receivers-transceivers,1440,0.45,"8-VFSOP (0.091"", 2.30mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/sces594c/sces594c.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74AUP1G99DCUR/864093,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Tri-State,,No,74AUP,,0.8V ~ 3.6V
SN74LV8151PWR,Texas Instruments,IC BUF/INV 1-CIR 10-IN 24TSSOP,interface-drivers-receivers-transceivers,4840,1.43,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LV8151PWR/768953,,"12mA, 12mA",,Buffer/Inverter,1,10,-40°C ~ 85°C,Single-Ended,,No,74LV,,2V ~ 5.5V
SN74LVC1G0832DBVR,Texas Instruments,IC AND/OR GATE 1-CIR SOT23-6,interface-drivers-receivers-transceivers,4744,0.36,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G0832DBVR/863592,,"32mA, 32mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 85°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G0832DCKR,Texas Instruments,IC AND/OR GATE 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,4853,0.78,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G0832DCKR/863593,,"32mA, 32mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 85°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G0832YZPR,Texas Instruments,IC AND/OR GATE 1-CIR 6-DSBGA,interface-drivers-receivers-transceivers,2729,0.59,"6-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G0832YZPR/770823,,"32mA, 32mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 85°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G3208DBVR,Texas Instruments,IC AND/OR GATE 1-CIR SOT23-6,interface-drivers-receivers-transceivers,7950,0.3,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G3208DBVR/863609,,"32mA, 32mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G3208DCKR,Texas Instruments,IC AND/OR GATE 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,8633,0.78,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G3208DCKR/740519,,"32mA, 32mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G57DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,146,0.19,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G57DCKR/571184,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G57DRY2,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,15305,0.43,6-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G57DRY2/3996742,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G57DRYR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,5714,0.34,6-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G57DRYR/2780984,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G57DSFR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,3008,0.47,6-XFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G57DSFR/2780985,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G57YZPR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6-DSBGA,interface-drivers-receivers-transceivers,5365,0.51,"6-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G57YZPR/863620,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G58DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,101128,0.22,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1708963918725&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74lvc1g58,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G58DCKR/571194,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G58DRLR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-5X3,interface-drivers-receivers-transceivers,5197,0.39,"SOT-563, SOT-666",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1708963918725&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74lvc1g58,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G58DRLR/863394,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G58DRY2,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,9328,0.45,6-UFDFN,Surface Mount,Active,https://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1708963918725&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74lvc1g58,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G58DRY2/3996756,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G58DRYR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,4384,0.28,6-UFDFN,Surface Mount,Active,https://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1708963918725&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74lvc1g58,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G58DRYR/2776595,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G58DSFR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,7026,0.47,6-XFDFN,Surface Mount,Active,https://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1708963918725&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74lvc1g58,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G58DSFR/2776596,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G97DBVR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-23-6,interface-drivers-receivers-transceivers,25351,0.23,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97DBVR/571196,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G97DBVT,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-23-6,interface-drivers-receivers-transceivers,2694,0.94,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97DBVT/1592119,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G97DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,176330,0.22,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97DCKR/571198,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G97DCKT,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,58969,0.94,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97DCKT/1592123,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G97DRLR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-5X3,interface-drivers-receivers-transceivers,27631,0.41,"SOT-563, SOT-666",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97DRLR/863395,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G97DRYR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,7936,0.36,6-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97DRYR/2780986,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G97IDCKREP,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,3790,2.21,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97IDCKREP/1666510,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 85°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G97YZPR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6-DSBGA,interface-drivers-receivers-transceivers,2979,0.54,"6-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G97YZPR/639549,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74LVC,,1.65V ~ 5.5V
SN74LVC1G98DBVR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-23-6,interface-drivers-receivers-transceivers,5336,0.26,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G98DBVR/571224,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G98DCKR,Texas Instruments,IC MF CFG 1-CIR 3-IN SC70-6,interface-drivers-receivers-transceivers,933,0.18,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G98DCKR/571199,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G98DRLR,Texas Instruments,IC MF CFG 1-CIR 3-IN SOT-5X3,interface-drivers-receivers-transceivers,5526,0.42,"SOT-563, SOT-666",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G98DRLR/863396,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
SN74LVC1G98DRYR,Texas Instruments,IC MF CFG 1-CIR 3-IN 6SON,interface-drivers-receivers-transceivers,2198,0.3,6-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G98DRYR/2780988,,"32mA, 32mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74LVC,,1.65V ~ 5.5V
